"","top_hit","gene_id","length","eValue","bitscore","simMean","UniProtKB_entry","status","protein_names","gene_names","organism","GO_IDs","GO_terms"
"636","XP_027037920.1","Pver_g655.t2",788,0,1499.2,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"637","RMX50901.1","Pver_g656.t1",633,0,1305.8,99.37,"A0A3M6UB97_POCDA","unreviewed","Beta-galactosidase (EC 3.2.1.23)","pdam_00016117","Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)","P:GO:0005975; F:GO:0004565;GO:0004565; GO:0005975","P:carbohydrate metabolic process; F:beta-galactosidase activity;beta-galactosidase activity [GO:0004565]; carbohydrate metabolic process [GO:0005975]"
"638","PFX16157.1","Pver_g657.t1",216,3.4e-56,229.6,53.24,"A0A2B4RIG7_STYPI","unreviewed","Transposon TX1 uncharacterized 149 kDa protein","AWC38_SpisGene19585","Stylophora pistillata (Smooth cauliflower coral)","F:GO:0003676; F:GO:0008270;GO:0003676; GO:0008270","F:nucleic acid binding; F:zinc ion binding;nucleic acid binding [GO:0003676]; zinc ion binding [GO:0008270]"
"639","RMX55088.1","Pver_g658.t1",262,2.4e-70,276.6,64.12,"A0A3M6UP06_POCDA","unreviewed","TNFR-Cys domain-containing protein","pdam_00018424","Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)","C:GO:0016020; C:GO:0016021;GO:0016021","C:membrane; C:integral component of membrane;integral component of membrane [GO:0016021]"
"640","RMX55089.1","Pver_g659.t1",370,4.9e-207,731.1,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"641","XP_027041165.1","Pver_g660.t1",460,1.7e-262,915.6,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"642","XP_027041333.1","Pver_g661.t1",364,2.3e-199,705.7,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"643","XP_027041240.1","Pver_g662.t1",327,6.3e-174,620.9,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"644","XP_027041222.1","Pver_g663.t1",369,3e-196,695.3,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"645","XP_027041115.1","Pver_g664.t1",327,4.5e-180,641.3,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"646","XP_027041136.1","Pver_g665.t1",361,4.3e-184,654.8,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"647","XP_027041280.1","Pver_g666.t1",416,3.9e-245,857.8,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"648","XP_027041292.1","Pver_g667.t1",343,1.3e-185,659.8,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"649","XP_027041192.1","Pver_g668.t1",650,7.2e-238,834.3,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"650","RMX55084.1","Pver_g669.t2",1351,0,2513.4,95.34,"A0A3M6UNH9_POCDA","unreviewed","Uncharacterized protein","pdam_00018414","Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)","F:GO:0046872;GO:0046872","F:metal ion binding;metal ion binding [GO:0046872]"
"651","RXN08554.1","Pver_g670.t1",1039,0,1526.9,72.67,"A0A498LP56_LABRO","unreviewed","RNA-directed DNA polymerase from mobile element jockey-like protein","ROHU_031816","Labeo rohita (Indian major carp) (Cyprinus rohita)","P:GO:0006278; F:GO:0003964;GO:0003964","P:RNA-dependent DNA biosynthetic process; F:RNA-directed DNA polymerase activity;RNA-directed DNA polymerase activity [GO:0003964]"
"652","PFX24549.1","Pver_g671.t1",968,0,1261.9,66.53,"A0A2B4S675_STYPI","unreviewed","Protein notum-like","Notum AWC38_SpisGene10857","Stylophora pistillata (Smooth cauliflower coral)","F:GO:0016787; F:GO:0046872;GO:0016787; GO:0046872","F:hydrolase activity; F:metal ion binding;hydrolase activity [GO:0016787]; metal ion binding [GO:0046872]"
"653","XP_027041418.1","Pver_g672.t1",847,0,1510.4,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"654","XP_027049509.1","Pver_g673.t1",223,4.7e-77,300.1,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"655","XP_027049501.1","Pver_g674.t1",768,0,1543.5,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"656","XP_027049506.1","Pver_g675.t1",775,0,1534.2,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"657","XP_020616782.1","Pver_g676.t1",101,2.6e-19,107.5,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"658","XP_027049508.1","Pver_g677.t1",776,0,1109.7,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"659","XP_027049490.1","Pver_g678.t2",3363,0,5685.1,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"660","PFX12792.1","Pver_g679.t1",2743,0,4216.8,78.67,"A0A2B4R985_STYPI","unreviewed","RNA-directed RNA polymerase (EC 2.7.7.48)","RDR1 AWC38_SpisGene23188","Stylophora pistillata (Smooth cauliflower coral)","P:GO:0001172; P:GO:0031047; F:GO:0003677; F:GO:0003723; F:GO:0003968; F:GO:0005524; F:GO:0016787;GO:0003677; GO:0003723; GO:0003968; GO:0005524; GO:0016787; GO:0031047","P:transcription, RNA-templated; P:gene silencing by RNA; F:DNA binding; F:RNA binding; F:RNA-directed 5'-3' RNA polymerase activity; F:ATP binding; F:hydrolase activity;ATP binding [GO:0005524]; DNA binding [GO:0003677]; hydrolase activity [GO:0016787]; RNA binding [GO:0003723]; RNA-directed 5'-3' RNA polymerase activity [GO:0003968]; gene silencing by RNA [GO:0031047]"
"661","XP_027049505.1","Pver_g680.t1",421,9.2e-209,736.9,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"662","XP_022809361.1","Pver_g681.t1",325,3.3e-159,572,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"663","PFX13206.1","Pver_g682.t1",569,3.8e-219,771.9,70.3,"A0A2B4R7R5_STYPI","unreviewed","Uncharacterized protein","AWC38_SpisGene22733","Stylophora pistillata (Smooth cauliflower coral)","P:GO:0050794;GO:0002755; GO:0043123; GO:0070976","P:regulation of cellular process;TIR domain binding [GO:0070976]; MyD88-dependent toll-like receptor signaling pathway [GO:0002755]; positive regulation of I-kappaB kinase/NF-kappaB signaling [GO:0043123]"
"664","XP_027049514.1","Pver_g683.t1",717,0,1286.2,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"665","XP_027049507.1","Pver_g684.t1",353,1.7e-180,642.9,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"666","XP_027049510.1","Pver_g685.t1",493,3.4e-240,841.6,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"667","XP_027049511.1","Pver_g686.t2",986,0,1707.2,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"668","XP_027049513.1","Pver_g687.t1",410,1e-229,806.6,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"669","XP_027049496.1","Pver_g688.t1",682,0,1345.9,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"670","XP_027049497.1","Pver_g689.t1",349,1.7e-201,712.6,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"671","XP_027049498.1","Pver_g690.t1",2220,0,4159.8,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"672","PFX12625.1","Pver_g691.t1",530,1.1e-125,464.2,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"673","XP_027057869.1","Pver_g692.t1",1286,0,1956.4,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"674","XP_027057916.1","Pver_g693.t1",168,7.4e-86,327.4,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"675","XP_027057908.1","Pver_g694.t1",627,0,1217.2,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"676","XP_027057858.1","Pver_g695.t1",243,2.7e-121,445.7,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"677","XP_027057857.1","Pver_g696.t1",448,5.3e-256,894,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"678","XP_027057909.1","Pver_g697.t1",144,6.8e-80,307.4,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"679","XP_027057935.1","Pver_g698.t1",332,4.6e-180,641.3,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"680","EDO40071.1","Pver_g699.t1",81,2.2e-11,79,54.32,"A7S8A7_NEMVE","unreviewed","Predicted protein","v1g232862","Nematostella vectensis (Starlet sea anemone)","P:GO:0070072; C:GO:0016020; C:GO:0016021; C:GO:0030176;GO:0030176; GO:0070072","P:vacuolar proton-transporting V-type ATPase complex assembly; C:membrane; C:integral component of membrane; C:integral component of endoplasmic reticulum membrane;integral component of endoplasmic reticulum membrane [GO:0030176]; vacuolar proton-transporting V-type ATPase complex assembly [GO:0070072]"
"681","XP_027057914.1","Pver_g700.t1",392,3.7e-221,778.1,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"682","XP_027057915.1","Pver_g701.t1",395,1.2e-207,733.4,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"683","XP_027057882.1","Pver_g702.t1",327,5.3e-181,644.4,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"684","RMX61177.1","Pver_g703.t1_g705.t1",1117,0,1969.9,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"685","XP_027057883.1","Pver_g704.t1",252,3.2e-133,485.3,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"686","XP_027057849.1","Pver_g706.t1",363,1.3e-196,696.4,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"687","RMX61217.1","Pver_g707.t1",317,2.5e-188,668.7,99.37,"A0A3M6V5Q9_POCDA","unreviewed","GST C-terminal domain-containing protein (Fragment)","pdam_00005669","Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)","P:GO:0006749; F:GO:0004364;GO:0004364; GO:0006749","P:glutathione metabolic process; F:glutathione transferase activity;glutathione transferase activity [GO:0004364]; glutathione metabolic process [GO:0006749]"
"688","XP_027057934.1","Pver_g708.t1.1.5de5c95f",385,5.6e-230,807.4,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"689","RMX61193.1","Pver_g709.t1",1961,0,3473.7,94.44,"A0A3M6V5E1_POCDA","unreviewed","ATPase_AAA_core domain-containing protein","pdam_00005671","Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)","F:GO:0005524;GO:0005524; GO:0016887","F:ATP binding;ATP binding [GO:0005524]; ATPase activity [GO:0016887]"
"690","XP_027057848.1","Pver_g710.t1",653,0,1256.5,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"691","XP_022782383.1","Pver_g711.t1",652,2.2e-250,875.9,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"692","RMX61191.1","Pver_g712.t1",166,7e-75,290.8,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"693","RMX49620.1","Pver_g713.t1",435,2.3e-211,745.7,99.77,"A0A3M6U7H6_POCDA","unreviewed","Uncharacterized protein","pdam_00002985","Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)","F:GO:0003677; F:GO:0046872; C:GO:0005634;GO:0003677; GO:0005634; GO:0046872","F:DNA binding; F:metal ion binding; C:nucleus;nucleus [GO:0005634]; DNA binding [GO:0003677]; metal ion binding [GO:0046872]"
"694","RMX49619.1","Pver_g714.t1",458,1.5e-218,769.6,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"695","XP_022785020.1","Pver_g715.t1",353,1.4e-187,666.4,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"696","XP_027039361.1","Pver_g716.t1",218,1.5e-115,426.4,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"697","XP_027039394.1","Pver_g717.t1",372,6.2e-186,661,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"698","XP_027039357.1","Pver_g718.t1",2684,0,4774.1,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"699","XP_015749229.1","Pver_g719.t1",274,6.4e-55,226.1,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"700","XP_027039401.1","Pver_g720.t1",585,0,1154.8,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"701","RMX49679.1","Pver_g721.t1",135,1.1e-52,216.9,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"702","XP_027039395.1","Pver_g722.t1",352,2.2e-159,572.8,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"703","XP_027039402.1","Pver_g723.t1",375,9.7e-203,716.8,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"704","XP_027039373.1","Pver_g724.t1",344,2.4e-200,708.8,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"705","XP_027039337.1","Pver_g725.t1",403,9e-130,474.6,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"706","XP_027039412.1","Pver_g726.t1",308,5.2e-178,634.4,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"707","XP_027039340.1","Pver_g727.t1",275,1.7e-140,509.6,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"708","XP_022785028.1","Pver_g728.t1",302,1.7e-144,523.1,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"709","XP_027039413.1","Pver_g729.t1",259,1.5e-101,380.2,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"710","RMX49648.1","Pver_g730.t1",271,5.1e-138,501.5,91.14,"A0A3M6U865_POCDA","unreviewed","Poly(U)-specific endoribonuclease (EC 3.1.-.-)","pdam_00003002","Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)","P:GO:0090502; F:GO:0003723; F:GO:0004521; F:GO:0046872;GO:0003723; GO:0004521; GO:0046872","P:RNA phosphodiester bond hydrolysis, endonucleolytic; F:RNA binding; F:endoribonuclease activity; F:metal ion binding;endoribonuclease activity [GO:0004521]; metal ion binding [GO:0046872]; RNA binding [GO:0003723]"
"711","XP_027039341.1","Pver_g731.t1",284,5e-138,502.3,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"712","XP_027039403.1","Pver_g732.t1",3496,0,6573.8,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"713","XP_027039404.1","Pver_g733.t1",1338,0,2676,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"714","XP_027039391.1","Pver_g734.t1",271,9.3e-147,530.4,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"715","XP_027039392.1","Pver_g735.t1",671,0,1348.2,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"716","XP_020604542.1","Pver_g736.t1",536,8.7e-298,1033.1,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"717","XP_027039335.1","Pver_g737.t1",567,1.8e-277,965.7,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"718","XP_027039354.1","Pver_g738.t1",912,0,1797.3,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"719","XP_022784997.1","Pver_g739.t1",495,7.8e-269,936.8,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"720","XP_027039345.1","Pver_g740.t1",158,3e-89,338.6,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"721","XP_027039384.1","Pver_g741.t1",220,1.3e-117,433.3,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"722","XP_027039405.1","Pver_g742.t1",766,0,1488,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"723","XP_027039371.1","Pver_g743.t1",880,0,1565.4,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"724","XP_027039390.1","Pver_g744.t1",116,1.4e-54,223,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"725","XP_027039360.1","Pver_g745.t1",704,0,1416.4,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"726","XP_027039387.1","Pver_g746.t1",421,1.5e-234,822.8,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"727","XP_027039416.1","Pver_g747.t2",1386,0,2296.2,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"728","PFX14234.1","Pver_g748.t1",194,5.5e-93,351.3,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"729","XP_027039328.1","Pver_g749.t1",1513,0,2835.1,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"730","XP_027039332.1","Pver_g750.t2",1326,0,2537.3,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"731","XP_027039331.1","Pver_g751.t1",244,1.6e-129,473,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"732","XP_027039329.1","Pver_g752.t1",332,2.5e-186,662.1,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"733","XP_027039350.1","Pver_g753.t2",952,0,1780.8,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"734","XP_027039351.1","Pver_g754.t2",794,0,1362.4,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"735","XP_027039421.1","Pver_g755.t1",408,1.5e-220,776.2,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"736","RMX49586.1","Pver_g756.t1",548,7.5e-297,1030,92.88,"A0A3M6U7M2_POCDA","unreviewed","Uncharacterized protein","pdam_00003041","Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)","C:GO:0016021;GO:0016021","C:integral component of membrane;integral component of membrane [GO:0016021]"
"737","XP_027039359.1","Pver_g757.t1",110,1.5e-58,236.1,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"738","XP_027039418.1","Pver_g758.t1",243,3e-129,472.2,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"739","RMX49591.1","Pver_g759.t1",184,1.9e-99,372.9,97.83,"A0A3M6U7J9_POCDA","unreviewed","Anaphase-promoting complex subunit 10","pdam_00003044","Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)","P:GO:0007049; P:GO:0031145; P:GO:0051301; C:GO:0005680;GO:0005680; GO:0007049; GO:0031145; GO:0051301","P:cell cycle; P:anaphase-promoting complex-dependent catabolic process; P:cell division; C:anaphase-promoting complex;anaphase-promoting complex [GO:0005680]; anaphase-promoting complex-dependent catabolic process [GO:0031145]; cell cycle [GO:0007049]; cell division [GO:0051301]"
"740","XP_027039386.1","Pver_g760.t1",231,9.4e-124,453.8,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"741","XP_027039365.1","Pver_g761.t1",541,1.1e-284,989.6,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"742","XP_027039363.1","Pver_g762.t1",886,0,1588.9,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"743","XP_027039368.1","Pver_g763.t1",1115,0,2116.7,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"744","XP_027039430.1","Pver_g764.t1",268,8.1e-145,524.2,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"745","RMX49662.1","Pver_g765.t1",138,1.6e-62,249.6,97.1,"A0A3M6U7J0_POCDA","unreviewed","Uncharacterized protein (Fragment)","pdam_00003051","Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)","C:GO:0016021;GO:0016021","C:integral component of membrane;integral component of membrane [GO:0016021]"
"746","RMX49660.1","Pver_g766.t2",918,0,1544.3,88.67,"A0A3M6U7L6_POCDA","unreviewed","Uncharacterized protein","pdam_00003053","Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)","P:GO:0034220; F:GO:0004888; F:GO:0005230; C:GO:0005886; C:GO:0016021;GO:0004888; GO:0005230; GO:0005886; GO:0016021","P:ion transmembrane transport; F:transmembrane signaling receptor activity; F:extracellular ligand-gated ion channel activity; C:plasma membrane; C:integral component of membrane;integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; extracellular ligand-gated ion channel activity [GO:0005230]; transmembrane signaling receptor activity [GO:0004888]"
"747","XP_022785603.1","Pver_g767.t1",271,5.1e-122,448.4,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"748","XP_027057409.1","Pver_g768.t2",300,1.7e-165,592.8,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"749","RMX57532.1","Pver_g769.t1",158,6.3e-81,311.2,96.2,"A0A3M6UV36_POCDA","unreviewed","Uncharacterized protein","pdam_00005814","Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)","P:GO:0010951; F:GO:0004869;GO:0004869","P:negative regulation of endopeptidase activity; F:cysteine-type endopeptidase inhibitor activity;cysteine-type endopeptidase inhibitor activity [GO:0004869]"
"750","XP_027057355.1","Pver_g770.t1",1839,0,3212.6,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"751","RMX57530.1","Pver_g771.t1",674,1.5e-289,1006.1,78.93,"A0A3M6UV76_POCDA","unreviewed","ZP domain-containing protein","pdam_00005812","Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)","C:GO:0016021;GO:0016021","C:integral component of membrane;integral component of membrane [GO:0016021]"
"752","XP_027057386.1","Pver_g772.t1",745,0,1477.2,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"753","KXJ07641.1","Pver_g773.t1",1485,0,1592,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"754","PFX28673.1","Pver_g774.t1",798,0,1437.9,88.6,"A0A2B4SHW9_STYPI","unreviewed","Selenoprotein O","Selo AWC38_SpisGene6620","Stylophora pistillata (Smooth cauliflower coral)","P:GO:0006412; F:GO:0003723; F:GO:0003735; F:GO:0005524; F:GO:0016779; F:GO:0046872; C:GO:0015934;GO:0003723; GO:0003735; GO:0005524; GO:0006412; GO:0015934; GO:0016779; GO:0046872","P:translation; F:RNA binding; F:structural constituent of ribosome; F:ATP binding; F:nucleotidyltransferase activity; F:metal ion binding; C:large ribosomal subunit;large ribosomal subunit [GO:0015934]; ATP binding [GO:0005524]; metal ion binding [GO:0046872]; nucleotidyltransferase activity [GO:0016779]; RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]"
"755","XP_027053199.1","Pver_g775.t1",377,3.2e-160,576.2,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"756","XP_027053197.1","Pver_g776.t1",426,9.8e-244,853.2,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"757","XP_027036597.1","Pver_g777.t1.1.5de5c962",646,0,1175.2,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"758","XP_027036599.1","Pver_g778.t1",423,2.2e-235,825.5,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"759","XP_027036600.1","Pver_g779.t1",243,1.2e-129,473.4,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"760","XP_027036673.1","Pver_g780.t1",600,0,1190.3,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"761","XP_027036680.1","Pver_g781.t1",119,2.3e-49,205.7,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"762","XP_027036669.1","Pver_g782.t1",205,2.1e-106,396,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"763","XP_027036661.1","Pver_g783.t1",388,1.1e-201,713.4,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"764","XP_027036672.1","Pver_g784.t1",750,0,1526.5,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"765","XP_022794844.1","Pver_g785.t2",968,0,1245.7,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"766","PFX22992.1","Pver_g786.t1",1240,0,1739.9,72.74,"A0A2B4S395_STYPI","unreviewed","Multidrug resistance-associated protein 4","ABCC4 AWC38_SpisGene12462","Stylophora pistillata (Smooth cauliflower coral)","P:GO:0006810; F:GO:0000166; F:GO:0140359; C:GO:0016020;GO:0005524; GO:0008559; GO:0016021","P:transport; F:nucleotide binding; F:ABC-type transporter activity; C:membrane;integral component of membrane [GO:0016021]; ABC-type xenobiotic transporter activity [GO:0008559]; ATP binding [GO:0005524]"
"767","XP_027036621.1","Pver_g787.t1",3724,0,6582.7,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"768","XP_027036577.1","Pver_g788.t1",336,1.4e-192,682.9,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"769","RMX52068.1","Pver_g789.t1",323,1.8e-173,619.4,99.69,"A0A3M6UF68_POCDA","unreviewed","Uncharacterized protein","pdam_00003711","Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)","P:GO:0007049; P:GO:0051301; F:GO:0008017; C:GO:0005737; C:GO:0005874;GO:0005737; GO:0005874; GO:0007049; GO:0008017; GO:0051301","P:cell cycle; P:cell division; F:microtubule binding; C:cytoplasm; C:microtubule;cytoplasm [GO:0005737]; microtubule [GO:0005874]; microtubule binding [GO:0008017]; cell cycle [GO:0007049]; cell division [GO:0051301]"
"770","XP_027036585.1","Pver_g791.t1",614,0,1153.7,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"771","XP_027036582.1","Pver_g792.t1",347,6.8e-118,434.9,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"772","PFX28477.1","Pver_g793.t2",1182,0,1895.9,85.79,"A0A2B4SIX6_STYPI","unreviewed","Elongator complex protein 3","ELP3 AWC38_SpisGene6758","Stylophora pistillata (Smooth cauliflower coral)","P:GO:0008033; F:GO:0000049; F:GO:0016746; F:GO:0016787; F:GO:0046872; F:GO:0051539;GO:0000049; GO:0008033; GO:0016746; GO:0016787; GO:0046872; GO:0051539","P:tRNA processing; F:tRNA binding; F:acyltransferase activity; F:hydrolase activity; F:metal ion binding; F:4 iron, 4 sulfur cluster binding;4 iron, 4 sulfur cluster binding [GO:0051539]; hydrolase activity [GO:0016787]; metal ion binding [GO:0046872]; transferase activity, transferring acyl groups [GO:0016746]; tRNA binding [GO:0000049]; tRNA processing [GO:0008033]"
"773","PFX28486.1","Pver_g794.t1",280,8.7e-97,364.4,71.79,"A0A2B4SGK2_STYPI","unreviewed","40S ribosomal protein S21","rps21 AWC38_SpisGene6757","Stylophora pistillata (Smooth cauliflower coral)","P:GO:0006412; F:GO:0003735; C:GO:0005840;GO:0003735; GO:0005840; GO:0006412","P:translation; F:structural constituent of ribosome; C:ribosome;ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]"
"774","XP_027036626.1","Pver_g795.t1",1088,0,2116.7,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"775","XP_027036670.1","Pver_g796.t1",278,4.2e-86,328.9,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"776","XP_027036671.1","Pver_g797.t1",295,4.5e-171,611.3,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"777","XP_027036631.1","Pver_g798.t1",545,0,1075.1,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"778","XP_027036630.1","Pver_g799.t1",1662,0,3319.3,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"779","XP_027036650.1","Pver_g800.t1",453,4e-251,877.9,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"780","RMX52061.1","Pver_g801.t1",196,2.1e-95,359.4,97.96,"A0A3M6UEG1_POCDA","unreviewed","H15 domain-containing protein","pdam_00003726","Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)","P:GO:0006334; F:GO:0003677; C:GO:0000786;GO:0000786; GO:0003677; GO:0006334","P:nucleosome assembly; F:DNA binding; C:nucleosome;nucleosome [GO:0000786]; DNA binding [GO:0003677]; nucleosome assembly [GO:0006334]"
