"","Function","Hypothesis.driven.connection","References","gene_id"
"227","ATP binding","ATPsynthesis/cellular energy supply","(Rädecker et al. 2021)  (Matthews et al. 2017)","Pver_g12115"
"228","ATP binding","ATPsynthesis/cellular energy supply","(Rädecker et al. 2021)  (Matthews et al. 2017)","Pver_g16591"
"229","ATP binding","ATPsynthesis/cellular energy supply","(Rädecker et al. 2021)  (Matthews et al. 2017)","Pver_g16592"
"230","Methionine biosynthetic process","One carbon metabolism/amino acid synthesis","(Lehnert et al. 2014)  (Matthews et al. 2017)","Pver_g24567"
"231","Methionine biosynthetic process","One carbon metabolism/amino acid synthesis","(Lehnert et al. 2014)  (Matthews et al. 2017)","Pver_g563"
"232","Methionine biosynthetic process","One carbon metabolism/amino acid synthesis","(Lehnert et al. 2014)  (Matthews et al. 2017)","Pver_g16484"
"233","Methionine biosynthetic process","One carbon metabolism/amino acid synthesis","(Lehnert et al. 2014)  (Matthews et al. 2017)","Pver_g565"
"234","Methionine biosynthetic process","One carbon metabolism/amino acid synthesis","(Lehnert et al. 2014)  (Matthews et al. 2017)","Pver_g6561"
"235","Methionine biosynthetic process","One carbon metabolism/amino acid synthesis","(Lehnert et al. 2014)  (Matthews et al. 2017)","Pver_g6562"
"236","Methionine biosynthetic process","One carbon metabolism/amino acid synthesis","(Lehnert et al. 2014)  (Matthews et al. 2017)","Pver_g9578"
"237","Methionine biosynthetic process","One carbon metabolism/amino acid synthesis","(Lehnert et al. 2014)  (Matthews et al. 2017)","Pver_g12768"
"238","Methionine biosynthetic process","One carbon metabolism/amino acid synthesis","(Lehnert et al. 2014)  (Matthews et al. 2017)","Pver_g16484"
"239","Methionine biosynthetic process","One carbon metabolism/amino acid synthesis","(Lehnert et al. 2014)  (Matthews et al. 2017)","Pver_g26706"
"240","Methionine biosynthetic process","One carbon metabolism/amino acid synthesis","(Lehnert et al. 2014)  (Matthews et al. 2017)","Pver_g22764"
"241","S-adenosylmethionine biosynthetic process","One carbon metabolism/amino acid synthesis/methylation","(Lehnert et al. 2014)  (Matthews et al. 2017)","Pver_g21036"
"242","S-adenosylmethionine biosynthetic process","One carbon metabolism/amino acid synthesis/methylation","(Lehnert et al. 2014)  (Matthews et al. 2017)","Pver_g6024"
"243","S-adenosylmethionine biosynthetic process","One carbon metabolism/amino acid synthesis/methylation","(Lehnert et al. 2014)  (Matthews et al. 2017)","Pver_g14739"
"244","S-adenosylmethionine biosynthetic process","One carbon metabolism/amino acid synthesis/methylation","(Lehnert et al. 2014)  (Matthews et al. 2017)","Pver_g846"
"245","S-adenosylmethionine biosynthetic process","One carbon metabolism/amino acid synthesis/methylation","(Lehnert et al. 2014)  (Matthews et al. 2017)","Pver_g18546"
"246","S-adenosylmethionine biosynthetic process","One carbon metabolism/amino acid synthesis/methylation","(Lehnert et al. 2014)  (Matthews et al. 2017)","Pver_g14739"
"247","S-adenosylmethionine biosynthetic process","One carbon metabolism/amino acid synthesis/methylation","(Lehnert et al. 2014)  (Matthews et al. 2017)","Pver_g18546"
"248","Glycine transporter","Symbiosis transport","(Lehnert et al. 2014)","Pver_g6919"
"249","Glycine transporter","Symbiosis transport","(Lehnert et al. 2014)","Pver_g9371"
"250","Glycine transporter","Symbiosis transport","(Lehnert et al. 2014)","Pver_g9370"
"251","Glycine transporter","Symbiosis transport","(Lehnert et al. 2014)","Pver_g3248"
"252","Glycine transporter","Symbiosis transport","(Lehnert et al. 2014)","Pver_g11546"
"253","Glycine transporter","Symbiosis transport","(Lehnert et al. 2014)","Pver_g16042"
"254","Glycine transporter","Symbiosis transport","(Lehnert et al. 2014)","Pver_g7695"
"255","Ammonium transporter","Nitrogen metabolism/ symbiosis transport","(Lehnert et al. 2014)","Pver_g7799"
"256","Ammonium transporter","Nitrogen metabolism/ symbiosis transport","(Lehnert et al. 2014)","Pver_g14912"
"257","Ammonium transporter","Nitrogen metabolism/ symbiosis transport","(Lehnert et al. 2014)","Pver_g14913"
"258","Ammonium transporter","Nitrogen metabolism/ symbiosis transport","(Lehnert et al. 2014)","Pver_g14915"
"259","Ammonium transporter","Nitrogen metabolism/ symbiosis transport","(Lehnert et al. 2014)","Pver_g3214"
"260","Ammonium transporter","Nitrogen metabolism/ symbiosis transport","(Lehnert et al. 2014)","Pver_g10300"
"261","Ammonium transporter","Nitrogen metabolism/ symbiosis transport","(Lehnert et al. 2014)","Pver_g10301"
"262","Ammonium transporter","Nitrogen metabolism/ symbiosis transport","(Lehnert et al. 2014)","Pver_g10302"
"263","Ammonium transporter","Nitrogen metabolism/ symbiosis transport","(Lehnert et al. 2014)","Pver_g10303"
"264","Ammonium transporter","Nitrogen metabolism/ symbiosis transport","(Lehnert et al. 2014)","Pver_g12207"
"265","Ammonium transporter","Nitrogen metabolism/ symbiosis transport","(Lehnert et al. 2014)","Pver_g12208"
"266","Ammonium transporter","Nitrogen metabolism/ symbiosis transport","(Lehnert et al. 2014)","Pver_g11488"
"267","Ammonium transporter","Nitrogen metabolism/ symbiosis transport","(Lehnert et al. 2014)","Pver_g13194"
"268","Ammonium transporter","Nitrogen metabolism/ symbiosis transport","(Lehnert et al. 2014)","Pver_g13192"
"269","Ammonium transporter","Nitrogen metabolism/ symbiosis transport","(Lehnert et al. 2014)","Pver_g13193"
"270","Ammonium transporter","Nitrogen metabolism/ symbiosis transport","(Lehnert et al. 2014)","Pver_g12856"
"271","Phosphate transporter","Nitrogen metabolism and symbiosis transport","(Lehnert et al. 2014)","Pver_g23808"
"272","Phosphate transporter","Nitrogen metabolism and symbiosis transport","(Lehnert et al. 2014)","Pver_g8883"
"273","Phosphate transporter","Nitrogen metabolism and symbiosis transport","(Lehnert et al. 2014)","Pver_g1381"
"274","Phosphate transporter","Nitrogen metabolism and symbiosis transport","(Lehnert et al. 2014)","Pver_g24862"
"275","Phosphate transporter","Nitrogen metabolism and symbiosis transport","(Lehnert et al. 2014)","Pver_g23808"
"276","Phosphate transporter","Nitrogen metabolism and symbiosis transport","(Lehnert et al. 2014)","Pver_g3147"
"277","UDP-sugar diphosphatase activity","Nitrogen metabolism and symbiosis transport","(Lehnert et al. 2014)","Pver_g11785"
"278","UDP-sugar diphosphatase activity","Nitrogen metabolism and symbiosis transport","(Lehnert et al. 2014)","Pver_g14200"
"279","UDP-sugar diphosphatase activity","Nitrogen metabolism and symbiosis transport","(Lehnert et al. 2014)","Pver_g14202"
"280","S-adenosylmethionine-dependent methyltransferase activity","Methylation/nitrogen metabolism","(Lehnert et al. 2014)","Pver_g12167"
"281","S-adenosylmethionine-dependent methyltransferase activity","Methylation/nitrogen metabolism","(Lehnert et al. 2014)","Pver_g4265"
"282","S-adenosylmethionine-dependent methyltransferase activity","Methylation/nitrogen metabolism","(Lehnert et al. 2014)","Pver_g127"
"283","S-adenosylmethionine-dependent methyltransferase activity","Methylation/nitrogen metabolism","(Lehnert et al. 2014)","Pver_g19032"
"284","S-adenosylmethionine-dependent methyltransferase activity","Methylation/nitrogen metabolism","(Lehnert et al. 2014)","Pver_g3973"
"285","1-acylglycerol-3-phosphate-O-acyltransferase activity","Lipid metabolism/TCA cycle","(Oakley et al. 2016)","Pver_g7166"
"286","1-acylglycerol-3-phosphate-O-acyltransferase activity","Lipid metabolism/TCA cycle","(Oakley et al. 2016)","Pver_g15784"
"287","1-acylglycerol-3-phosphate-O-acyltransferase activity","Lipid metabolism/TCA cycle","(Oakley et al. 2016)","Pver_g15783"
"288","1-acylglycerol-3-phosphate-O-acyltransferase activity","Lipid metabolism/TCA cycle","(Oakley et al. 2016)","Pver_g16737"
"289","1-acylglycerol-3-phosphate-O-acyltransferase activity","Lipid metabolism/TCA cycle","(Oakley et al. 2016)","Pver_g751"
"290","1-acylglycerol-3-phosphate-O-acyltransferase activity","Lipid metabolism/TCA cycle","(Oakley et al. 2016)","Pver_g14589"
"291","1-acylglycerol-3-phosphate-O-acyltransferase activity","Lipid metabolism/TCA cycle","(Oakley et al. 2016)","Pver_g22809"
"292","1-acylglycerol-3-phosphate-O-acyltransferase activity","Lipid metabolism/TCA cycle","(Oakley et al. 2016)","Pver_g15169"
"293","1-acylglycerol-3-phosphate-O-acyltransferase activity","Lipid metabolism/TCA cycle","(Oakley et al. 2016)","Pver_g14810"
"294","Tyrosine catabolic process","TCA cycle, protein synthesis, symbiosis maintenance","(Zhang et al. 2024)","Pver_g24708"
"295","Tyrosine catabolic process","TCA cycle, protein synthesis, symbiosis maintenance","(Zhang et al. 2024)","Pver_g25494"
"296","Tyrosine catabolic process","TCA cycle, protein synthesis, symbiosis maintenance","(Zhang et al. 2024)","Pver_g24887"
"297","Tyrosine catabolic process","TCA cycle, protein synthesis, symbiosis maintenance","(Zhang et al. 2024)","Pver_g13774"
"298","Tyrosine catabolic process","TCA cycle, protein synthesis, symbiosis maintenance","(Zhang et al. 2024)","Pver_g24827"
"299","Tyrosine catabolic process","TCA cycle, protein synthesis, symbiosis maintenance","(Zhang et al. 2024)","Pver_g19241"
"300","Tyrosine catabolic process","TCA cycle, protein synthesis, symbiosis maintenance","(Zhang et al. 2024)","Pver_g24827"
"301","Tyrosine catabolic process","TCA cycle, protein synthesis, symbiosis maintenance","(Zhang et al. 2024)","Pver_g19241"
"302","Tyrosine catabolic process","TCA cycle, protein synthesis, symbiosis maintenance","(Zhang et al. 2024)","Pver_g24827"
"303","Tyrosine catabolic process","TCA cycle, protein synthesis, symbiosis maintenance","(Zhang et al. 2024)","Pver_g19241"
"304","Tyrosine catabolic process","TCA cycle, protein synthesis, symbiosis maintenance","(Zhang et al. 2024)","Pver_g23616"
"305","Tyrosine catabolic process","TCA cycle, protein synthesis, symbiosis maintenance","(Zhang et al. 2024)","Pver_g14239"
"306","Tyrosine catabolic process","TCA cycle, protein synthesis, symbiosis maintenance","(Zhang et al. 2024)","Pver_g22743"
"307","Tyrosine catabolic process","TCA cycle, protein synthesis, symbiosis maintenance","(Zhang et al. 2024)","Pver_g14239"
"308","Tyrosine catabolic process","TCA cycle, protein synthesis, symbiosis maintenance","(Zhang et al. 2024)","Pver_g22743"
"309","Amino acid biosynthetic process","Symbiosis maintenance, transport, regulation","(Li et al. 2018)","Pver_g24708"
"310","Amino acid biosynthetic process","Symbiosis maintenance, transport, regulation","(Li et al. 2018)","Pver_g25494"
"311","Response to abiotic stimulus, response to stress","Symbiosis maintenance, transport, regulation","(Li et al. 2018)","Pver_g5371"
"312","Response to abiotic stimulus, response to stress","Symbiosis maintenance, transport, regulation","(Li et al. 2018)","Pver_g14125"
"313","Response to abiotic stimulus, response to stress","Symbiosis maintenance, transport, regulation","(Li et al. 2018)","Pver_g18337"
"314","Response to abiotic stimulus, response to stress","Symbiosis maintenance, transport, regulation","(Li et al. 2018)","Pver_g1323"
"315","Response to abiotic stimulus, response to stress","Symbiosis maintenance, transport, regulation","(Li et al. 2018)","Pver_g8579"
"316","Response to abiotic stimulus, response to stress","Symbiosis maintenance, transport, regulation","(Li et al. 2018)","Pver_g1324"
"317","Response to abiotic stimulus, response to stress","Symbiosis maintenance, transport, regulation","(Li et al. 2018)","Pver_g14126"
"318","Response to abiotic stimulus, response to stress","Symbiosis maintenance, transport, regulation","(Li et al. 2018)","Pver_g14124"
"319","Response to abiotic stimulus, response to stress","Symbiosis maintenance, transport, regulation","(Li et al. 2018)","Pver_g14127"
"320","Response to abiotic stimulus, response to stress","Symbiosis maintenance, transport, regulation","(Li et al. 2018)","Pver_g553"
"321","Response to abiotic stimulus, response to stress","Symbiosis maintenance, transport, regulation","(Li et al. 2018)","Pver_g1325"
"322","Response to abiotic stimulus, response to stress","Symbiosis maintenance, transport, regulation","(Li et al. 2018)","Pver_g17210"
"323","Response to abiotic stimulus, response to stress","Symbiosis maintenance, transport, regulation","(Li et al. 2018)","Pver_g26051"
"324","Response to abiotic stimulus, response to stress","Symbiosis maintenance, transport, regulation","(Li et al. 2018)","Pver_g8578"
"325","Response to abiotic stimulus, response to stress","Symbiosis maintenance, transport, regulation","(Li et al. 2018)","Pver_g7331"
"326","Response to abiotic stimulus, response to stress","Symbiosis maintenance, transport, regulation","(Li et al. 2018)","Pver_g25586"
"327","Response to abiotic stimulus, response to stress","Symbiosis maintenance, transport, regulation","(Li et al. 2018)","Pver_g6302"
"328","Urease activity","Host nitrogen acquisition process","(Timmins-Schiffman et al. 2024)","Pver_g11000"
"329","Urease activity","Host nitrogen acquisition process","(Timmins-Schiffman et al. 2024)","Pver_g11001"
"330","Urease activity","Host nitrogen acquisition process","(Timmins-Schiffman et al. 2024)","Pver_g11002"
"331","Urease activity","Host nitrogen acquisition process","(Timmins-Schiffman et al. 2024)","Pver_g11003"
"332","Urease activity","Host nitrogen acquisition process","(Timmins-Schiffman et al. 2024)","Pver_g15286"
"333","Isocitrate dehydrogenase (NADP+) activity","GS-GOGAT/ammonium assimilation/nitrogen metabolism","(Timmins-Schiffman et al. 2024)","Pver_g9391"
"334","Isocitrate dehydrogenase (NADP+) activity","GS-GOGAT/ammonium assimilation/nitrogen metabolism","(Timmins-Schiffman et al. 2024)","Pver_g3352"
"335","Isocitrate dehydrogenase (NADP+) activity","GS-GOGAT/ammonium assimilation/nitrogen metabolism","(Timmins-Schiffman et al. 2024)","Pver_g25027"
"336","Isocitrate dehydrogenase (NADP+) activity","GS-GOGAT/ammonium assimilation/nitrogen metabolism","(Timmins-Schiffman et al. 2024)","Pver_g24850"
"337","Isocitrate dehydrogenase (NADP+) activity","GS-GOGAT/ammonium assimilation/nitrogen metabolism","(Timmins-Schiffman et al. 2024)","Pver_g24129"
"338","Isocitrate dehydrogenase (NADP+) activity","GS-GOGAT/ammonium assimilation/nitrogen metabolism","(Timmins-Schiffman et al. 2024)","Pver_g16819"
"339","Isocitrate dehydrogenase (NADP+) activity","GS-GOGAT/ammonium assimilation/nitrogen metabolism","(Timmins-Schiffman et al. 2024)","Pver_g13947"
"340","Isocitrate dehydrogenase (NADP+) activity","GS-GOGAT/ammonium assimilation/nitrogen metabolism","(Timmins-Schiffman et al. 2024)","Pver_g10928"
"341","Amino acid transport","Symbiosis maintenance, transport, carbon metabolism","(Li et al. 2018)","Pver_g1051"
"342","Amino acid transport","Symbiosis maintenance, transport, carbon metabolism","(Li et al. 2018)","Pver_g1052"
"343","Amino acid transport","Symbiosis maintenance, transport, carbon metabolism","(Li et al. 2018)","Pver_g10585"
"344","Amino acid transport","Symbiosis maintenance, transport, carbon metabolism","(Li et al. 2018)","Pver_g11546"
"345","Amino acid transport","Symbiosis maintenance, transport, carbon metabolism","(Li et al. 2018)","Pver_g12082"
"346","Amino acid transport","Symbiosis maintenance, transport, carbon metabolism","(Li et al. 2018)","Pver_g14084"
"347","Amino acid transport","Symbiosis maintenance, transport, carbon metabolism","(Li et al. 2018)","Pver_g16042"
"348","Amino acid transport","Symbiosis maintenance, transport, carbon metabolism","(Li et al. 2018)","Pver_g16066"
"349","Amino acid transport","Symbiosis maintenance, transport, carbon metabolism","(Li et al. 2018)","Pver_g16526"
"350","Amino acid transport","Symbiosis maintenance, transport, carbon metabolism","(Li et al. 2018)","Pver_g16573"
"351","Amino acid transport","Symbiosis maintenance, transport, carbon metabolism","(Li et al. 2018)","Pver_g16574"
"352","Amino acid transport","Symbiosis maintenance, transport, carbon metabolism","(Li et al. 2018)","Pver_g16575"
"353","Amino acid transport","Symbiosis maintenance, transport, carbon metabolism","(Li et al. 2018)","Pver_g18787"
"354","Amino acid transport","Symbiosis maintenance, transport, carbon metabolism","(Li et al. 2018)","Pver_g18841"
"355","Amino acid transport","Symbiosis maintenance, transport, carbon metabolism","(Li et al. 2018)","Pver_g18843"
"356","Amino acid transport","Symbiosis maintenance, transport, carbon metabolism","(Li et al. 2018)","Pver_g22961"
"357","Amino acid transport","Symbiosis maintenance, transport, carbon metabolism","(Li et al. 2018)","Pver_g6061"
"358","Amino acid transport","Symbiosis maintenance, transport, carbon metabolism","(Li et al. 2018)","Pver_g6063"
"359","Amino acid transport","Symbiosis maintenance, transport, carbon metabolism","(Li et al. 2018)","Pver_g6086"
"360","ATPase binding","Symbiosis maintenance, transport, regulation","(Li et al. 2018)","Pver_g9247"
"361","ATPase binding","Symbiosis maintenance, transport, regulation","(Li et al. 2018)","Pver_g854"
"362","ATPase binding","Symbiosis maintenance, transport, regulation","(Li et al. 2018)","Pver_g8526"
"363","ATPase binding","Symbiosis maintenance, transport, regulation","(Li et al. 2018)","Pver_g7223"
"364","ATPase binding","Symbiosis maintenance, transport, regulation","(Li et al. 2018)","Pver_g6679"
"365","ATPase binding","Symbiosis maintenance, transport, regulation","(Li et al. 2018)","Pver_g6678"
"366","ATPase binding","Symbiosis maintenance, transport, regulation","(Li et al. 2018)","Pver_g4909"
"367","ATPase binding","Symbiosis maintenance, transport, regulation","(Li et al. 2018)","Pver_g470"
"368","ATPase binding","Symbiosis maintenance, transport, regulation","(Li et al. 2018)","Pver_g3809"
"369","ATPase binding","Symbiosis maintenance, transport, regulation","(Li et al. 2018)","Pver_g3145"
"370","ATPase binding","Symbiosis maintenance, transport, regulation","(Li et al. 2018)","Pver_g21517"
"371","ATPase binding","Symbiosis maintenance, transport, regulation","(Li et al. 2018)","Pver_g17862"
"372","ATPase binding","Symbiosis maintenance, transport, regulation","(Li et al. 2018)","Pver_g16157"
"373","ATPase binding","Symbiosis maintenance, transport, regulation","(Li et al. 2018)","Pver_g16122"
"374","ATPase binding","Symbiosis maintenance, transport, regulation","(Li et al. 2018)","Pver_g14665"
"375","Transmembrane transporter activity","Symbiosis maintenance, transport, carbon metabolism","(Li et al. 2018)","Pver_g10181"
"376","Transmembrane transporter activity","Symbiosis maintenance, transport, carbon metabolism","(Li et al. 2018)","Pver_g11785"
"377","Transmembrane transporter activity","Symbiosis maintenance, transport, carbon metabolism","(Li et al. 2018)","Pver_g4061"
"378","Monocarboxylic acid transport","Symbiosis maintenance, transport, regulation","(Li et al. 2018)","Pver_g248"
"379","Monocarboxylic acid transport","Symbiosis maintenance, transport, regulation","(Li et al. 2018)","Pver_g249"
"380","Monocarboxylic acid transport","Symbiosis maintenance, transport, regulation","(Li et al. 2018)","Pver_g1508"
"381","Monocarboxylic acid transport","Symbiosis maintenance, transport, regulation","(Li et al. 2018)","Pver_g1510"
"382","Monocarboxylic acid transport","Symbiosis maintenance, transport, regulation","(Li et al. 2018)","Pver_g6817"
"383","Monocarboxylic acid transport","Symbiosis maintenance, transport, regulation","(Li et al. 2018)","Pver_g6815"
"384","Monocarboxylic acid transport","Symbiosis maintenance, transport, regulation","(Li et al. 2018)","Pver_g6818"
"385","Monocarboxylic acid transport","Symbiosis maintenance, transport, regulation","(Li et al. 2018)","Pver_g7615"
"386","Monocarboxylic acid transport","Symbiosis maintenance, transport, regulation","(Li et al. 2018)","Pver_g661"
"387","Monocarboxylic acid transport","Symbiosis maintenance, transport, regulation","(Li et al. 2018)","Pver_g20319"
"388","Monocarboxylic acid transport","Symbiosis maintenance, transport, regulation","(Li et al. 2018)","Pver_g88"
"389","Monocarboxylic acid transport","Symbiosis maintenance, transport, regulation","(Li et al. 2018)","Pver_g17629"
"390","Carbamoyl-phosphate synthase (glutamine-hydrolyzing) activity","Symbiosis maintenance, transport/glutamate synthase","(Li et al. 2018)","Pver_g5891"
"391","Carbamoyl-phosphate synthase (glutamine-hydrolyzing) activity","Symbiosis maintenance, transport/glutamate synthase","(Li et al. 2018)","Pver_g24831"
"392","Carbamoyl-phosphate synthase (glutamine-hydrolyzing) activity","Symbiosis maintenance, transport/glutamate synthase","(Li et al. 2018)","Pver_g390"
"393","Complement receptor mediated signaling pathway","Symbiosis establishment, breakdown, regulation","(Li et al. 2018)","Pver_g8458"
"394","Complement receptor mediated signaling pathway","Symbiosis establishment, breakdown, regulation","(Li et al. 2018)","Pver_g5791"
"395","Complement receptor mediated signaling pathway","Symbiosis establishment, breakdown, regulation","(Li et al. 2018)","Pver_g11514"
"396","Complement receptor mediated signaling pathway","Symbiosis establishment, breakdown, regulation","(Li et al. 2018)","Pver_g5053"
"397","Complement receptor mediated signaling pathway","Symbiosis establishment, breakdown, regulation","(Li et al. 2018)","Pver_g8456"
"398","Histone methyltransferase activity ","Epignetic regulation","(Li et al. 2018)","Pver_g498"
"399","Histone methyltransferase activity ","Epignetic regulation","(Li et al. 2018)","Pver_g1583"
"400","Histone methyltransferase activity ","Epignetic regulation","(Li et al. 2018)","Pver_g13784"
"401","Histone methyltransferase activity ","Epignetic regulation","(Li et al. 2018)","Pver_g3932"
"402","Vesicle-mediated transport","Symbiosis establishment, breakdown, regulation","(Li et al. 2018)","Pver_g10333"
"403","Vesicle-mediated transport","Symbiosis establishment, breakdown, regulation","(Li et al. 2018)","Pver_g14690"
"404","Vesicle-mediated transport","Symbiosis establishment, breakdown, regulation","(Li et al. 2018)","Pver_g1903"
"405","Vesicle-mediated transport","Symbiosis establishment, breakdown, regulation","(Li et al. 2018)","Pver_g1904"
"406","Vesicle-mediated transport","Symbiosis establishment, breakdown, regulation","(Li et al. 2018)","Pver_g26583"
"407","Vesicle-mediated transport","Symbiosis establishment, breakdown, regulation","(Li et al. 2018)","Pver_g9361"
"408","Protein to membrane docking","Symbiosis establishment, breakdown, regulation","(Li et al. 2018)","Pver_g8460"
"409","Short-chain fatty acid transport","Symbiosis establishment, breakdown, regulation","(Li et al. 2018)","Pver_g3019"
"410","Short-chain fatty acid transport","Symbiosis establishment, breakdown, regulation","(Li et al. 2018)","Pver_g5188"
"411","Short-chain fatty acid transport","Symbiosis establishment, breakdown, regulation","(Li et al. 2018)","Pver_g7976"
"412","Protein transport","Symbiosis establishment, breakdown, regulation","(Li et al. 2018)","Pver_g5874"
"413","Protein transport","Symbiosis establishment, breakdown, regulation","(Li et al. 2018)","Pver_g15292"
"414","Immune system process","Symbiosis establishment, breakdown, regulation","(Li et al. 2018)","Pver_g11262"
"415","Cellular response to nitrogen starvation","Symbiosis establishment, breakdown, regulation","(Li et al. 2018)","Pver_g14561"
"416","Apoptotic process","Symbiosis establishment, breakdown, regulation","(Li et al. 2018)","Pver_g9326"
"417","Apoptotic process","Symbiosis establishment, breakdown, regulation","(Li et al. 2018)","Pver_g6673"
"418","Microtubule cytoskeleton organization","Symbiosis establishment, breakdown, regulation","(Li et al. 2018)","Pver_g11460"
"419","Microtubule cytoskeleton organization","Symbiosis establishment, breakdown, regulation","(Li et al. 2018)","Pver_g1489"
"420","Microtubule cytoskeleton organization","Symbiosis establishment, breakdown, regulation","(Li et al. 2018)","Pver_g1490"
"421","Microtubule cytoskeleton organization","Symbiosis establishment, breakdown, regulation","(Li et al. 2018)","Pver_g19924"
"422","Microtubule cytoskeleton organization","Symbiosis establishment, breakdown, regulation","(Li et al. 2018)","Pver_g25827"
"423","Microtubule cytoskeleton organization","Symbiosis establishment, breakdown, regulation","(Li et al. 2018)","Pver_g5896"
"424","Microtubule cytoskeleton organization","Symbiosis establishment, breakdown, regulation","(Li et al. 2018)","Pver_g5897"
"425","Microtubule cytoskeleton organization","Symbiosis establishment, breakdown, regulation","(Li et al. 2018)","Pver_g6766"
"426","Microtubule cytoskeleton organization","Symbiosis establishment, breakdown, regulation","(Li et al. 2018)","Pver_g9718"
"427","Tubulin beta chain","Symbiosis establishment, breakdown, regulation","(Li et al. 2018)","Pver_g876"
"428","Tubulin beta chain","Symbiosis establishment, breakdown, regulation","(Li et al. 2018)","Pver_g7644"
"429","Tubulin beta chain","Symbiosis establishment, breakdown, regulation","(Li et al. 2018)","Pver_g7643"
"430","Tubulin beta chain","Symbiosis establishment, breakdown, regulation","(Li et al. 2018)","Pver_g7642"
"431","Tubulin beta chain","Symbiosis establishment, breakdown, regulation","(Li et al. 2018)","Pver_g7641"
"432","Tubulin beta chain","Symbiosis establishment, breakdown, regulation","(Li et al. 2018)","Pver_g25702"
"433","Tubulin beta chain","Symbiosis establishment, breakdown, regulation","(Li et al. 2018)","Pver_g14383"
"434","Tubulin beta chain","Symbiosis establishment, breakdown, regulation","(Li et al. 2018)","Pver_g1053"
"435","Protein phosphorylation","Symbiosis establishment, breakdown, regulation","(Li et al. 2018)","Pver_g5173"
"436","Response to oxidative stress","Symbiosis establishment, breakdown, regulation","(Li et al. 2018)","Pver_g8528"
"437","Protein phosphorylation","Symbiosis establishment, breakdown, regulation","(Li et al. 2018)","Pver_g7481"
"438","Protein phosphorylation","Symbiosis establishment, breakdown, regulation","(Li et al. 2018)","Pver_g26287"
"439","Rho protein signal transduction","Symbiosis establishment, breakdown, regulation","(Li et al. 2018)","Pver_g15914"
"440","Phosphatidylinositol biosynthetic process","Symbiosis establishment, breakdown, regulation","(Li et al. 2018)","Pver_g12421"
"441","Lysosomal membrane nutrient uptake","Symbiosis establishment, breakdown, regulation","(Li et al. 2018)","Pver_g12836"
"442","Nitric oxide mediated signal transduction","Symbiosis establishment, breakdown, regulation","(Li et al. 2018)","Pver_g16173"
"443","Nitric oxide mediated signal transduction","Symbiosis establishment, breakdown, regulation","(Li et al. 2018)","Pver_g264"
"444","Alcohol dehydrogenase (NAD+) activity","Symbiosis establishment, breakdown, regulation","(Li et al. 2018)","Pver_g15015"
"445","Alcohol dehydrogenase (NAD+) activity","Symbiosis establishment, breakdown, regulation","(Li et al. 2018)","Pver_g14476"
"446","Alcohol dehydrogenase (NAD+) activity","Symbiosis establishment, breakdown, regulation","(Li et al. 2018)","Pver_g23869"
"447","Alcohol dehydrogenase (NAD+) activity","Symbiosis establishment, breakdown, regulation","(Li et al. 2018)","Pver_g25184"
"448","Alcohol dehydrogenase (NAD+) activity","Symbiosis establishment, breakdown, regulation","(Li et al. 2018)","Pver_g19964"
"449","Oxidoreductase activity","Stress response, symbiont regulation","(Rädecker et al. 2021) (Azevedo-martins et al. 2014) (Li et al. 2018)","Pver_g24065"
"450","DNA integration","Lipid metabolism/TCA cycle/carbon metabolism","(Rädecker et al. 2021) (Ganot et al. 2011) (Li et al. 2018)","Pver_g12532"
"451","DNA integration","Lipid metabolism/TCA cycle/carbon metabolism","(Rädecker et al. 2021) (Ganot et al. 2011) (Li et al. 2018)","Pver_g19760"
"452","DNA integration","Lipid metabolism/TCA cycle/carbon metabolism","(Rädecker et al. 2021) (Ganot et al. 2011) (Li et al. 2018)","Pver_g19849"
"453","DNA integration","Lipid metabolism/TCA cycle/carbon metabolism","(Rädecker et al. 2021) (Ganot et al. 2011) (Li et al. 2018)","Pver_g20273"
"454","Oxidoreductase activity","Stress response, symbiont regulation","(Rädecker et al. 2021) (Azevedo-martins et al. 2014) (Li et al. 2018)","Pver_g13587"
"455","Oxidoreductase activity","Stress response, symbiont regulation","(Rädecker et al. 2021) (Azevedo-martins et al. 2014) (Li et al. 2018)","Pver_g13588"
"456","Reactive oxygen species metabolic process","Stress response, symbiont regulation","(Rädecker et al. 2021) (Azevedo-martins et al. 2014) (Li et al. 2018)","Pver_g773"
"457","Reactive oxygen species metabolic process","Stress response, symbiont regulation","(Rädecker et al. 2021) (Azevedo-martins et al. 2014) (Li et al. 2018)","Pver_g4701"
