"gene"	"pval.treatment"	"adj.pval.treatment"	"Query"	"Source"	"Hit_accession"	"Hit_description"	"Query_length"	"Hit_length"	"Identity."	"bitscore"	"evalue"	"Coverage"	"Organism"	"Gene_ontology_IDs"
"Pver_gene_g22574"	3.36995570689479e-12	3.28592564251507e-10	"Pver_g22574.t1"	"trembl"	"A0A2B4RBG6"	"Nucleotide-binding oligomerization domain-containing protein 2"	194	191	60.209	259	1.14e-76	7.103012272	"Stylophora pistillata (Smooth cauliflower coral)"	"GO:0015074"
"Pver_gene_g21134"	3.58433388249965e-12	3.47241016642676e-10	"Pver_g21134.t1"	"trembl"	"A0A2B4RBG6"	"Nucleotide-binding oligomerization domain-containing protein 2"	293	198	59.091	256	6.76e-74	7.363332094	"Stylophora pistillata (Smooth cauliflower coral)"	"GO:0015074"
"Pver_gene_g7618"	5.0015989829677e-12	4.81435963642583e-10	"Pver_g7618.t1"	"trembl"	"A0A2B4R6Y6"	"Uncharacterized protein"	352	89	53.933	101	3.86e-21	32.24637681	"Stylophora pistillata (Smooth cauliflower coral)"	""
"Pver_gene_g11492"	5.37518553244422e-12	5.14100547485238e-10	"Pver_g11492.t1"	"swiss-prot"	"Q9NWF9"	"E3 ubiquitin-protein ligase RNF216 (EC 2.3.2.27) (RING finger protein 216) (RING-type E3 ubiquitin transferase RNF216) (Triad domain-containing protein 3) (Ubiquitin-conjugating enzyme 7-interacting protein 1) (Zinc finger protein inhibiting NF-kappa-B)"	677	464	38.362	306	1.82e-91	53.57967667	"Homo sapiens (Human)"	"GO:0005634; GO:0005654; GO:0005829; GO:0006915; GO:0016032; GO:0032480; GO:0032648; GO:0043161; GO:0046872; GO:0050691; GO:0061630; GO:0070936; GO:0098685; GO:0098843; GO:0098978; GO:0099546"
"Pver_gene_g18025"	5.76814135779523e-12	5.48192472333248e-10	"Pver_g18025.t1"	"swiss-prot"	"P20825"	"Retrovirus-related Pol polyprotein from transposon 297 [Includes: Protease (EC 3.4.23.-); Reverse transcriptase (EC 2.7.7.49); Endonuclease]"	865	372	35.2	222	3.33e-59	35.12747875	"Drosophila melanogaster (Fruit fly)"	"GO:0003676; GO:0003964; GO:0004190; GO:0004519; GO:0015074"
"Pver_gene_g8312"	6.04546130595529e-12	5.70934886605186e-10	"Pver_g8312.t1"	"trembl"	"A0A2B4RC44"	"Uncharacterized protein F54H12.2"	304	278	39.209	131	5.09e-31	54.72440945	"Stylophora pistillata (Smooth cauliflower coral)"	"GO:0009263"
"Pver_gene_g970"	6.43520701092614e-12	6.03944177975418e-10	"Pver_g970.t1"	"trembl"	"A0A2B4S036"	"Nephrocystin-3"	688	681	82.8	1170	0	59.78928885	"Stylophora pistillata (Smooth cauliflower coral)"	""
"Pver_gene_g22076"	7.19325418293393e-12	6.70893818701465e-10	"Pver_g22076.t1"	"swiss-prot"	"P08361"	"Gag-Pol polyprotein (Pr180gag-pol) [Cleaved into: Matrix protein p15; RNA-binding phosphoprotein p12 (pp12); Capsid protein p30; Nucleocapsid protein p10-Pol (NC-pol); Protease (EC 3.4.23.-); Reverse transcriptase/ribonuclease H (RT) (EC 2.7.7.49) (EC 2.7.7.7) (EC 3.1.26.4); Integrase (IN) (EC 2.7.7.-) (EC 3.1.-.-)]"	306	130	34.615	55.1	4.43e-07	7.501442585	"Cas-Br-E murine leukemia virus"	"GO:0003677; GO:0003723; GO:0003887; GO:0003964; GO:0004190; GO:0004523; GO:0006310; GO:0008270; GO:0015074; GO:0016020; GO:0019013; GO:0019068; GO:0020002; GO:0039657; GO:0039660; GO:0044185; GO:0044826; GO:0046718; GO:0072494; GO:0075713"
"Pver_gene_g22715"	8.40796497765764e-12	7.7934569200313e-10	"Pver_g22715.t1"	"swiss-prot"	"P04323"	"Retrovirus-related Pol polyprotein from transposon 17.6 [Includes: Protease (EC 3.4.23.-); Reverse transcriptase (EC 2.7.7.49); Endonuclease]"	168	169	39.1	124	5.06e-32	15.97353497	"Drosophila melanogaster (Fruit fly)"	"GO:0003676; GO:0003964; GO:0004190; GO:0004519; GO:0015074"
"Pver_gene_g19729"	9.6723943113762e-12	8.91047073494632e-10	"Pver_g19729.t1"	"swiss-prot"	"O54904"	"Beta-1,3-galactosyltransferase 1 (Beta-1,3-GalTase 1) (Beta3Gal-T1) (Beta3GalT1) (EC 2.4.1.86) (UDP-Gal:betaGlcNAc beta 1,3-galactosyltransferase-I) (UDP-galactose:beta-N-acetyl-glucosamine-beta-1,3-galactosyltransferase 1)"	848	192	31.3	107	5.47e-24	58.89570552	"Mus musculus (Mouse)"	"GO:0000139; GO:0005783; GO:0005794; GO:0006486; GO:0006487; GO:0006493; GO:0006682; GO:0008375; GO:0008376; GO:0008499; GO:0009312; GO:0016021; GO:0030259; GO:0047275"
"Pver_gene_g15595"	1.45808919056866e-11	1.32889679570738e-09	"Pver_g15595.t1"	"trembl"	"A0A3M6TMQ9"	"THAP-type domain-containing protein (Fragment)"	388	101	92.1	201	4.04e-57	23.87706856	"Pocillopora damicornis"	"GO:0003677"
"Pver_gene_g23157"	1.46022889778715e-11	1.32889679570738e-09	"Pver_g23157.t1"	"swiss-prot"	"Q2KIK0"	"Protein SGT1 homolog (Suppressor of G2 allele of SKP1 homolog)"	433	219	54.8	216	8.72e-66	64.79289941	"Bos taurus (Bovine)"	"GO:0005634; GO:0005737; GO:0031647; GO:0050821"
"Pver_gene_g7138"	1.67399089627847e-11	1.51425586135648e-09	"Pver_g7138.t1"	"swiss-prot"	"Q9P215"	"Pogo transposable element with KRAB domain"	485	393	30.8	208	2.32e-59	64.5320197	"Homo sapiens (Human)"	"GO:0003677; GO:0005634; GO:0006355; GO:0007275"
"Pver_gene_g3323"	2.31713513771448e-11	2.08347911544435e-09	"Pver_g3323.t2"	"swiss-prot"	"P27401"	"Pro-Pol polyprotein (Pr125Pol) [Cleaved into: Protease/Reverse transcriptase/ribonuclease H (EC 2.7.7.49) (EC 2.7.7.7) (EC 3.1.26.4) (EC 3.4.23.-) (p87Pro-RT-RNaseH); Protease/Reverse transcriptase (EC 2.7.7.49) (EC 2.7.7.7) (EC 3.4.23.-) (p65Pro-RT); Ribonuclease H (RNase H) (EC 3.1.26.4); Integrase (IN) (EC 2.7.7.-) (EC 3.1.-.-) (p42In)]"	3079	216	26.9	57	3.28e-06	18.8976378	"Simian foamy virus type 3 (strain LK3) (SFVagm) (SFV-3)"	"GO:0003723; GO:0003887; GO:0003964; GO:0004190; GO:0004523; GO:0006310; GO:0015074; GO:0019012; GO:0030430; GO:0042025; GO:0044826; GO:0046718; GO:0046872; GO:0075713; GO:0075732"
"Pver_gene_g20827"	3.49463972767395e-11	3.1235422708781e-09	"Pver_g20827.t1"	"swiss-prot"	"O02751"	"Craniofacial development protein 2 (p97 bucentaur protein)"	786	232	29.3	117	3.61e-26	39.18918919	"Bos taurus (Bovine)"	"GO:0005634; GO:0005737"
"Pver_gene_g23393"	4.47583357135664e-11	3.97687082292848e-09	"Pver_g23393.t2"	"swiss-prot"	"F4I107"	"Pectin acetylesterase 1 (EC 3.1.1.-)"	1464	98	48	105	1.2e-22	25.25773196	"Arabidopsis thaliana (Mouse-ear cress)"	"GO:0005576; GO:0009505; GO:0052793; GO:0071555"
"Pver_gene_g9237"	4.51760294225459e-11	3.99037210475853e-09	"Pver_g9237.t1"	"swiss-prot"	"Q14192"	"Four and a half LIM domains protein 2 (FHL-2) (LIM domain protein DRAL) (Skeletal muscle LIM-protein 3) (SLIM-3)"	556	271	39.1	220	1.68e-66	97.13261649	"Homo sapiens (Human)"	"GO:0000122; GO:0001649; GO:0003713; GO:0005634; GO:0005654; GO:0005925; GO:0008134; GO:0009725; GO:0019216; GO:0030018; GO:0030521; GO:0031430; GO:0042802; GO:0043066; GO:0045893; GO:0046872; GO:0050681; GO:0055014; GO:0055015; GO:0060347; GO:0070885"
"Pver_gene_g14588"	4.82951317405815e-11	4.24093390769925e-09	"Pver_g14588.t1"	"trembl"	"A0A2B4S540"	"Pro-Pol polyprotein"	129	68	47.1	64.3	2.67e-09	4.287515763	"Stylophora pistillata (Smooth cauliflower coral)"	"GO:0003676; GO:0015074"
"Pver_gene_g9870"	5.45959094393045e-11	4.76634986128253e-09	"Pver_g9870.t1"	"swiss-prot"	"Q93009"	"Ubiquitin carboxyl-terminal hydrolase 7 (EC 3.4.19.12) (Deubiquitinating enzyme 7) (Herpesvirus-associated ubiquitin-specific protease) (Ubiquitin thioesterase 7) (Ubiquitin-specific-processing protease 7)"	1204	283	38.9	190	7.56e-48	25.68058076	"Homo sapiens (Human)"	"GO:0002039; GO:0004197; GO:0004843; GO:0005634; GO:0005654; GO:0005694; GO:0005829; GO:0006283; GO:0006511; GO:0007275; GO:0008022; GO:0008134; GO:0010216; GO:0016032; GO:0016567; GO:0016579; GO:0016604; GO:0016605; GO:0031625; GO:0031647; GO:0032088; GO:0032435; GO:0032991; GO:0035520; GO:0035616; GO:0036459; GO:0042752; GO:0048511; GO:0050821; GO:0051090; GO:0101005; GO:1901537; GO:1904353; GO:1990380"
"Pver_gene_g22693"	6.58423350514386e-11	5.71496244585203e-09	"Pver_g22693.t2"	"swiss-prot"	"Q09575"	"Uncharacterized protein K02A2.6"	173	137	32.1	60.8	4.86e-10	10.8044164	"Caenorhabditis elegans"	"GO:0003676; GO:0008270; GO:0015074"
"Pver_gene_g16498"	7.5905125424212e-11	6.55052507683889e-09	"Pver_g16498.t1"	"swiss-prot"	"Q8NHP8"	"Putative phospholipase B-like 2 (EC 3.1.1.-) (76 kDa protein) (p76) (LAMA-like protein 2) (Lamina ancestor homolog 2) (Phospholipase B domain-containing protein 2) [Cleaved into: Putative phospholipase B-like 2 32 kDa form; Putative phospholipase B-like 2 45 kDa form]"	526	481	51.1	475	8.69e-162	81.66383701	"Homo sapiens (Human)"	"GO:0004620; GO:0016042; GO:0043202; GO:0070062"
"Pver_gene_g639"	8.49967186916582e-11	7.25176549928375e-09	"Pver_g639.t1"	"trembl"	"A0A2B4RYP5"	"Uncharacterized protein"	328	164	74.4	190	5.9e-56	75.92592593	"Stylophora pistillata (Smooth cauliflower coral)"	"GO:0016021"
"Pver_gene_g21783"	8.46639226172738e-11	7.25176549928375e-09	"Pver_g21783.t1"	"trembl"	"A0A3M6UXM1"	"Uncharacterized protein (Fragment)"	404	296	97	599	0	78.93333333	"Pocillopora damicornis"	""
"Pver_gene_g10350"	9.1322387539653e-11	7.74744051579338e-09	"Pver_g10350.t2"	"swiss-prot"	"P29315"	"Ribonuclease inhibitor (Ribonuclease/angiogenin inhibitor 1)"	1171	218	34.4	109	1.14e-23	47.80701754	"Rattus norvegicus (Rat)"	"GO:0005737; GO:0008428; GO:0032311; GO:0045765"
"Pver_gene_g14634"	9.947745993072e-11	8.39187381078479e-09	"Pver_g14634.t1"	"trembl"	"A0A2B4RR83"	"Uncharacterized protein"	298	221	95.9	447	3.73e-142	13.27327327	"Stylophora pistillata (Smooth cauliflower coral)"	""
"Pver_gene_g19462"	1.02888887550429e-10	8.63117058914661e-09	"Pver_g19462.t1"	"swiss-prot"	"P11369"	"LINE-1 retrotransposable element ORF2 protein (ORF2p) (Long interspersed element-1) (L1) (Retrovirus-related Pol polyprotein LINE-1) [Includes: Reverse transcriptase (EC 2.7.7.49); Endonuclease (EC 3.1.21.-)]"	471	240	26.3	76.3	2.38e-13	18.735363	"Mus musculus (Mouse)"	"GO:0003964; GO:0004519; GO:0006310; GO:0046872"
"Pver_gene_g20908"	1.04322462920966e-10	8.70281168456239e-09	"Pver_g20908.t1"	"trembl"	"A0A2B4RKX3"	"DDE Tnp4 domain-containing protein"	352	342	62	472	2.41e-164	95.53072626	"Stylophora pistillata (Smooth cauliflower coral)"	""
"Pver_gene_g15031"	1.15249711697549e-10	9.56126889972593e-09	"Pver_g15031.t1"	"trembl"	"A0A2B4RWX3"	"THAP domain-containing protein 1"	194	136	55.1	139	2.4e-35	25.56390977	"Stylophora pistillata (Smooth cauliflower coral)"	"GO:0003677"
"Pver_gene_g22288"	1.18016462535425e-10	9.73700660127442e-09	"Pver_g22288.t1"	"swiss-prot"	"P20876"	"Gag-Pol polyprotein (Pr160Gag-Pol) [Cleaved into: Matrix protein p17 (MA); Capsid protein p24 (CA); Spacer peptide 1 (SP1) (p2); Nucleocapsid protein p7 (NC); Transframe peptide (TF); p6-pol (p6*); Protease (EC 3.4.23.47) (PR) (Retropepsin); Reverse transcriptase/ribonuclease H (EC 2.7.7.49) (EC 2.7.7.7) (EC 3.1.26.13) (Exoribonuclease H) (EC 3.1.13.2) (p66 RT); p51 RT; p15; Integrase (IN) (EC 2.7.7.-) (EC 3.1.-.-)]"	244	160	28.1	52	1.99e-06	10.93643199	"Human immunodeficiency virus type 2 subtype A (isolate ST) (HIV-2)"	"GO:0003677; GO:0003723; GO:0003887; GO:0003964; GO:0004190; GO:0004523; GO:0004533; GO:0005198; GO:0006310; GO:0008270; GO:0008289; GO:0015074; GO:0019013; GO:0020002; GO:0039657; GO:0042025; GO:0044826; GO:0046718; GO:0055036; GO:0072494; GO:0075713; GO:0075732"
"Pver_gene_g19657"	1.22267734757829e-10	1.00326355471233e-08	"Pver_g19657.t3"	"trembl"	"A0A2B4RFF3"	"Retrovirus-related Pol polyprotein"	435	73	49.3	87.4	1.73e-14	3.755144033	"Stylophora pistillata (Smooth cauliflower coral)"	""
"Pver_gene_g7690"	1.38360936249937e-10	1.1291455536571e-08	"Pver_g7690.t1"	"swiss-prot"	"Q0VGW6"	"Solute carrier family 12 member 9 (Cation-chloride cotransporter-interacting protein 1)"	728	684	48.7	646	0	76.08453838	"Xenopus laevis (African clawed frog)"	"GO:0005886; GO:0006811; GO:0016021; GO:0022857"
"Pver_gene_g13006"	1.47819183249425e-10	1.19981235441804e-08	"Pver_g13006.t1"	"swiss-prot"	"P20825"	"Retrovirus-related Pol polyprotein from transposon 297 [Includes: Protease (EC 3.4.23.-); Reverse transcriptase (EC 2.7.7.49); Endonuclease]"	369	264	32.6	145	8.42e-37	24.92917847	"Drosophila melanogaster (Fruit fly)"	"GO:0003676; GO:0003964; GO:0004190; GO:0004519; GO:0015074"
"Pver_gene_g11050"	1.493274292883e-10	1.20553799902856e-08	"Pver_g11050.t2"	"swiss-prot"	"Q09575"	"Uncharacterized protein K02A2.6"	1219	265	25.7	88.6	2.75e-16	20.89905363	"Caenorhabditis elegans"	"GO:0003676; GO:0008270; GO:0015074"
"Pver_gene_g18823"	2.08518735973109e-10	1.67439429912952e-08	"Pver_g18823.t1"	"swiss-prot"	"Q86YR5"	"G-protein-signaling modulator 1 (Activator of G-protein signaling 3)"	1295	317	34.4	183	6.56e-47	46.96296296	"Homo sapiens (Human)"	"GO:0000139; GO:0005092; GO:0005789; GO:0005829; GO:0005886; GO:0007399; GO:0016239; GO:0030154; GO:0032991; GO:0034260; GO:1905098"
"Pver_gene_g18424"	2.69721464569609e-10	2.15432846381769e-08	"Pver_g18424.t1"	"nr"	"GCD93332.1"	NA	206	111	53.153	70.5	1.26e-10	NA	NA	NA
"Pver_gene_g19763"	3.10613808866244e-10	2.46781849414578e-08	"Pver_g19763.t1"	"trembl"	"A0A2B4R967"	"Uncharacterized protein"	610	296	33.1	143	4.46e-34	83.85269122	"Stylophora pistillata (Smooth cauliflower coral)"	""
"Pver_gene_g2051"	3.34935552113231e-10	2.64704855291172e-08	"Pver_g2051.t1"	"swiss-prot"	"Q9C907"	"Glycerophosphodiester phosphodiesterase GDPD5 (EC 3.1.4.46) (Glycerophosphodiester phosphodiesterase 5) (ATGDPD5)"	371	326	40.2	225	2.34e-69	83.16326531	"Arabidopsis thaliana (Mouse-ear cress)"	"GO:0005576; GO:0005618; GO:0005773; GO:0005829; GO:0006071; GO:0006629; GO:0008889"
"Pver_gene_g9521"	3.42112841871531e-10	2.6896159337921e-08	"Pver_g9521.t2"	"swiss-prot"	"A1L1W4"	"Retinol dehydrogenase 10-A (EC 1.1.1.300)"	1276	190	45.8	175	5.85e-47	56.04719764	"Danio rerio (Zebrafish) (Brachydanio rerio)"	"GO:0002138; GO:0005789; GO:0005811; GO:0016021; GO:0052650"
"Pver_gene_g6536"	3.60215980141054e-10	2.81718914468649e-08	"Pver_g6536.t1"	"trembl"	"A0A2B4RR03"	"THAP domain-containing protein 6"	240	235	26	92.8	5.23e-18	46.812749	"Stylophora pistillata (Smooth cauliflower coral)"	"GO:0003677"
"Pver_gene_g22704"	3.83368234546551e-10	2.98272404660674e-08	"Pver_g22704.t1"	"trembl"	"W4XFV4"	"Integrase catalytic domain-containing protein"	147	145	38.6	105	2.04e-23	8.3429229	"Strongylocentrotus purpuratus (Purple sea urchin)"	"GO:0003676; GO:0004190; GO:0015074"
"Pver_gene_g7067"	4.27517583303736e-10	3.30907424272623e-08	"Pver_g7067.t1"	"trembl"	"A0A2B4RQ91"	"ATP-dependent DNA helicase (EC 3.6.4.12)"	1515	617	72.4	940	0	46.21722846	"Stylophora pistillata (Smooth cauliflower coral)"	"GO:0000723; GO:0003678; GO:0005524; GO:0006281; GO:0006310"
"Pver_gene_g1185"	4.49830766587815e-10	3.46392758517058e-08	"Pver_g1185.t2"	"trembl"	"A0A1X7SXK8"	"Uncharacterized protein"	716	180	37.8	135	9.98e-32	62.5	"Amphimedon queenslandica (Sponge)"	"GO:0003677; GO:0004803; GO:0006313"
"Pver_gene_g4323"	4.86397757846429e-10	3.72640241419489e-08	"Pver_g4323.t1"	"trembl"	"A7SQH8"	"Predicted protein"	1347	325	35.385	167	2.44e-38	32.82828283	"Nematostella vectensis (Starlet sea anemone)"	"GO:0016021"
"Pver_gene_g18736"	5.43449494032606e-10	4.14235411289016e-08	"Pver_g18736.t1"	"swiss-prot"	"Q9M2U3"	"Protein ALP1-like (EC 3.1.-.-)"	349	224	30.4	105	3.78e-24	55.17241379	"Arabidopsis thaliana (Mouse-ear cress)"	"GO:0004518; GO:0005634; GO:0046872"
"Pver_gene_g7466"	6.64799567625286e-10	5.02729495171429e-08	"Pver_g7466.t1"	"trembl"	"A0A2B4SX47"	"Uncharacterized protein"	336	335	86.866	607	0	100	"Stylophora pistillata (Smooth cauliflower coral)"	"GO:0016021"
"Pver_gene_g19384"	6.66243803536989e-10	5.02729495171429e-08	"Pver_g19384.t1"	"swiss-prot"	"D3YXG0"	"Hemicentin-1 (Fibulin-6) (FIBL-6)"	570	280	47.9	293	5.05e-85	4.969826056	"Mus musculus (Mouse)"	"GO:0005509; GO:0005576; GO:0005604; GO:0005913; GO:0005938; GO:0007049; GO:0007156; GO:0007157; GO:0009617; GO:0030054; GO:0032154; GO:0038023; GO:0042803; GO:0050839; GO:0051301; GO:0062023"
"Pver_gene_g18137"	6.95704335693587e-10	5.19736134565916e-08	"Pver_g18137.t2"	"trembl"	"A0A2B4SW97"	"SWIM-type domain-containing protein"	660	164	39.6	135	4.73e-29	14.66905188	"Stylophora pistillata (Smooth cauliflower coral)"	"GO:0003700; GO:0008270; GO:0016021; GO:0061400"
"Pver_gene_g19601"	6.93720195136315e-10	5.19736134565916e-08	"Pver_g19601.t1"	"trembl"	"A0A2B4R3C4"	"Tetratricopeptide repeat protein 38 (Fragment)"	431	391	95.4	773	0	71.875	"Stylophora pistillata (Smooth cauliflower coral)"	"GO:0008270"
"Pver_gene_g17669"	7.24397355695262e-10	5.38492608570299e-08	"Pver_g17669.t1"	"trembl"	"A0A2B4RQ91"	"ATP-dependent DNA helicase (EC 3.6.4.12)"	201	131	35.1	79.3	1.25e-13	9.812734082	"Stylophora pistillata (Smooth cauliflower coral)"	"GO:0000723; GO:0003678; GO:0005524; GO:0006281; GO:0006310"
"Pver_gene_g22434"	7.344546451097e-10	5.43279357190505e-08	"Pver_g22434.t1"	"swiss-prot"	"Q8I7P9"	"Retrovirus-related Pol polyprotein from transposon opus [Includes: Protease (EC 3.4.23.-); Reverse transcriptase (EC 2.7.7.49); Endonuclease]"	217	228	37.3	146	2.86e-39	22.73180459	"Drosophila melanogaster (Fruit fly)"	"GO:0003676; GO:0003964; GO:0004519; GO:0005634; GO:0006313; GO:0008233; GO:0015074"
"Pver_gene_g19686"	7.43873138186357e-10	5.47548972696389e-08	"Pver_g19686.t1"	"swiss-prot"	"P0CT34"	"Transposon Tf2-1 polyprotein (Retrotransposable element Tf2 155 kDa protein)"	1518	932	25	245	1.94e-64	69.91747937	"Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)"	"GO:0003677; GO:0003723; GO:0003887; GO:0003964; GO:0004190; GO:0004519; GO:0005634; GO:0006310; GO:0015074; GO:0046872"
"Pver_gene_g3369"	7.55149032559951e-10	5.53137457215621e-08	"Pver_g3369.t1"	"swiss-prot"	"Q08431"	"Lactadherin (Breast epithelial antigen BA46) (HMFG) (MFGM) (Milk fat globule-EGF factor 8) (MFG-E8) (SED1) [Cleaved into: Lactadherin short form; Medin]"	1390	353	28.3	110	2.79e-24	91.21447028	"Homo sapiens (Human)"	"GO:0001525; GO:0001786; GO:0005178; GO:0005576; GO:0005615; GO:0005788; GO:0006910; GO:0006911; GO:0007155; GO:0007338; GO:0008429; GO:0009897; GO:0016020; GO:0019897; GO:0043277; GO:0043687; GO:0044267; GO:0050766; GO:0062023; GO:0070062; GO:1903561"
"Pver_gene_g3631"	7.74228145353288e-10	5.64359700515776e-08	"Pver_g3631.t1"	"swiss-prot"	"P21328"	"RNA-directed DNA polymerase from mobile element jockey (EC 2.7.7.49) (Reverse transcriptase)"	627	213	30.516	76.6	3.13e-13	23.25327511	"Drosophila melanogaster (Fruit fly)"	"GO:0003964"
"Pver_gene_g20750"	7.92305706036021e-10	5.74746979798884e-08	"Pver_g20750.t2"	"trembl"	"A0A2B4R7H4"	"C2H2-type domain-containing protein"	767	112	56.3	130	2.14e-27	12.13434453	"Stylophora pistillata (Smooth cauliflower coral)"	"GO:0003676"
"Pver_gene_g15373"	8.49273915383106e-10	6.10176895377642e-08	"Pver_g15373.t1"	"swiss-prot"	"P9WLL4"	"Uncharacterized protein MT2135"	568	445	21.8	64.7	1.02e-09	91.37577002	"Mycobacterium tuberculosis (strain CDC 1551 / Oshkosh)"	"GO:0005886; GO:0006629; GO:0008081; GO:0016021"
"Pver_gene_g26764"	8.48834415555639e-10	6.10176895377642e-08	"Pver_g26764.t1"	"trembl"	"A0A2B4R903"	"Uncharacterized protein"	874	590	64.4	759	0	78.45744681	"Stylophora pistillata (Smooth cauliflower coral)"	"GO:0016021"
"Pver_gene_g15730"	8.90417235344963e-10	6.36690724092379e-08	"Pver_g15730.t2"	"swiss-prot"	"Q09575"	"Uncharacterized protein K02A2.6"	847	325	25.2	85.9	1.03e-15	25.63091483	"Caenorhabditis elegans"	"GO:0003676; GO:0008270; GO:0015074"
"Pver_gene_g19672"	9.22355161185424e-10	6.56402137457835e-08	"Pver_g19672.t1"	"swiss-prot"	"Q09575"	"Uncharacterized protein K02A2.6"	769	268	35.1	150	4.65e-36	21.13564669	"Caenorhabditis elegans"	"GO:0003676; GO:0008270; GO:0015074"
"Pver_gene_g11565"	9.61173347554197e-10	6.80800895607256e-08	"Pver_g11565.t1"	"swiss-prot"	"Q7RTR2"	"NLR family CARD domain-containing protein 3 (CARD15-like protein) (Caterpiller protein 16.2) (CLR16.2) (NACHT, LRR and CARD domains-containing protein 3) (Nucleotide-binding oligomerization domain protein 3)"	1197	140	44.3	95.1	2.05e-18	13.14553991	"Homo sapiens (Human)"	"GO:0005524; GO:0005737; GO:0005829; GO:0007249; GO:0014067; GO:0032088; GO:0032687; GO:0032688; GO:0032715; GO:0032720; GO:0034451; GO:0035556; GO:0036312; GO:0042110; GO:0043124; GO:0043231; GO:0045824; GO:0048147; GO:0048471; GO:0050680; GO:0050728; GO:1900016; GO:1900226; GO:1901223"
"Pver_gene_g2398"	9.85992053274882e-10	6.95101252205428e-08	"Pver_g2398.t1"	"swiss-prot"	"Q8TE73"	"Dynein heavy chain 5, axonemal (Axonemal beta dynein heavy chain 5) (Ciliary dynein heavy chain 5)"	4782	4587	61.9	5771	0	99.19982699	"Homo sapiens (Human)"	"GO:0003341; GO:0003351; GO:0005524; GO:0005576; GO:0005874; GO:0005930; GO:0007018; GO:0007368; GO:0007507; GO:0008569; GO:0021670; GO:0030286; GO:0030317; GO:0036157; GO:0036158; GO:0045505; GO:0051959; GO:0060271; GO:0097729"
"Pver_gene_g3590"	1.01598142669276e-09	7.12896126318617e-08	"Pver_g3590.t1"	"swiss-prot"	"P16112"	"Aggrecan core protein (Cartilage-specific proteoglycan core protein) (CSPCP) (Chondroitin sulfate proteoglycan core protein 1) (Chondroitin sulfate proteoglycan 1) [Cleaved into: Aggrecan core protein 2]"	3462	483	29.2	60.8	2.82e-07	19.09090909	"Homo sapiens (Human)"	"GO:0001501; GO:0001502; GO:0002063; GO:0005201; GO:0005540; GO:0005576; GO:0005604; GO:0005796; GO:0006508; GO:0007155; GO:0007417; GO:0007507; GO:0018146; GO:0030166; GO:0030198; GO:0030199; GO:0030246; GO:0031012; GO:0042340; GO:0043202; GO:0046872; GO:0062023; GO:0098966; GO:0098978; GO:0098982"
"Pver_gene_g21605"	1.04854930185099e-09	7.32326340306718e-08	"Pver_g21605.t1"	"swiss-prot"	"P0CT36"	"Transposon Tf2-3 polyprotein (Retrotransposable element Tf2 155 kDa protein)"	497	496	30.6	233	1.91e-65	37.20930233	"Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)"	"GO:0003677; GO:0003723; GO:0003887; GO:0003964; GO:0004190; GO:0004519; GO:0006310; GO:0015074; GO:0046872"
"Pver_gene_g11760"	1.1012446155674e-09	7.65568942007408e-08	"Pver_g11760.t2"	"swiss-prot"	"Q09575"	"Uncharacterized protein K02A2.6"	1860	227	34.8	139	1.6e-31	17.9022082	"Caenorhabditis elegans"	"GO:0003676; GO:0008270; GO:0015074"
"Pver_gene_g21450"	1.19863600125095e-09	8.29434018192826e-08	"Pver_g21450.t1"	"trembl"	"A0A2B4SC85"	"SAP domain-containing protein"	585	188	72.3	302	4.11e-89	22.89890378	"Stylophora pistillata (Smooth cauliflower coral)"	"GO:0004190"
"Pver_gene_g14101"	1.23469289763187e-09	8.50465529855056e-08	"Pver_g14101.t1"	"swiss-prot"	"P34324"	"BTB and MATH domain-containing protein 15 (Fragment)"	629	129	35.7	64.3	4.38e-10	47.25274725	"Caenorhabditis elegans"	"GO:0016567"
"Pver_gene_g22259"	1.60226803910213e-09	1.09861446918528e-07	"Pver_g22259.t1"	"trembl"	"A0A2B4R720"	"Putative RNA-directed DNA polymerase from transposon X-element"	250	183	71.6	239	4.46e-70	22.26277372	"Stylophora pistillata (Smooth cauliflower coral)"	"GO:0003964"
"Pver_gene_g17881"	2.07350988384512e-09	1.41526474617356e-07	"Pver_g17881.t1"	"swiss-prot"	"Q64604"	"Receptor-type tyrosine-protein phosphatase F (EC 3.1.3.48) (Leukocyte common antigen related) (LAR)"	1638	625	42.1	498	3.46e-146	32.92939937	"Rattus norvegicus (Rat)"	"GO:0001960; GO:0004725; GO:0005001; GO:0005158; GO:0005768; GO:0005886; GO:0006470; GO:0007156; GO:0007399; GO:0008201; GO:0008285; GO:0010975; GO:0016020; GO:0016477; GO:0030426; GO:0030971; GO:0031102; GO:0031345; GO:0035335; GO:0035373; GO:0042059; GO:0042301; GO:0043005; GO:0043025; GO:0043065; GO:0043231; GO:0043525; GO:0044877; GO:0046627; GO:0048679; GO:0050775; GO:0050803; GO:0050839; GO:0051387; GO:0060076; GO:0099061; GO:0099175; GO:0099560; GO:1900121"
"Pver_gene_g16469"	2.12452294426473e-09	1.44352201498096e-07	"Pver_g16469.t1"	"trembl"	"A0A2B4R642"	"OTU domain-containing protein"	836	197	90.9	372	5.49e-109	15.82329317	"Stylophora pistillata (Smooth cauliflower coral)"	"GO:0004930; GO:0016021"
