Entry	Entry name	Status	Gene names	Organism	Protein names	Length	Gene ontology (GO)	Gene ontology IDs	yourlist:M202110205BF3C56A578D7D6DFD1FC81EE5DA77302442306
A0A3M6TS30	A0A3M6TS30_POCDA	unreviewed	pdam_00025129	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	TENA_THI-4 domain-containing protein	321	integral component of membrane [GO:0016021]	GO:0016021	RMX44054.1
A0A3M6TTK5	A0A3M6TTK5_POCDA	unreviewed	pdam_00009168	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	3163	chromosome, centromeric region [GO:0000775]; microtubule binding [GO:0008017]	GO:0000775; GO:0008017	RMX44742.1
A0A2B4S4J0	A0A2B4S4J0_STYPI	unreviewed	Xbp1 AWC38_SpisGene12062	Stylophora pistillata (Smooth cauliflower coral)	X-box-binding protein 1	313	DNA-binding transcription factor activity [GO:0003700]	GO:0003700	PFX23375.1
A0A3M6UKN9	A0A3M6UKN9_POCDA	unreviewed	pdam_00016909	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	183			RMX54243.1
A0A3M6V4B3	A0A3M6V4B3_POCDA	unreviewed	pdam_00014271	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	1690			RMX60761.1
A0A3M6V499	A0A3M6V499_POCDA	unreviewed	pdam_00014279	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Apple domain-containing protein	371			RMX60772.1
A0A2B4SBN8	A0A2B4SBN8_STYPI	unreviewed	Rps19 AWC38_SpisGene9496	Stylophora pistillata (Smooth cauliflower coral)	40S ribosomal protein S19	755	integral component of membrane [GO:0016021]; ribosome [GO:0005840]; G protein-coupled receptor activity [GO:0004930]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	GO:0003735; GO:0004930; GO:0005840; GO:0006412; GO:0016021	PFX25865.1
A0A3M6V482	A0A3M6V482_POCDA	unreviewed	pdam_00014294	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	DNA-directed RNA polymerases I, II, and III subunit RPABC5	67	DNA binding [GO:0003677]; DNA-directed 5'-3' RNA polymerase activity [GO:0003899]; zinc ion binding [GO:0008270]; transcription, DNA-templated [GO:0006351]	GO:0003677; GO:0003899; GO:0006351; GO:0008270	RMX60746.1
A0A3M6V4F1	A0A3M6V4F1_POCDA	unreviewed	pdam_00014299	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	496			RMX60757.1
A0A3M6TCE3	A0A3M6TCE3_POCDA	unreviewed	pdam_00022410	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	929	calcium ion binding [GO:0005509]; extracellular matrix structural constituent [GO:0005201]	GO:0005201; GO:0005509	RMX39066.1
A0A2B4RMK5	A0A2B4RMK5_STYPI	unreviewed	Cad96Ca AWC38_SpisGene17597	Stylophora pistillata (Smooth cauliflower coral)	Tyrosine kinase receptor Cad96Ca	632	ATP binding [GO:0005524]; protein kinase activity [GO:0004672]	GO:0004672; GO:0005524	PFX18053.1
A0A2B4SS64	A0A2B4SS64_STYPI	unreviewed	CLEC4E AWC38_SpisGene3773	Stylophora pistillata (Smooth cauliflower coral)	C-type lectin domain family 4 member E	174	integral component of membrane [GO:0016021]; carbohydrate binding [GO:0030246]	GO:0016021; GO:0030246	PFX31418.1
A0A3M6T501	A0A3M6T501_POCDA	unreviewed	pdam_00021761	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	290	RNA binding [GO:0003723]	GO:0003723	RMX35778.1
A0A3M6T4X0	A0A3M6T4X0_POCDA	unreviewed	pdam_00021760	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	408	integral component of membrane [GO:0016021]	GO:0016021	RMX35777.1
A0A3M6T4L0	A0A3M6T4L0_POCDA	unreviewed	pdam_00021759	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	FLYWCH-type domain-containing protein (Fragment)	382			RMX35780.1
A0A2B4RAL2	A0A2B4RAL2_STYPI	unreviewed	kinX AWC38_SpisGene22518	Stylophora pistillata (Smooth cauliflower coral)	Putative serine/threonine-protein kinase kinX	805	ATP binding [GO:0005524]; protein tyrosine kinase activity [GO:0004713]	GO:0004713; GO:0005524	PFX13397.1
A0A3M6UAM4	A0A3M6UAM4_POCDA	unreviewed	pdam_00025111	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Protein kinase domain-containing protein	850	ATP binding [GO:0005524]; protein kinase activity [GO:0004672]	GO:0004672; GO:0005524	RMX50732.1
A0A3M6UL89	A0A3M6UL89_POCDA	unreviewed	pdam_00022206	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1197			RMX54426.1
M1SN37	M1SN37_STYPI	unreviewed		Stylophora pistillata (Smooth cauliflower coral)	Actin-like protein (Fragment)	376			AGG36337.1
A0A2B4S283	A0A2B4S283_STYPI	unreviewed	AWC38_SpisGene12876	Stylophora pistillata (Smooth cauliflower coral)	Actin, cytoplasmic	376			PFX22595.1
A0A2B4RVW3	A0A2B4RVW3_STYPI	unreviewed	AWC38_SpisGene12877	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein C17orf66-like	981			PFX22594.1
A0A3M6TRI4	A0A3M6TRI4_POCDA	unreviewed	pdam_00019825	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	RNA helicase (EC 3.6.4.13)	427	ATP binding [GO:0005524]; hydrolase activity [GO:0016787]; nucleic acid binding [GO:0003676]; RNA helicase activity [GO:0003724]	GO:0003676; GO:0003724; GO:0005524; GO:0016787	RMX43949.1
A0A3M6TRE0	A0A3M6TRE0_POCDA	unreviewed	pdam_00019818	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	ANK_REP_REGION domain-containing protein	660	integral component of membrane [GO:0016021]; ammonium transmembrane transporter activity [GO:0008519]	GO:0008519; GO:0016021	RMX43962.1
A0A3M6UHA2	A0A3M6UHA2_POCDA	unreviewed	pdam_00018249	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1516	ciliary transition fiber [GO:0097539]; cilium assembly [GO:0060271]; establishment of epithelial cell polarity [GO:0090162]	GO:0060271; GO:0090162; GO:0097539	RMX53026.1
A0A2B4S8C3	A0A2B4S8C3_STYPI	unreviewed	nphp3 AWC38_SpisGene8380	Stylophora pistillata (Smooth cauliflower coral)	Nephrocystin-3	1022			PFX26914.1
A0A2B4RYT8	A0A2B4RYT8_STYPI	unreviewed	AWC38_SpisGene13547	Stylophora pistillata (Smooth cauliflower coral)	Retrovirus-related Pol polyprotein from transposon TNT 1-94	1135	cysteine-type endopeptidase activity [GO:0004197]; regulation of apoptotic process [GO:0042981]	GO:0004197; GO:0042981	PFX21953.1
A0A2B4R7P0	A0A2B4R7P0_STYPI	unreviewed	Ncam1 AWC38_SpisGene23126	Stylophora pistillata (Smooth cauliflower coral)	Neural cell adhesion molecule 1	1906	nucleic acid binding [GO:0003676]; DNA integration [GO:0015074]	GO:0003676; GO:0015074	PFX12849.1
A0A3M6US22	A0A3M6US22_POCDA	unreviewed	pdam_00014935	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	2364	cytoplasm [GO:0005737]; myosin complex [GO:0016459]; actin binding [GO:0003779]; ATP binding [GO:0005524]; motor activity [GO:0003774]	GO:0003774; GO:0003779; GO:0005524; GO:0005737; GO:0016459	RMX56476.1
A0A3M6USA7	A0A3M6USA7_POCDA	unreviewed	pdam_00014936	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Ig-like domain-containing protein (Fragment)	305	integral component of membrane [GO:0016021]	GO:0016021	RMX56479.1
A0A3M6US37	A0A3M6US37_POCDA	unreviewed	pdam_00014933	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Mitochondrial fission 1 protein	173	integral component of membrane [GO:0016021]; mitochondrial outer membrane [GO:0005741]; mitochondrial fission [GO:0000266]	GO:0000266; GO:0005741; GO:0016021	RMX56480.1
A0A3M6TP69	A0A3M6TP69_POCDA	unreviewed	pdam_00015282	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	299			RMX43068.1
A0A2B4SRJ3	A0A2B4SRJ3_STYPI	unreviewed	adra1a AWC38_SpisGene1821	Stylophora pistillata (Smooth cauliflower coral)	Alpha-1A adrenergic receptor	470	integral component of membrane [GO:0016021]; G protein-coupled receptor activity [GO:0004930]	GO:0004930; GO:0016021	PFX33284.1
A0A3M6TNR8	A0A3M6TNR8_POCDA	unreviewed	pdam_00015296	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	563	integral component of membrane [GO:0016021]; transmembrane transporter activity [GO:0022857]	GO:0016021; GO:0022857	RMX43047.1
A0A3M6UI47	A0A3M6UI47_POCDA	unreviewed	pdam_00020637	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	TPR_REGION domain-containing protein	730			RMX53204.1
A0A3M6UHR6	A0A3M6UHR6_POCDA	unreviewed	pdam_00020635	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	103	SOSS complex [GO:0070876]; DNA repair [GO:0006281]	GO:0006281; GO:0070876	RMX53202.1
A0A3M6UHS3	A0A3M6UHS3_POCDA	unreviewed	pdam_00020632	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	DUF4614 domain-containing protein (Fragment)	492			RMX53201.1
A0A3M6UIK9	A0A3M6UIK9_POCDA	unreviewed	pdam_00020631	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1243			RMX53198.1
A0A2B4RSB4	A0A2B4RSB4_STYPI	unreviewed	POL AWC38_SpisGene16464	Stylophora pistillata (Smooth cauliflower coral)	Retrovirus-related Pol polyprotein	1421			PFX19145.1
A0A3M6UM60	A0A3M6UM60_POCDA	unreviewed	pdam_00018586	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Peptidase S1 domain-containing protein	323	serine-type endopeptidase activity [GO:0004252]	GO:0004252	RMX54767.1
A0A3M6UMB6	A0A3M6UMB6_POCDA	unreviewed	pdam_00018598	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	211	integral component of membrane [GO:0016021]	GO:0016021	RMX54780.1
A0A3M6TTN1	A0A3M6TTN1_POCDA	unreviewed	pdam_00023367	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1451	integral component of membrane [GO:0016021]; protein tyrosine phosphatase activity [GO:0004725]	GO:0004725; GO:0016021	RMX44681.1
A0A3M6TEZ0	A0A3M6TEZ0_POCDA	unreviewed	pdam_00018496	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	BTB domain-containing protein	393	cytoplasm [GO:0005737]	GO:0005737	RMX39889.1
A0A3M6TG37	A0A3M6TG37_POCDA	unreviewed	pdam_00017498	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1508	ATP binding [GO:0005524]; nucleic acid binding [GO:0003676]; cell differentiation [GO:0030154]; gene silencing by RNA [GO:0031047]; meiotic cell cycle [GO:0051321]; multicellular organism development [GO:0007275]; spermatogenesis [GO:0007283]	GO:0003676; GO:0005524; GO:0007275; GO:0007283; GO:0030154; GO:0031047; GO:0051321	RMX40366.1
A0A3M6TGM1	A0A3M6TGM1_POCDA	unreviewed	pdam_00017494	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	289	integral component of membrane [GO:0016021]	GO:0016021	RMX40364.1
A0A3M6TG68	A0A3M6TG68_POCDA	unreviewed	pdam_00017490	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	A to I editase domain-containing protein (Fragment)	566	adenosine deaminase activity [GO:0004000]; RNA binding [GO:0003723]; RNA processing [GO:0006396]	GO:0003723; GO:0004000; GO:0006396	RMX40360.1
A0A2B4RPH6	A0A2B4RPH6_STYPI	unreviewed	AWC38_SpisGene17391	Stylophora pistillata (Smooth cauliflower coral)	BEN domain-containing protein	432			PFX18247.1
A0A3M6TZW0	A0A3M6TZW0_POCDA	unreviewed	pdam_00007626	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	373	integral component of membrane [GO:0016021]	GO:0016021	RMX46849.1
A0A3M6V248	A0A3M6V248_POCDA	unreviewed	pdam_00025580	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	CHAT domain-containing protein (Fragment)	547			RMX60005.1
A0A3M6TQ45	A0A3M6TQ45_POCDA	unreviewed	pdam_00024292	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	958	membrane [GO:0016020]; scavenger receptor activity [GO:0005044]	GO:0005044; GO:0016020	RMX43388.1
A0A2B4RDP7	A0A2B4RDP7_STYPI	unreviewed	DMBT1 AWC38_SpisGene21361	Stylophora pistillata (Smooth cauliflower coral)	Receptor protein-tyrosine kinase (EC 2.7.10.1)	1786	integral component of membrane [GO:0016021]; ATP binding [GO:0005524]; scavenger receptor activity [GO:0005044]; transmembrane receptor protein tyrosine kinase activity [GO:0004714]	GO:0004714; GO:0005044; GO:0005524; GO:0016021	PFX14477.1
A0A3M6TUA7	A0A3M6TUA7_POCDA	unreviewed	pdam_00021506	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Protein kinase domain-containing protein (Fragment)	1035	integral component of membrane [GO:0016021]; ATP binding [GO:0005524]; protein kinase activity [GO:0004672]	GO:0004672; GO:0005524; GO:0016021	RMX45000.1
A0A3M6TF15	A0A3M6TF15_POCDA	unreviewed	pdam_00025240	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	COR domain-containing protein (Fragment)	941	nucleotide binding [GO:0000166]	GO:0000166	RMX39963.1
A0A2B4SRL3	A0A2B4SRL3_STYPI	unreviewed	pol AWC38_SpisGene1851	Stylophora pistillata (Smooth cauliflower coral)	Retrovirus-related Pol polyprotein from transposon 17.6	659			PFX33304.1
A0A3M6TJ80	A0A3M6TJ80_POCDA	unreviewed	pdam_00013498	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	191			RMX41445.1
A0A3M6TJ84	A0A3M6TJ84_POCDA	unreviewed	pdam_00013493	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	TPR_REGION domain-containing protein (Fragment)	185			RMX41440.1
A0A2B4RHW2	A0A2B4RHW2_STYPI	unreviewed	MTMR9 AWC38_SpisGene18942	Stylophora pistillata (Smooth cauliflower coral)	Myotubularin-related protein 9	887	2-oxoglutarate-dependent dioxygenase activity [GO:0016706]; methyltransferase activity [GO:0008168]	GO:0008168; GO:0016706	PFX16766.1
A0A3M6TJK7	A0A3M6TJK7_POCDA	unreviewed	pdam_00013485	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	109			RMX41424.1
A0A3M6TJB2	A0A3M6TJB2_POCDA	unreviewed	pdam_00013482	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	279			RMX41421.1
A0A2B4RHV3	A0A2B4RHV3_STYPI	unreviewed	AWC38_SpisGene19824	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	158			PFX15937.1
A0A3M6TEZ3	A0A3M6TEZ3_POCDA	unreviewed	pdam_00025461	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	149			RMX39976.1
A0A3M6UUT7	A0A3M6UUT7_POCDA	unreviewed	pdam_00007013	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Fibrillar collagen NC1 domain-containing protein	1599	extracellular matrix structural constituent [GO:0005201]	GO:0005201	RMX57453.1
A0A3M6UUV9	A0A3M6UUV9_POCDA	unreviewed	pdam_00007012	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	707			RMX57452.1
A0A3M6UUQ1	A0A3M6UUQ1_POCDA	unreviewed	pdam_00007007	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Ribosomal RNA-processing protein 4	298	cytoplasm [GO:0005737]; exosome (RNase complex) [GO:0000178]; RNA binding [GO:0003723]	GO:0000178; GO:0003723; GO:0005737	RMX57413.1
A0A3M6TUB4	A0A3M6TUB4_POCDA	unreviewed	pdam_00022509	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	F-box domain-containing protein	514			RMX45005.1
A0A3M6V630	A0A3M6V630_POCDA	unreviewed	pdam_00018088	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Fibrinogen C-terminal domain-containing protein	257			RMX61330.1
A0A3M6U1X7	A0A3M6U1X7_POCDA	unreviewed	pdam_00013599	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	142	integral component of membrane [GO:0016021]	GO:0016021	RMX47683.1
A0A3M6TLF5	A0A3M6TLF5_POCDA	unreviewed	pdam_00011610	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	448	integral component of membrane [GO:0016021]; inward rectifier potassium channel activity [GO:0005242]; regulation of ion transmembrane transport [GO:0034765]	GO:0005242; GO:0016021; GO:0034765	RMX42243.1
A0A2B4SIW2	A0A2B4SIW2_STYPI	unreviewed	Prdm9 AWC38_SpisGene6417	Stylophora pistillata (Smooth cauliflower coral)	Histone-lysine N-methyltransferase PRDM9	994	nucleus [GO:0005634]; histone methyltransferase activity [GO:0042054]	GO:0005634; GO:0042054	PFX28820.1
A0A3M6UBG4	A0A3M6UBG4_POCDA	unreviewed	pdam_00018445	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	72			RMX51013.1
A0A3M6UBK4	A0A3M6UBK4_POCDA	unreviewed	pdam_00018450	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	66			RMX51032.1
A0A2B4RHY3	A0A2B4RHY3_STYPI	unreviewed	AWC38_SpisGene19885	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	126			PFX15875.1
A0A3M6UBI5	A0A3M6UBI5_POCDA	unreviewed	pdam_00018451	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	137			RMX51033.1
A0A3M6UBL8	A0A3M6UBL8_POCDA	unreviewed	pdam_00018453	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	230			RMX51031.1
A0A3M6UBV4	A0A3M6UBV4_POCDA	unreviewed	pdam_00018455	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	104			RMX51029.1
A0A3M6UBG1	A0A3M6UBG1_POCDA	unreviewed	pdam_00018457	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	111			RMX51027.1
A0A2B4SA21	A0A2B4SA21_STYPI	unreviewed	SLC17A5 AWC38_SpisGene9472	Stylophora pistillata (Smooth cauliflower coral)	Sialin	477	integral component of membrane [GO:0016021]; transmembrane transporter activity [GO:0022857]	GO:0016021; GO:0022857	PFX25883.1
A0A2B4RK24	A0A2B4RK24_STYPI	unreviewed	chmp4b AWC38_SpisGene19116	Stylophora pistillata (Smooth cauliflower coral)	Charged multivesicular body protein 4b	595	vacuolar transport [GO:0007034]	GO:0007034	PFX16605.1
A0A2B4RE06	A0A2B4RE06_STYPI	unreviewed	AWC38_SpisGene19117	Stylophora pistillata (Smooth cauliflower coral)	Protein mab-21-like	936			PFX16604.1
A0A3M6TIQ5	A0A3M6TIQ5_POCDA	unreviewed	pdam_00012387	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	RF_PROK_I domain-containing protein	387	translation release factor activity [GO:0003747]	GO:0003747	RMX41246.1
A0A3M6UU01	A0A3M6UU01_POCDA	unreviewed	pdam_00008204	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	623	integral component of membrane [GO:0016021]	GO:0016021	RMX57069.1
A0A2B4RAM0	A0A2B4RAM0_STYPI	unreviewed	KLHL2 AWC38_SpisGene22024	Stylophora pistillata (Smooth cauliflower coral)	Kelch-like protein 2	1513			PFX13859.1
A0A3M6UCB0	A0A3M6UCB0_POCDA	unreviewed	pdam_00015809	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	504	integral component of membrane [GO:0016021]; membrane insertase activity [GO:0032977]	GO:0016021; GO:0032977	RMX51154.1
A0A3M6UBY5	A0A3M6UBY5_POCDA	unreviewed	pdam_00015804	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	943	integral component of membrane [GO:0016021]; protein localization to juxtaparanode region of axon [GO:0071205]	GO:0016021; GO:0071205	RMX51151.1
A0A3M6V696	A0A3M6V696_POCDA	unreviewed	pdam_00018302	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1129			RMX61389.1
A0A3M6V616	A0A3M6V616_POCDA	unreviewed	pdam_00018301	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	367			RMX61386.1
A0A3M6U6Z9	A0A3M6U6Z9_POCDA	unreviewed	pdam_00018226	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	872	integral component of membrane [GO:0016021]; heme binding [GO:0020037]; metal ion binding [GO:0046872]; lipid metabolic process [GO:0006629]	GO:0006629; GO:0016021; GO:0020037; GO:0046872	RMX49391.1
A0A3M6TB70	A0A3M6TB70_POCDA	unreviewed	pdam_00024704	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1073			RMX38635.1
A0A2B4R8Q4	A0A2B4R8Q4_STYPI	unreviewed	AWC38_SpisGene23085	Stylophora pistillata (Smooth cauliflower coral)	Retrovirus-related Pol polyprotein from transposon TNT 1-94	1025	nucleic acid binding [GO:0003676]; DNA integration [GO:0015074]	GO:0003676; GO:0015074	PFX12880.1
A0A2B4R833	A0A2B4R833_STYPI	unreviewed	AWC38_SpisGene23500	Stylophora pistillata (Smooth cauliflower coral)	C2H2-type domain-containing protein	307			PFX12528.1
A0A3M6TC22	A0A3M6TC22_POCDA	unreviewed	pdam_00013967	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	249			RMX38824.1
A0A2B4S4R7	A0A2B4S4R7_STYPI	unreviewed	Ret AWC38_SpisGene12017	Stylophora pistillata (Smooth cauliflower coral)	Receptor protein-tyrosine kinase (EC 2.7.10.1)	1554	integral component of membrane [GO:0016021]; ATP binding [GO:0005524]; transmembrane receptor protein tyrosine kinase activity [GO:0004714]	GO:0004714; GO:0005524; GO:0016021	PFX23455.1
A0A3M6UAW2	A0A3M6UAW2_POCDA	unreviewed	pdam_00017161	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	ANK_REP_REGION domain-containing protein	654	transferase activity, transferring glycosyl groups [GO:0016757]	GO:0016757	RMX50654.1
A0A2B4STA4	A0A2B4STA4_STYPI	unreviewed	POGK AWC38_SpisGene3406	Stylophora pistillata (Smooth cauliflower coral)	Pogo transposable element with KRAB domain	245	nucleic acid binding [GO:0003676]	GO:0003676	PFX31792.1
A0A3M6UE21	A0A3M6UE21_POCDA	unreviewed	pdam_00012161	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Integrase catalytic domain-containing protein	448	nucleic acid binding [GO:0003676]; DNA integration [GO:0015074]	GO:0003676; GO:0015074	RMX51902.1
A0A3M6TLJ5	A0A3M6TLJ5_POCDA	unreviewed	pdam_00001338	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	298	nucleus [GO:0005634]; protein heterodimerization activity [GO:0046982]; DNA-templated transcription, initiation [GO:0006352]	GO:0005634; GO:0006352; GO:0046982	RMX42114.1
A0A3M6TL43	A0A3M6TL43_POCDA	unreviewed	pdam_00001335	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	AAA domain-containing protein (Fragment)	416	cytoplasm [GO:0005737]; nucleus [GO:0005634]; proteasome regulatory particle, base subcomplex [GO:0008540]; ATP binding [GO:0005524]; proteasome-activating ATPase activity [GO:0036402]; ubiquitin-dependent ERAD pathway [GO:0030433]	GO:0005524; GO:0005634; GO:0005737; GO:0008540; GO:0030433; GO:0036402	RMX42119.1
A0A3M6U632	A0A3M6U632_POCDA	unreviewed	pdam_00024131	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	2-amino-3-carboxymuconate-6-semialdehyde decarboxylase (EC 4.1.1.45) (Picolinate carboxylase)	316	cytosol [GO:0005829]; aminocarboxymuconate-semialdehyde decarboxylase activity [GO:0001760]; hydrolase activity [GO:0016787]; negative regulation of quinolinate biosynthetic process [GO:1904985]	GO:0001760; GO:0005829; GO:0016787; GO:1904985	RMX49046.1
A0A3M6T880	A0A3M6T880_POCDA	unreviewed	pdam_00007875	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	266	mitochondrial matrix [GO:0005759]; cellular response to DNA damage stimulus [GO:0006974]; regulation of mitochondrial membrane permeability involved in programmed necrotic cell death [GO:1902445]	GO:0005759; GO:0006974; GO:1902445	RMX37625.1
A0A3M6TCP7	A0A3M6TCP7_POCDA	unreviewed	pdam_00021493	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	683			RMX39024.1
A0A3M6TR12	A0A3M6TR12_POCDA	unreviewed	pdam_00017844	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	130			RMX43847.1
A0A3M6TR13	A0A3M6TR13_POCDA	unreviewed	pdam_00017842	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	CRAL-TRIO domain-containing protein	421			RMX43853.1
A0A3M6U0I6	A0A3M6U0I6_POCDA	unreviewed	pdam_00022828	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Poly(A) polymerase (EC 2.7.7.19)	769	nucleus [GO:0005634]; ATP binding [GO:0005524]; metal ion binding [GO:0046872]; polynucleotide adenylyltransferase activity [GO:0004652]; RNA binding [GO:0003723]; mRNA processing [GO:0006397]; RNA 3'-end processing [GO:0031123]; RNA polyadenylation [GO:0043631]	GO:0003723; GO:0004652; GO:0005524; GO:0005634; GO:0006397; GO:0031123; GO:0043631; GO:0046872	RMX46998.1
A0A2B4REX9	A0A2B4REX9_STYPI	unreviewed	AWC38_SpisGene20979	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	596			PFX14835.1
A0A3M6T575	A0A3M6T575_POCDA	unreviewed	pdam_00023325	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	130			RMX36389.1
A0A2B4SM08	A0A2B4SM08_STYPI	unreviewed	AWC38_SpisGene3427	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	415			PFX31734.1
A0A3M6TGC4	A0A3M6TGC4_POCDA	unreviewed	pdam_00025162	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	121			RMX40381.1
A0A3M6UM22	A0A3M6UM22_POCDA	unreviewed	pdam_00025101	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	BRICHOS domain-containing protein (Fragment)	259			RMX54695.1
A0A3M6U8U3	A0A3M6U8U3_POCDA	unreviewed	pdam_00002950	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	171	calcium ion binding [GO:0005509]	GO:0005509	RMX50057.1
A0A3M6UH83	A0A3M6UH83_POCDA	unreviewed	pdam_00010937	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Thr_synth_N domain-containing protein	837	pyridoxal phosphate binding [GO:0030170]; cellular amino acid metabolic process [GO:0006520]	GO:0006520; GO:0030170	RMX52939.1
