Entry	Entry name	Status	Gene names	Organism	Protein names	Length	Gene ontology (GO)	Gene ontology IDs	yourlist:M202110204ABAA9BC7178C81CEBC9459510EDDEA32434B0W
A0A2B4RL51	A0A2B4RL51_STYPI	unreviewed	Pkd1l2 AWC38_SpisGene18131	Stylophora pistillata (Smooth cauliflower coral)	Polycystic kidney disease protein 1-like 2	2118	integral component of membrane [GO:0016021]; calcium ion binding [GO:0005509]	GO:0005509; GO:0016021	PFX17533.1
A0A2B4SNY2	A0A2B4SNY2_STYPI	unreviewed	ING4 AWC38_SpisGene4986	Stylophora pistillata (Smooth cauliflower coral)	Inhibitor of growth protein 4	900	cysteine-type peptidase activity [GO:0008234]; metal ion binding [GO:0046872]	GO:0008234; GO:0046872	PFX30232.1
A0A3M6U6W8	A0A3M6U6W8_POCDA	unreviewed	pdam_00011239	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1594	membrane [GO:0016020]; serine-type endopeptidase activity [GO:0004252]	GO:0004252; GO:0016020	RMX49289.1
A0A2B4SIC5	A0A2B4SIC5_STYPI	unreviewed	fech AWC38_SpisGene5614	Stylophora pistillata (Smooth cauliflower coral)	Ferrochelatase, mitochondrial (EC 4.99.1.1) (Heme synthase) (Protoheme ferro-lyase)	1257	ferrochelatase activity [GO:0004325]; serine-type endopeptidase activity [GO:0004252]; heme biosynthetic process [GO:0006783]	GO:0004252; GO:0004325; GO:0006783	PFX29631.1
A0A2B4RSH4	A0A2B4RSH4_STYPI	unreviewed	Cad96Ca AWC38_SpisGene16373	Stylophora pistillata (Smooth cauliflower coral)	Receptor protein-tyrosine kinase (EC 2.7.10.1)	1603	integral component of membrane [GO:0016021]; ATP binding [GO:0005524]; transmembrane receptor protein tyrosine kinase activity [GO:0004714]	GO:0004714; GO:0005524; GO:0016021	PFX19205.1
A0A2B4SS69	A0A2B4SS69_STYPI	unreviewed	Ret AWC38_SpisGene3834	Stylophora pistillata (Smooth cauliflower coral)	Proto-oncogene tyrosine-protein kinase receptor Ret	854	integral component of membrane [GO:0016021]; ATP binding [GO:0005524]; protein tyrosine kinase activity [GO:0004713]	GO:0004713; GO:0005524; GO:0016021	PFX31327.1
A0A2B4R8Q2	A0A2B4R8Q2_STYPI	unreviewed	AWC38_SpisGene23343	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	1851			PFX12655.1
A0A3M6TGH2	A0A3M6TGH2_POCDA	unreviewed	pdam_00007527	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	ANK_REP_REGION domain-containing protein	787	GTPase activator activity [GO:0005096]; positive regulation of GTPase activity [GO:0043547]; signal transduction [GO:0007165]	GO:0005096; GO:0007165; GO:0043547	RMX40507.1
A0A3M6TGS6	A0A3M6TGS6_POCDA	unreviewed	pdam_00007525	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	BRICHOS domain-containing protein	210			RMX40509.1
A0A2B4SYR0	A0A2B4SYR0_STYPI	unreviewed	AWC38_SpisGene792	Stylophora pistillata (Smooth cauliflower coral)	BRICHOS domain-containing protein	423			PFX34309.1
A0A3M6UAG8	A0A3M6UAG8_POCDA	unreviewed	pdam_00025834	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	TPR_REGION domain-containing protein (Fragment)	580			RMX50647.1
A0A3M6TI78	A0A3M6TI78_POCDA	unreviewed	pdam_00024488	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	472			RMX40954.1
A0A3M6TEH2	A0A3M6TEH2_POCDA	unreviewed	pdam_00022324	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	TPR_REGION domain-containing protein	980	kinesin complex [GO:0005871]; microtubule [GO:0005874]	GO:0005871; GO:0005874	RMX39738.1
A0A2B4RZB7	A0A2B4RZB7_STYPI	unreviewed	trim71 AWC38_SpisGene12999	Stylophora pistillata (Smooth cauliflower coral)	E3 ubiquitin-protein ligase TRIM71	1138	cytoplasm [GO:0005737]; zinc ion binding [GO:0008270]	GO:0005737; GO:0008270	PFX22496.1
A0A3M6TEE2	A0A3M6TEE2_POCDA	unreviewed	pdam_00022332	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	807	integral component of membrane [GO:0016021]	GO:0016021	RMX39743.1
A0A2B4T0L4	A0A2B4T0L4_STYPI	unreviewed	magt1 AWC38_SpisGene866	Stylophora pistillata (Smooth cauliflower coral)	Magnesium transporter protein 1	685	endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]; sarcoglycan complex [GO:0016012]; sarcolemma [GO:0042383]	GO:0005789; GO:0016012; GO:0016021; GO:0042383	PFX34342.1
A0A3M6V4D2	A0A3M6V4D2_POCDA	unreviewed	pdam_00007783	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	NACHT domain-containing protein	1009	integral component of membrane [GO:0016021]	GO:0016021	RMX60806.1
A0A3M6U0G1	A0A3M6U0G1_POCDA	unreviewed	pdam_00021009	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1453			RMX47097.1
A0A3M6U0E7	A0A3M6U0E7_POCDA	unreviewed	pdam_00021010	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	872			RMX47096.1
A0A3M6U089	A0A3M6U089_POCDA	unreviewed	pdam_00021013	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	t-SNARE coiled-coil homology domain-containing protein	2697	cytoplasm [GO:0005737]; cytoskeleton-dependent intracellular transport [GO:0030705]	GO:0005737; GO:0030705	RMX47095.1
A0A2B4SKQ3	A0A2B4SKQ3_STYPI	unreviewed	NLRC3 AWC38_SpisGene6274	Stylophora pistillata (Smooth cauliflower coral)	Protein NLRC3	1623			PFX29005.1
A7SVL5	A7SVL5_NEMVE	unreviewed	v1g218157	Nematostella vectensis (Starlet sea anemone)	Predicted protein	233			EDO32243.1
A0A2B4RJH3	A0A2B4RJH3_STYPI	unreviewed	AWC38_SpisGene19211	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	1249			PFX16507.1
A0A3M6TZ86	A0A3M6TZ86_POCDA	unreviewed	pdam_00024493	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	152			RMX46676.1
A0A2B4S9L1	A0A2B4S9L1_STYPI	unreviewed	Grm3 AWC38_SpisGene9571	Stylophora pistillata (Smooth cauliflower coral)	Guanylate cyclase (EC 4.6.1.2)	1502	integral component of membrane [GO:0016021]; ATP binding [GO:0005524]; G protein-coupled receptor activity [GO:0004930]; guanylate cyclase activity [GO:0004383]; protein kinase activity [GO:0004672]	GO:0004383; GO:0004672; GO:0004930; GO:0005524; GO:0016021	PFX25789.1
A0A2B4S7B2	A0A2B4S7B2_STYPI	unreviewed	Grm3 AWC38_SpisGene9573	Stylophora pistillata (Smooth cauliflower coral)	Metabotropic glutamate receptor 3	1644	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; G protein-coupled receptor activity [GO:0004930]	GO:0004930; GO:0005886; GO:0016021	PFX25791.1
A0A2B4S5T5	A0A2B4S5T5_STYPI	unreviewed	mkkA AWC38_SpisGene10631	Stylophora pistillata (Smooth cauliflower coral)	Mitogen-activated protein kinase kinase kinase A	1499	integral component of membrane [GO:0016021]; ATP binding [GO:0005524]; protein kinase activity [GO:0004672]	GO:0004672; GO:0005524; GO:0016021	PFX24756.1
A0A3M6TEZ3	A0A3M6TEZ3_POCDA	unreviewed	pdam_00025461	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	149			RMX39976.1
A0A3M6U9X2	A0A3M6U9X2_POCDA	unreviewed	pdam_00010453	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	136			RMX50401.1
A0A3M6T5K9	A0A3M6T5K9_POCDA	unreviewed	pdam_00015819	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	956	oxidoreductase activity [GO:0016491]	GO:0016491	RMX36716.1
A0A2B4RJF2	A0A2B4RJF2_STYPI	unreviewed	FCN1 AWC38_SpisGene19239	Stylophora pistillata (Smooth cauliflower coral)	Ficolin-1	836	DNA binding [GO:0003677]; metal ion binding [GO:0046872]	GO:0003677; GO:0046872	PFX16487.1
A0A3M6TPB5	A0A3M6TPB5_POCDA	unreviewed	pdam_00024857	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Endo/exonuclease/phosphatase domain-containing protein	129			RMX43220.1
A0A2B4RJK8	A0A2B4RJK8_STYPI	unreviewed	Acnat2 AWC38_SpisGene17050	Stylophora pistillata (Smooth cauliflower coral)	Acyl-coenzyme A amino acid N-acyltransferase 2	604	transferase activity, transferring acyl groups [GO:0016746]	GO:0016746	PFX18584.1
A0A2B4S141	A0A2B4S141_STYPI	unreviewed	AWC38_SpisGene12708	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	1112			PFX22769.1
A0A3M6UIN6	A0A3M6UIN6_POCDA	unreviewed	pdam_00016515	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	LamGL domain-containing protein	313			RMX53228.1
A0A2B4SK13	A0A2B4SK13_STYPI	unreviewed	Mapkbp1 AWC38_SpisGene5869	Stylophora pistillata (Smooth cauliflower coral)	Mitogen-activated protein kinase-binding protein 1	1929	kinase activity [GO:0016301]	GO:0016301	PFX29439.1
A0A3M6UEM2	A0A3M6UEM2_POCDA	unreviewed	pdam_00015174	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	568	calcium ion binding [GO:0005509]; extracellular matrix structural constituent [GO:0005201]; protein localization to juxtaparanode region of axon [GO:0071205]	GO:0005201; GO:0005509; GO:0071205	RMX52117.1
A0A3M6TZR6	A0A3M6TZR6_POCDA	unreviewed	pdam_00020745	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Protein-tyrosine-phosphatase (EC 3.1.3.48)	2334	integral component of membrane [GO:0016021]; protein tyrosine phosphatase activity [GO:0004725]	GO:0004725; GO:0016021	RMX46882.1
A0A2B4SKI9	A0A2B4SKI9_STYPI	unreviewed	jockey\pol AWC38_SpisGene5661	Stylophora pistillata (Smooth cauliflower coral)	RNA-directed DNA polymerase from mobile element jockey	2099	nucleic acid binding [GO:0003676]; RNA-directed DNA polymerase activity [GO:0003964]; zinc ion binding [GO:0008270]; DNA integration [GO:0015074]	GO:0003676; GO:0003964; GO:0008270; GO:0015074	PFX29603.1
A0A2B4S291	A0A2B4S291_STYPI	unreviewed	Angptl7 AWC38_SpisGene12308	Stylophora pistillata (Smooth cauliflower coral)	Angiopoietin-related protein 7	671			PFX23163.1
A0A3M6UDZ3	A0A3M6UDZ3_POCDA	unreviewed	pdam_00012162	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	HECT domain-containing protein	606	ubiquitin-protein transferase activity [GO:0004842]	GO:0004842	RMX51903.1
A0A2B4RT19	A0A2B4RT19_STYPI	unreviewed	NPHP3 AWC38_SpisGene15896	Stylophora pistillata (Smooth cauliflower coral)	Nephrocystin-3	1785	ATP binding [GO:0005524]; ATPase activity [GO:0016887]; signal transduction [GO:0007165]	GO:0005524; GO:0007165; GO:0016887	PFX19700.1
A0A2B4RLK6	A0A2B4RLK6_STYPI	unreviewed	DMBT1 AWC38_SpisGene18451	Stylophora pistillata (Smooth cauliflower coral)	Deleted in malignant brain tumors 1 protein	2788	membrane [GO:0016020]; calcium ion binding [GO:0005509]; carbohydrate binding [GO:0030246]; scavenger receptor activity [GO:0005044]; cell adhesion [GO:0007155]	GO:0005044; GO:0005509; GO:0007155; GO:0016020; GO:0030246	PFX17237.1
A0A2B4R138	A0A2B4R138_STYPI	unreviewed	ACAN AWC38_SpisGene24000	Stylophora pistillata (Smooth cauliflower coral)	Aggrecan core protein	590	calcium ion binding [GO:0005509]	GO:0005509	PFX12094.1
A0A2B4RC49	A0A2B4RC49_STYPI	unreviewed	AWC38_SpisGene22013	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	1089			PFX13875.1
A0A2B4S7Z6	A0A2B4S7Z6_STYPI	unreviewed	P4htm AWC38_SpisGene10412	Stylophora pistillata (Smooth cauliflower coral)	Transmembrane prolyl 4-hydroxylase	423	integral component of membrane [GO:0016021]; dioxygenase activity [GO:0051213]; iron ion binding [GO:0005506]; L-ascorbic acid binding [GO:0031418]; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen [GO:0016705]	GO:0005506; GO:0016021; GO:0016705; GO:0031418; GO:0051213	PFX24930.1
A0A498LP56	A0A498LP56_LABRO	unreviewed	ROHU_031816	Labeo rohita (Indian major carp) (Cyprinus rohita)	RNA-directed DNA polymerase from mobile element jockey-like protein	1112	RNA-directed DNA polymerase activity [GO:0003964]	GO:0003964	RXN08554.1
A0A2B4T0Q3	A0A2B4T0Q3_STYPI	unreviewed	AWC38_SpisGene780	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	460			PFX34247.1
A0A3M6U4P9	A0A3M6U4P9_POCDA	unreviewed	pdam_00017134	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	ZU5 domain-containing protein (Fragment)	523	integral component of membrane [GO:0016021]; netrin receptor activity [GO:0005042]	GO:0005042; GO:0016021	RMX48591.1
A0A2B4SHN6	A0A2B4SHN6_STYPI	unreviewed	TTC28 AWC38_SpisGene5871	Stylophora pistillata (Smooth cauliflower coral)	Tetratricopeptide repeat protein 28	1146	integral component of membrane [GO:0016021]	GO:0016021	PFX29381.1
A0A2B4R8M9	A0A2B4R8M9_STYPI	unreviewed	Afmid AWC38_SpisGene23256	Stylophora pistillata (Smooth cauliflower coral)	Kynurenine formamidase	316	hydrolase activity [GO:0016787]	GO:0016787	PFX12738.1
A0A2B4RAH7	A0A2B4RAH7_STYPI	unreviewed	Fbn1 AWC38_SpisGene20438	Stylophora pistillata (Smooth cauliflower coral)	Fibrillin-1	677	calcium ion binding [GO:0005509]	GO:0005509	PFX15344.1
A0A2B4RF56	A0A2B4RF56_STYPI	unreviewed	AWC38_SpisGene20333	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	738	extracellular matrix structural constituent [GO:0005201]	GO:0005201	PFX15443.1
A0A3M6UEL3	A0A3M6UEL3_POCDA	unreviewed	pdam_00015172	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	279	calcium ion binding [GO:0005509]; extracellular matrix structural constituent [GO:0005201]; protein localization to juxtaparanode region of axon [GO:0071205]	GO:0005201; GO:0005509; GO:0071205	RMX52111.1
A0A3M6UMT4	A0A3M6UMT4_POCDA	unreviewed	pdam_00020788	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	183			RMX55003.1
A0A2B4R6S3	A0A2B4R6S3_STYPI	unreviewed	AWC38_SpisGene24033	Stylophora pistillata (Smooth cauliflower coral)	Putative WD repeat-containing protein alr2800 (Fragment)	977			PFX12067.1
A0A2B4RY00	A0A2B4RY00_STYPI	unreviewed	ZMYM1 AWC38_SpisGene13452	Stylophora pistillata (Smooth cauliflower coral)	Zinc finger MYM-type protein 1	1643	DNA binding [GO:0003677]; metal ion binding [GO:0046872]	GO:0003677; GO:0046872	PFX22036.1
A0A2B4REB7	A0A2B4REB7_STYPI	unreviewed	GPR133 AWC38_SpisGene21197	Stylophora pistillata (Smooth cauliflower coral)	Putative G-protein coupled receptor 133	424	integral component of membrane [GO:0016021]; G protein-coupled receptor activity [GO:0004930]; cell surface receptor signaling pathway [GO:0007166]	GO:0004930; GO:0007166; GO:0016021	PFX14625.1
A0A3M6UVM0	A0A3M6UVM0_POCDA	unreviewed	pdam_00015914	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	841			RMX57639.1
A0A3M6TVF9	A0A3M6TVF9_POCDA	unreviewed	pdam_00000755	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	BACK domain-containing protein	456			RMX45259.1
A0A3M6UHQ9	A0A3M6UHQ9_POCDA	unreviewed	pdam_00020627	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	519			RMX53197.1
A0A2B4SH99	A0A2B4SH99_STYPI	unreviewed	UTRN AWC38_SpisGene6510	Stylophora pistillata (Smooth cauliflower coral)	Utrophin	4585			PFX28756.1
A0A3M6UZV9	A0A3M6UZV9_POCDA	unreviewed	pdam_00024412	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	85			RMX59157.1
A0A3M6UGF3	A0A3M6UGF3_POCDA	unreviewed	pdam_00014222	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	129			RMX52767.1
A0A3M6UZL8	A0A3M6UZL8_POCDA	unreviewed	pdam_00009815	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	466			RMX59123.1
A0A3M6UC73	A0A3M6UC73_POCDA	unreviewed	pdam_00020556	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Small vasohibin-binding protein	416	cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; extracellular region [GO:0005576]	GO:0005576; GO:0005737; GO:0005856	RMX51124.1
A0A496WX92	A0A496WX92_9GAMM	unreviewed	DRR42_19635	Gammaproteobacteria bacterium	Uncharacterized protein	736			RLA45201.1
A0A3M6U227	A0A3M6U227_POCDA	unreviewed	pdam_00026076	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	TPR_REGION domain-containing protein (Fragment)	144			RMX47690.1
A0A2B4S7W5	A0A2B4S7W5_STYPI	unreviewed	nrp1 AWC38_SpisGene9878	Stylophora pistillata (Smooth cauliflower coral)	Neuropilin-1	993			PFX25476.1
A0A3M6TB28	A0A3M6TB28_POCDA	unreviewed	pdam_00010245	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	202			RMX38541.1
A0A2B4RHT3	A0A2B4RHT3_STYPI	unreviewed	AWC38_SpisGene18980	Stylophora pistillata (Smooth cauliflower coral)	C2H2-type domain-containing protein	318			PFX16736.1
A0A2B4SJ88	A0A2B4SJ88_STYPI	unreviewed	AWC38_SpisGene6069	Stylophora pistillata (Smooth cauliflower coral)	MULE domain-containing protein	795			PFX29163.1
A0A2B4R8K9	A0A2B4R8K9_STYPI	unreviewed	F54H12.2 AWC38_SpisGene21901	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein F54H12.2	752	nucleic acid binding [GO:0003676]; DNA integration [GO:0015074]	GO:0003676; GO:0015074	PFX13981.1
A0A2B4RLR5	A0A2B4RLR5_STYPI	unreviewed	AWC38_SpisGene17898	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	120	integral component of membrane [GO:0016021]	GO:0016021	PFX17763.1
A0A3M6TXC5	A0A3M6TXC5_POCDA	unreviewed	pdam_00011054	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	369			RMX45948.1
A0A2B4R9D7	A0A2B4R9D7_STYPI	unreviewed	AWC38_SpisGene22984	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein KIAA1958-like	405	DNA binding [GO:0003677]; DNA integration [GO:0015074]; DNA recombination [GO:0006310]	GO:0003677; GO:0006310; GO:0015074	PFX12977.1
A0A3M6TTQ2	A0A3M6TTQ2_POCDA	unreviewed	pdam_00009193	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Methyltransf_25 domain-containing protein	248			RMX44780.1
A0A3M6TLT3	A0A3M6TLT3_POCDA	unreviewed	pdam_00022608	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	461	integral component of membrane [GO:0016021]	GO:0016021	RMX42258.1
A0A2B4SIT4	A0A2B4SIT4_STYPI	unreviewed	POGK AWC38_SpisGene6867	Stylophora pistillata (Smooth cauliflower coral)	Pogo transposable element with KRAB domain	254	nucleic acid binding [GO:0003676]	GO:0003676	PFX28382.1
A0A2B4SWB3	A0A2B4SWB3_STYPI	unreviewed	Su(var)205 AWC38_SpisGene1673	Stylophora pistillata (Smooth cauliflower coral)	Heterochromatin protein 1	450			PFX33469.1
A0A3M6UVX5	A0A3M6UVX5_POCDA	unreviewed	pdam_00020687	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	451			RMX57822.1
A0A2B4SMX1	A0A2B4SMX1_STYPI	unreviewed	DOC2B AWC38_SpisGene3934	Stylophora pistillata (Smooth cauliflower coral)	Double C2-like domain-containing protein beta	234			PFX31241.1
A0A3M6T6P8	A0A3M6T6P8_POCDA	unreviewed	pdam_00005047	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	904			RMX36988.1
A0A3M6UVA6	A0A3M6UVA6_POCDA	unreviewed	pdam_00005802	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	220			RMX57560.1
A0A2B4R2Z9	A0A2B4R2Z9_STYPI	unreviewed	AWC38_SpisGene24702	Stylophora pistillata (Smooth cauliflower coral)	Putative WD repeat-containing protein alr2800	1877			PFX11526.1
A0A3M6TV64	A0A3M6TV64_POCDA	unreviewed	pdam_00017476	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	224	integral component of membrane [GO:0016021]	GO:0016021	RMX45169.1
A0A2B4RIX3	A0A2B4RIX3_STYPI	unreviewed	ASTE1 AWC38_SpisGene18558	Stylophora pistillata (Smooth cauliflower coral)	Protein asteroid-like 1	1110			PFX17136.1
A0A3M6V948	A0A3M6V948_POCDA	unreviewed	pdam_00018290	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	369	calcium ion binding [GO:0005509]	GO:0005509	RMX61398.1
A0A3M6UK43	A0A3M6UK43_POCDA	unreviewed	pdam_00014883	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	482	calcium ion binding [GO:0005509]	GO:0005509	RMX53995.1
A0A3M6US75	A0A3M6US75_POCDA	unreviewed	pdam_00015869	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	815	cytoplasm [GO:0005737]; zinc ion binding [GO:0008270]	GO:0005737; GO:0008270	RMX56188.1
A0A3M6T4Q1	A0A3M6T4Q1_POCDA	unreviewed	pdam_00003776	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	483			RMX35516.1
A0A2B4SFM4	A0A2B4SFM4_STYPI	unreviewed	AWC38_SpisGene7935	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	359			PFX27357.1
A0A2B4SFR5	A0A2B4SFR5_STYPI	unreviewed	AWC38_SpisGene7939	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	368	integral component of membrane [GO:0016021]	GO:0016021	PFX27362.1
A0A3M6TTY0	A0A3M6TTY0_POCDA	unreviewed	pdam_00025931	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	192	membrane [GO:0016020]; scavenger receptor activity [GO:0005044]	GO:0005044; GO:0016020	RMX44855.1
A0A3M6TNY9	A0A3M6TNY9_POCDA	unreviewed	pdam_00006854	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	206	integral component of membrane [GO:0016021]	GO:0016021	RMX43127.1
R7UNS5	R7UNS5_CAPTE	unreviewed	CAPTEDRAFT_136295	Capitella teleta (Polychaete worm)	HTH asnC-type domain-containing protein	158	sequence-specific DNA binding [GO:0043565]	GO:0043565	ELU07880.1
A0A3M6TKH1	A0A3M6TKH1_POCDA	unreviewed	pdam_00006626	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	2510	helicase activity [GO:0004386]	GO:0004386	RMX41895.1
A0A2U1D5F2	A0A2U1D5F2_PANAN	unreviewed	C7427_10842	Pantoea ananas (Erwinia uredovora)	Spore maturation protein SpmB	390	integral component of membrane [GO:0016021]	GO:0016021	PVY82911.1
A0A2B4T1L3	A0A2B4T1L3_STYPI	unreviewed	Edil3 AWC38_SpisGene721	Stylophora pistillata (Smooth cauliflower coral)	EGF-like repeat and discoidin I-like domain-containing protein 3	548	calcium ion binding [GO:0005509]	GO:0005509	PFX34515.1
A0A3M6U1V7	A0A3M6U1V7_POCDA	unreviewed	pdam_00002101	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	581			RMX47529.1
A0A2B4RZH0	A0A2B4RZH0_STYPI	unreviewed	ABCC4 AWC38_SpisGene13772	Stylophora pistillata (Smooth cauliflower coral)	Multidrug resistance-associated protein 4	1702	integral component of membrane [GO:0016021]; ABC-type xenobiotic transporter activity [GO:0008559]; ATP binding [GO:0005524]; D-arabinono-1,4-lactone oxidase activity [GO:0003885]	GO:0003885; GO:0005524; GO:0008559; GO:0016021	PFX21727.1
A0A0N4XHP3	A0A0N4XHP3_NIPBR	unreviewed	NBR_LOCUS2046	Nippostrongylus brasiliensis (Rat hookworm)	Uncharacterized protein	398			VDL65635.1
A0A3M6THM3	A0A3M6THM3_POCDA	unreviewed	pdam_00024305	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	MADF domain-containing protein	167			RMX40754.1
A0A0J1HAL0	A0A0J1HAL0_9GAMM	unreviewed	fruK ABT57_12720	Photobacterium ganghwense	Phosphofructokinase	320	1-phosphofructokinase activity [GO:0008662]	GO:0008662	KLV08684.1
A0A2B4R675	A0A2B4R675_STYPI	unreviewed	RTase AWC38_SpisGene23335	Stylophora pistillata (Smooth cauliflower coral)	Putative RNA-directed DNA polymerase from transposon BS	517	2-oxoglutarate-dependent dioxygenase activity [GO:0016706]; methyltransferase activity [GO:0008168]; RNA-directed DNA polymerase activity [GO:0003964]	GO:0003964; GO:0008168; GO:0016706	PFX12666.1
A0A3M6UER7	A0A3M6UER7_POCDA	unreviewed	pdam_00015176	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	EGF-like domain-containing protein	567	integral component of membrane [GO:0016021]; protein localization to juxtaparanode region of axon [GO:0071205]	GO:0016021; GO:0071205	RMX52115.1
A0A0F3GP21	A0A0F3GP21_9BACT	unreviewed	MBAV_004121	Candidatus Magnetobacterium bavaricum	RNA-directed DNA polymerase	622	RNA-directed DNA polymerase activity [GO:0003964]; mRNA processing [GO:0006397]	GO:0003964; GO:0006397	KJU83685.1
A0A081K8L5	A0A081K8L5_9GAMM	unreviewed	GV64_06860	Endozoicomonas elysicola	Uncharacterized protein	147			KEI70491.1
A0A2B4SK37	A0A2B4SK37_STYPI	unreviewed	AWC38_SpisGene6394	Stylophora pistillata (Smooth cauliflower coral)	CCHC-type domain-containing protein	777	nucleic acid binding [GO:0003676]; zinc ion binding [GO:0008270]	GO:0003676; GO:0008270	PFX28897.1
A0A3M6UJG8	A0A3M6UJG8_POCDA	unreviewed	pdam_00000377	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Beta-glucuronidase (EC 3.2.1.31)	687	lysosome [GO:0005764]; beta-glucuronidase activity [GO:0004566]; carbohydrate metabolic process [GO:0005975]	GO:0004566; GO:0005764; GO:0005975	RMX53792.1
A0A3M6UDM8	A0A3M6UDM8_POCDA	unreviewed	pdam_00011641	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1851	signal transduction [GO:0007165]	GO:0007165	RMX51771.1
A0A2B4SUR9	A0A2B4SUR9_STYPI	unreviewed	Taar7h AWC38_SpisGene2843	Stylophora pistillata (Smooth cauliflower coral)	Trace amine-associated receptor 7h	755	integral component of membrane [GO:0016021]; G protein-coupled receptor activity [GO:0004930]	GO:0004930; GO:0016021	PFX32302.1
