Entry	Entry name	Status	Gene names	Organism	Protein names	Length	Gene ontology (GO)	Gene ontology IDs	yourlist:M202110206320BA52A5CE8FCD097CB85A53697A352441EC3
A0A2B4RU58	A0A2B4RU58_STYPI	unreviewed	CELSR2 AWC38_SpisGene14375	Stylophora pistillata (Smooth cauliflower coral)	Cadherin EGF LAG seven-pass G-type receptor 2	2555	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; calcium ion binding [GO:0005509]; G protein-coupled receptor activity [GO:0004930]; cell surface receptor signaling pathway [GO:0007166]; homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156]	GO:0004930; GO:0005509; GO:0005886; GO:0007156; GO:0007166; GO:0016021	PFX21141.1
A0A3M6TXH6	A0A3M6TXH6_POCDA	unreviewed	pdam_00009377	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	397			RMX46105.1
A0A2B4RMT8	A0A2B4RMT8_STYPI	unreviewed	Btbd6 AWC38_SpisGene17830	Stylophora pistillata (Smooth cauliflower coral)	BTB/POZ domain-containing protein 6	943	cytoplasm [GO:0005737]	GO:0005737	PFX17830.1
A0A2B4RRG9	A0A2B4RRG9_STYPI	unreviewed	pol AWC38_SpisGene14492	Stylophora pistillata (Smooth cauliflower coral)	RNA-directed DNA polymerase from mobile element jockey	368	RNA-directed DNA polymerase activity [GO:0003964]	GO:0003964	PFX21034.1
A0A3M6V3W1	A0A3M6V3W1_POCDA	unreviewed	pdam_00001362	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	TPR_REGION domain-containing protein (Fragment)	506			RMX60605.1
A0A2B4SLU3	A0A2B4SLU3_STYPI	unreviewed	THAP6 AWC38_SpisGene5151	Stylophora pistillata (Smooth cauliflower coral)	THAP domain-containing protein 6	491	DNA binding [GO:0003677]; metal ion binding [GO:0046872]	GO:0003677; GO:0046872	PFX30043.1
A0A2B4SBM2	A0A2B4SBM2_STYPI	unreviewed	AWC38_SpisGene7190	Stylophora pistillata (Smooth cauliflower coral)	Transposon TX1 uncharacterized 149 kDa protein	925			PFX28084.1
A0A3M6TWG5	A0A3M6TWG5_POCDA	unreviewed	pdam_00025853	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Endo/exonuclease/phosphatase domain-containing protein (Fragment)	447			RMX45634.1
A0A2B4T158	A0A2B4T158_STYPI	unreviewed	Lin37 AWC38_SpisGene835	Stylophora pistillata (Smooth cauliflower coral)	Protein lin-37-like	423	integral component of membrane [GO:0016021]; transcription repressor complex [GO:0017053]	GO:0016021; GO:0017053	PFX34355.1
A0A3M6TRD7	A0A3M6TRD7_POCDA	unreviewed	pdam_00022343	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Carbohydrate sulfotransferase (EC 2.8.2.-)	280	Golgi membrane [GO:0000139]; integral component of membrane [GO:0016021]; sulfotransferase activity [GO:0008146]; carbohydrate biosynthetic process [GO:0016051]	GO:0000139; GO:0008146; GO:0016021; GO:0016051	RMX43940.1
A0A3M6U9V2	A0A3M6U9V2_POCDA	unreviewed	pdam_00006913	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	1197	membrane [GO:0016020]; calcium ion binding [GO:0005509]; scavenger receptor activity [GO:0005044]	GO:0005044; GO:0005509; GO:0016020	RMX50314.1
A0A3M6TWZ9	A0A3M6TWZ9_POCDA	unreviewed	pdam_00011017	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	348			RMX45917.1
A0A2B4S985	A0A2B4S985_STYPI	unreviewed	RCHY1 AWC38_SpisGene10223	Stylophora pistillata (Smooth cauliflower coral)	RING finger and CHY zinc finger domain-containing protein 1	1812	zinc ion binding [GO:0008270]; regulation of apoptotic process [GO:0042981]	GO:0008270; GO:0042981	PFX25157.1
A0A2B4SB04	A0A2B4SB04_STYPI	unreviewed	AWC38_SpisGene8747	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	1099	ATP binding [GO:0005524]; ATPase activity [GO:0016887]; signal transduction [GO:0007165]	GO:0005524; GO:0007165; GO:0016887	PFX26556.1
A0A2B4SGG8	A0A2B4SGG8_STYPI	unreviewed	tkr-1 AWC38_SpisGene7122	Stylophora pistillata (Smooth cauliflower coral)	Putative G-protein coupled receptor tkr-1	393	integral component of membrane [GO:0016021]; G protein-coupled receptor activity [GO:0004930]	GO:0004930; GO:0016021	PFX28153.1
A0A3M6T7B7	A0A3M6T7B7_POCDA	unreviewed	pdam_00011412	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	186			RMX37241.1
A0A3M6TGC5	A0A3M6TGC5_POCDA	unreviewed	pdam_00009483	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Inorganic diphosphatase (EC 3.6.1.1) (Fragment)	314	cytoplasm [GO:0005737]; inorganic diphosphatase activity [GO:0004427]; magnesium ion binding [GO:0000287]; phosphate-containing compound metabolic process [GO:0006796]	GO:0000287; GO:0004427; GO:0005737; GO:0006796	RMX40420.1
A0A3M6TQT3	A0A3M6TQT3_POCDA	unreviewed	pdam_00016470	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	60			RMX43750.1
A0A2B4R7C7	A0A2B4R7C7_STYPI	unreviewed	Cad96Ca AWC38_SpisGene23271	Stylophora pistillata (Smooth cauliflower coral)	Receptor protein-tyrosine kinase (EC 2.7.10.1)	1048	integral component of membrane [GO:0016021]; ATP binding [GO:0005524]; scavenger receptor activity [GO:0005044]; transmembrane receptor protein tyrosine kinase activity [GO:0004714]	GO:0004714; GO:0005044; GO:0005524; GO:0016021	PFX12723.1
A0A3M6UUM9	A0A3M6UUM9_POCDA	unreviewed	pdam_00023481	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1489	integral component of membrane [GO:0016021]; ion channel activity [GO:0005216]	GO:0005216; GO:0016021	RMX57396.1
A0A2B4R8Q7	A0A2B4R8Q7_STYPI	unreviewed	AWC38_SpisGene23246	Stylophora pistillata (Smooth cauliflower coral)	G-protein coupled receptor GRL101 (Fragment)	1017	integral component of membrane [GO:0016021]; G protein-coupled receptor activity [GO:0004930]	GO:0004930; GO:0016021	PFX12747.1
A0A3M6TRY6	A0A3M6TRY6_POCDA	unreviewed	pdam_00023855	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Fibrinogen C-terminal domain-containing protein	264			RMX44207.1
A0A2B4RJB0	A0A2B4RJB0_STYPI	unreviewed	AWC38_SpisGene18798	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	450			PFX16903.1
A0A2B4SAP0	A0A2B4SAP0_STYPI	unreviewed	FAT3 AWC38_SpisGene9724	Stylophora pistillata (Smooth cauliflower coral)	Protocadherin Fat 3	1330			PFX25638.1
A0A3M6T9E0	A0A3M6T9E0_POCDA	unreviewed	pdam_00012288	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	565			RMX38005.1
A0A3M6T9I4	A0A3M6T9I4_POCDA	unreviewed	pdam_00012280	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	637	integral component of membrane [GO:0016021]	GO:0016021	RMX37991.1
A0A3M6U687	A0A3M6U687_POCDA	unreviewed	pdam_00008309	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	265			RMX48978.1
A0A3M6TBI8	A0A3M6TBI8_POCDA	unreviewed	pdam_00018519	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Fibrinogen C-terminal domain-containing protein (Fragment)	259			RMX38752.1
A0A3M6TFP5	A0A3M6TFP5_POCDA	unreviewed	pdam_00014338	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Peptidyl-prolyl cis-trans isomerase (PPIase) (EC 5.2.1.8)	151	peptidyl-prolyl cis-trans isomerase activity [GO:0003755]; protein folding [GO:0006457]	GO:0003755; GO:0006457	RMX40236.1
A0A2B4SIR1	A0A2B4SIR1_STYPI	unreviewed	SRM AWC38_SpisGene6484	Stylophora pistillata (Smooth cauliflower coral)	Spermidine synthase	867	transferase activity [GO:0016740]; polyamine biosynthetic process [GO:0006596]	GO:0006596; GO:0016740	PFX28770.1
A0A3M6U601	A0A3M6U601_POCDA	unreviewed	pdam_00003897	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	425			RMX49105.1
A0A2B4STA4	A0A2B4STA4_STYPI	unreviewed	POGK AWC38_SpisGene3406	Stylophora pistillata (Smooth cauliflower coral)	Pogo transposable element with KRAB domain	245	nucleic acid binding [GO:0003676]	GO:0003676	PFX31792.1
A0A3M6TQ07	A0A3M6TQ07_POCDA	unreviewed	pdam_00021520	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	277			RMX43344.1
A0A3M6V394	A0A3M6V394_POCDA	unreviewed	pdam_00021442	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1071	integral component of membrane [GO:0016021]	GO:0016021	RMX60284.1
A0A3M6T4C2	A0A3M6T4C2_POCDA	unreviewed	pdam_00003827	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	189			RMX35474.1
A0A3M6T4F2	A0A3M6T4F2_POCDA	unreviewed	pdam_00003826	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	903	calcium ion binding [GO:0005509]	GO:0005509	RMX35475.1
A0A3M6U6U0	A0A3M6U6U0_POCDA	unreviewed	pdam_00022306	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	1074	catalytic activity [GO:0003824]; nucleoside metabolic process [GO:0009116]	GO:0003824; GO:0009116	RMX49403.1
A0A2B4RAX5	A0A2B4RAX5_STYPI	unreviewed	trim71 AWC38_SpisGene21003	Stylophora pistillata (Smooth cauliflower coral)	E3 ubiquitin-protein ligase TRIM71	1609	cytoplasm [GO:0005737]; zinc ion binding [GO:0008270]	GO:0005737; GO:0008270	PFX14811.1
A0A2B4S5E5	A0A2B4S5E5_STYPI	unreviewed	TTC28 AWC38_SpisGene9444	Stylophora pistillata (Smooth cauliflower coral)	Tetratricopeptide repeat protein 28	2592			PFX25914.1
A0A2B4RAG9	A0A2B4RAG9_STYPI	unreviewed	nphp3 AWC38_SpisGene22550	Stylophora pistillata (Smooth cauliflower coral)	Nephrocystin-3	1223	kinesin complex [GO:0005871]; microtubule [GO:0005874]	GO:0005871; GO:0005874	PFX13368.1
A0A2B4R9B9	A0A2B4R9B9_STYPI	unreviewed	AWC38_SpisGene22515	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	882	integral component of membrane [GO:0016021]	GO:0016021	PFX13399.1
A0A3M6UCC5	A0A3M6UCC5_POCDA	unreviewed	pdam_00021987	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	244			RMX51088.1
A0A3M6U0I5	A0A3M6U0I5_POCDA	unreviewed	pdam_00023706	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	TRAF-type domain-containing protein	175	zinc ion binding [GO:0008270]	GO:0008270	RMX47205.1
A0A2B4R1Q3	A0A2B4R1Q3_STYPI	unreviewed	NLRP12 AWC38_SpisGene23775	Stylophora pistillata (Smooth cauliflower coral)	NACHT, LRR and PYD domains-containing protein 12	1549	integral component of membrane [GO:0016021]	GO:0016021	PFX12294.1
A0A3M6UMJ7	A0A3M6UMJ7_POCDA	unreviewed	pdam_00024285	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	342	integral component of membrane [GO:0016021]	GO:0016021	RMX54829.1
A0A2B4RF57	A0A2B4RF57_STYPI	unreviewed	LECRKS5 AWC38_SpisGene20911	Stylophora pistillata (Smooth cauliflower coral)	Putative L-type lectin-domain containing receptor kinase S.5	829	ATP binding [GO:0005524]; carbohydrate binding [GO:0030246]; protein kinase activity [GO:0004672]	GO:0004672; GO:0005524; GO:0030246	PFX14902.1
A0A3M6UV97	A0A3M6UV97_POCDA	unreviewed	pdam_00024818	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	281			RMX57591.1
A0A3M6UVE0	A0A3M6UVE0_POCDA	unreviewed	pdam_00024819	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	450			RMX57590.1
A0A3M6UQP5	A0A3M6UQP5_POCDA	unreviewed	pdam_00021722	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Protein kinase domain-containing protein	1385	ATP binding [GO:0005524]; protein kinase activity [GO:0004672]	GO:0004672; GO:0005524	RMX55972.1
A0A3M6TZK3	A0A3M6TZK3_POCDA	unreviewed	pdam_00025242	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Fibrinogen C-terminal domain-containing protein	235			RMX46787.1
A0A3M6V2T3	A0A3M6V2T3_POCDA	unreviewed	pdam_00024758	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	NACHT domain-containing protein	668			RMX60109.1
A0A3M6T914	A0A3M6T914_POCDA	unreviewed	pdam_00007101	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	743			RMX37887.1
A0A2B4RSQ0	A0A2B4RSQ0_STYPI	unreviewed	pol AWC38_SpisGene14905	Stylophora pistillata (Smooth cauliflower coral)	RNA-directed DNA polymerase from mobile element jockey	848	2-oxoglutarate-dependent dioxygenase activity [GO:0016706]; methyltransferase activity [GO:0008168]; RNA-directed DNA polymerase activity [GO:0003964]	GO:0003964; GO:0008168; GO:0016706	PFX20631.1
A0A3M6U8M7	A0A3M6U8M7_POCDA	unreviewed	pdam_00013948	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	UDENN domain-containing protein	1293			RMX49961.1
A0A3M6UK87	A0A3M6UK87_POCDA	unreviewed	pdam_00014824	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	WD_REPEATS_REGION domain-containing protein (Fragment)	533			RMX54091.1
A0A3M6UKD0	A0A3M6UKD0_POCDA	unreviewed	pdam_00014823	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	196			RMX54092.1
A0A2B4SVK5	A0A2B4SVK5_STYPI	unreviewed	AWC38_SpisGene2727	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	87			PFX32445.1
A0A3M6TQK0	A0A3M6TQK0_POCDA	unreviewed	pdam_00021234	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Mab-21 domain-containing protein	588			RMX43616.1
A0A3M6TQG3	A0A3M6TQG3_POCDA	unreviewed	pdam_00021228	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	462			RMX43620.1
A0A2B4RJ41	A0A2B4RJ41_STYPI	unreviewed	AWC38_SpisGene19467	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	1082			PFX16262.1
A0A3M6TQM7	A0A3M6TQM7_POCDA	unreviewed	pdam_00021223	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	451	glutathione metabolic process [GO:0006749]	GO:0006749	RMX43621.1
A0A2B4RJ40	A0A2B4RJ40_STYPI	unreviewed	GST1 AWC38_SpisGene19478	Stylophora pistillata (Smooth cauliflower coral)	Glutathione S-transferase 1	411	transferase activity [GO:0016740]; glutathione metabolic process [GO:0006749]	GO:0006749; GO:0016740	PFX16275.1
A0A3M6UQ53	A0A3M6UQ53_POCDA	unreviewed	pdam_00020921	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	356			RMX55772.1
A0A2B4SB73	A0A2B4SB73_STYPI	unreviewed	RTase AWC38_SpisGene9515	Stylophora pistillata (Smooth cauliflower coral)	Putative RNA-directed DNA polymerase from transposon BS	800	RNA-directed DNA polymerase activity [GO:0003964]	GO:0003964	PFX25827.1
A0A3M6T804	A0A3M6T804_POCDA	unreviewed	pdam_00011723	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	151			RMX37463.1
A0A2B4RMK8	A0A2B4RMK8_STYPI	unreviewed	FGFR1 AWC38_SpisGene18202	Stylophora pistillata (Smooth cauliflower coral)	Fibroblast growth factor receptor 1	599	integral component of membrane [GO:0016021]; ATP binding [GO:0005524]; protein kinase activity [GO:0004672]	GO:0004672; GO:0005524; GO:0016021	PFX17472.1
A0A3M6U722	A0A3M6U722_POCDA	unreviewed	pdam_00013361	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	RING-type E3 ubiquitin transferase (EC 2.3.2.27)	1718	cytoplasm [GO:0005737]; ubiquitin-protein transferase activity [GO:0004842]; zinc ion binding [GO:0008270]; Notch signaling pathway [GO:0007219]	GO:0004842; GO:0005737; GO:0007219; GO:0008270	RMX49455.1
A0A5E4A491	A0A5E4A491_MARMO	unreviewed	RTCB MONAX_5E021290	Marmota monax (Woodchuck)	RNA-splicing ligase RtcB homolog (EC 6.5.1.8) (3'-phosphate/5'-hydroxy nucleic acid ligase)	720	cytoplasm [GO:0005737]; tRNA-splicing ligase complex [GO:0072669]; GTP binding [GO:0005525]; metal ion binding [GO:0046872]; RNA ligase (ATP) activity [GO:0003972]; tRNA splicing, via endonucleolytic cleavage and ligation [GO:0006388]	GO:0003972; GO:0005525; GO:0005737; GO:0006388; GO:0046872; GO:0072669	VTJ52047.1
A0A2B4R8Q2	A0A2B4R8Q2_STYPI	unreviewed	AWC38_SpisGene23343	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	1851			PFX12655.1
A0A3M6V132	A0A3M6V132_POCDA	unreviewed	pdam_00010495	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Ion_trans_2 domain-containing protein	743	integral component of membrane [GO:0016021]	GO:0016021	RMX59666.1
A0A3M6UIF8	A0A3M6UIF8_POCDA	unreviewed	pdam_00017039	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	2729	integral component of membrane [GO:0016021]; catalytic activity [GO:0003824]	GO:0003824; GO:0016021	RMX53415.1
A0A2B4RK97	A0A2B4RK97_STYPI	unreviewed	HMCN1 AWC38_SpisGene17615	Stylophora pistillata (Smooth cauliflower coral)	Hemicentin-1	1037	plasma membrane [GO:0005886]; metal ion binding [GO:0046872]; scavenger receptor activity [GO:0005044]; axon guidance [GO:0007411]; cell adhesion [GO:0007155]	GO:0005044; GO:0005886; GO:0007155; GO:0007411; GO:0046872	PFX18041.1
A0A3M6U272	A0A3M6U272_POCDA	unreviewed	pdam_00012358	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	1048	calcium ion binding [GO:0005509]	GO:0005509	RMX47721.1
A0A3M6T4Q1	A0A3M6T4Q1_POCDA	unreviewed	pdam_00003776	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	483			RMX35516.1
A0A2B4SBJ7	A0A2B4SBJ7_STYPI	unreviewed	FAT4 AWC38_SpisGene9517	Stylophora pistillata (Smooth cauliflower coral)	Protocadherin Fat 4	385	calcium ion binding [GO:0005509]	GO:0005509	PFX25825.1
A0A2B4R5K8	A0A2B4R5K8_STYPI	unreviewed	RTase AWC38_SpisGene24653	Stylophora pistillata (Smooth cauliflower coral)	Putative RNA-directed DNA polymerase from transposon BS	365	RNA-directed DNA polymerase activity [GO:0003964]	GO:0003964	PFX11565.1
A0A2B4SEA1	A0A2B4SEA1_STYPI	unreviewed	PCSK6 AWC38_SpisGene7117	Stylophora pistillata (Smooth cauliflower coral)	Proprotein convertase subtilisin/kexin type 6	1155	serine-type endopeptidase activity [GO:0004252]	GO:0004252	PFX28201.1
A0A2B4R6S3	A0A2B4R6S3_STYPI	unreviewed	AWC38_SpisGene24033	Stylophora pistillata (Smooth cauliflower coral)	Putative WD repeat-containing protein alr2800 (Fragment)	977			PFX12067.1
A0A3M6TUQ6	A0A3M6TUQ6_POCDA	unreviewed	pdam_00016501	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	1124	ATP binding [GO:0005524]; protein kinase activity [GO:0004672]	GO:0004672; GO:0005524	RMX45133.1
A0A3M6TIX7	A0A3M6TIX7_POCDA	unreviewed	pdam_00012798	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	TENA_THI-4 domain-containing protein	295			RMX41355.1
A0A3M6UCR7	A0A3M6UCR7_POCDA	unreviewed	pdam_00020071	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	ATP-grasp domain-containing protein	441	ATP binding [GO:0005524]; metal ion binding [GO:0046872]	GO:0005524; GO:0046872	RMX51349.1
A0A3M6UCE8	A0A3M6UCE8_POCDA	unreviewed	pdam_00020070	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	563	integral component of membrane [GO:0016021]	GO:0016021	RMX51350.1
A0A3M6UD34	A0A3M6UD34_POCDA	unreviewed	pdam_00020068	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	327	metal ion binding [GO:0046872]	GO:0046872	RMX51338.1
A0A3M6UCC4	A0A3M6UCC4_POCDA	unreviewed	pdam_00020067	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1063			RMX51347.1
A0A3M6V3D9	A0A3M6V3D9_POCDA	unreviewed	pdam_00021541	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	TPR_REGION domain-containing protein (Fragment)	997	transferase activity, transferring glycosyl groups [GO:0016757]; protein O-linked glycosylation [GO:0006493]	GO:0006493; GO:0016757	RMX60463.1
A0A3M6TXY5	A0A3M6TXY5_POCDA	unreviewed	pdam_00007837	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Death domain-containing protein	885	signal transduction [GO:0007165]	GO:0007165	RMX46164.1
A0A3M6TZ78	A0A3M6TZ78_POCDA	unreviewed	pdam_00023914	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1542			RMX46687.1
A0A3M6TK44	A0A3M6TK44_POCDA	unreviewed	pdam_00025261	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	174			RMX41716.1
A0A3M6UY42	A0A3M6UY42_POCDA	unreviewed	pdam_00022564	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	J domain-containing protein	689	integral component of membrane [GO:0016021]	GO:0016021	RMX58527.1
A0A2B4SLY3	A0A2B4SLY3_STYPI	unreviewed	AWC38_SpisGene5839	Stylophora pistillata (Smooth cauliflower coral)	Dimer_Tnp_hAT domain-containing protein	704	protein dimerization activity [GO:0046983]	GO:0046983	PFX29415.1
A0A3M6UVM0	A0A3M6UVM0_POCDA	unreviewed	pdam_00015914	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	841			RMX57639.1
A0A3M6UDA8	A0A3M6UDA8_POCDA	unreviewed	pdam_00023260	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Glutathione peroxidase	201	glutathione peroxidase activity [GO:0004602]; response to oxidative stress [GO:0006979]	GO:0004602; GO:0006979	RMX51615.1
A0A2B4T0K3	A0A2B4T0K3_STYPI	unreviewed	AWC38_SpisGene506	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	388			PFX34670.1
A0A3M6UMF9	A0A3M6UMF9_POCDA	unreviewed	pdam_00011173	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1138			RMX54846.1
A0A3M6UWG0	A0A3M6UWG0_POCDA	unreviewed	pdam_00015932	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	772			RMX57975.1
A0A2B4RI22	A0A2B4RI22_STYPI	unreviewed	pol AWC38_SpisGene19862	Stylophora pistillata (Smooth cauliflower coral)	Retrovirus-related Pol polyprotein from transposon 17.6	1213	nucleic acid binding [GO:0003676]; zinc ion binding [GO:0008270]	GO:0003676; GO:0008270	PFX15902.1
A0A3M6UQ65	A0A3M6UQ65_POCDA	unreviewed	pdam_00020910	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	759	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; ionotropic glutamate receptor activity [GO:0004970]	GO:0004970; GO:0005886; GO:0016021	RMX55765.1
A0A2B4R8K4	A0A2B4R8K4_STYPI	unreviewed	MARCO AWC38_SpisGene23145	Stylophora pistillata (Smooth cauliflower coral)	Macrophage receptor MARCO	628	plasma membrane [GO:0005886]; axon guidance [GO:0007411]; cell adhesion [GO:0007155]	GO:0005886; GO:0007155; GO:0007411	PFX12830.1
A0A3M6UFC8	A0A3M6UFC8_POCDA	unreviewed	pdam_00014371	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	416	calcium ion binding [GO:0005509]	GO:0005509	RMX52352.1
A0A3M6US01	A0A3M6US01_POCDA	unreviewed	pdam_00008794	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	341	bioluminescence [GO:0008218]	GO:0008218	RMX56440.1
A0A3M6U1A3	A0A3M6U1A3_POCDA	unreviewed	pdam_00018745	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	158			RMX47396.1
A0A2B4SW90	A0A2B4SW90_STYPI	unreviewed	Arsb AWC38_SpisGene1845	Stylophora pistillata (Smooth cauliflower coral)	Arylsulfatase B	2072	DNA binding [GO:0003677]; metal ion binding [GO:0046872]; sulfuric ester hydrolase activity [GO:0008484]; DNA integration [GO:0015074]; DNA recombination [GO:0006310]	GO:0003677; GO:0006310; GO:0008484; GO:0015074; GO:0046872	PFX33353.1
A0A2B4S4Y2	A0A2B4S4Y2_STYPI	unreviewed	TRIM71 AWC38_SpisGene11792	Stylophora pistillata (Smooth cauliflower coral)	E3 ubiquitin-protein ligase TRIM71	1663	cytoplasm [GO:0005737]; zinc ion binding [GO:0008270]	GO:0005737; GO:0008270	PFX23657.1
A0A2B4RQD5	A0A2B4RQD5_STYPI	unreviewed	TRIM3 AWC38_SpisGene17187	Stylophora pistillata (Smooth cauliflower coral)	Tripartite motif-containing protein 3	1599	cytoplasm [GO:0005737]; zinc ion binding [GO:0008270]	GO:0005737; GO:0008270	PFX18442.1
A0A3M6V2Z8	A0A3M6V2Z8_POCDA	unreviewed	pdam_00018789	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Inactive pantothenic acid kinase 4	770	ATP binding [GO:0005524]; pantothenate kinase activity [GO:0004594]; coenzyme A biosynthetic process [GO:0015937]	GO:0004594; GO:0005524; GO:0015937	RMX60316.1
A0A3M6V404	A0A3M6V404_POCDA	unreviewed	pdam_00018790	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	AMMECR1 domain-containing protein	269			RMX60318.1
A0A3M6TU97	A0A3M6TU97_POCDA	unreviewed	pdam_00017365	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	2038	integral component of membrane [GO:0016021]	GO:0016021	RMX44985.1
A0A3M6V948	A0A3M6V948_POCDA	unreviewed	pdam_00018290	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	369	calcium ion binding [GO:0005509]	GO:0005509	RMX61398.1
A0A2B4R4H9	A0A2B4R4H9_STYPI	unreviewed	RTase AWC38_SpisGene22692	Stylophora pistillata (Smooth cauliflower coral)	Putative RNA-directed DNA polymerase from transposon BS	773	RNA-directed DNA polymerase activity [GO:0003964]	GO:0003964	PFX13244.1
