Entry	Entry name	Status	Gene names	Organism	Protein names	Length	Gene ontology (GO)	Gene ontology IDs	yourlist:M20211020A084FC58F6BBA219896F365D15F2EB44240168N
A0A3M6UDJ9	A0A3M6UDJ9_POCDA	unreviewed	pdam_00011726	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	F5/8 type C domain-containing protein	180			RMX51741.1
A0A2B4SW58	A0A2B4SW58_STYPI	unreviewed	klhl12 AWC38_SpisGene2392	Stylophora pistillata (Smooth cauliflower coral)	Kelch-like protein 12	2078	calcium ion binding [GO:0005509]; calcium-dependent phospholipid binding [GO:0005544]	GO:0005509; GO:0005544	PFX32788.1
A0A3M6TB17	A0A3M6TB17_POCDA	unreviewed	pdam_00016791	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	295			RMX38488.1
A0A3M6TAP3	A0A3M6TAP3_POCDA	unreviewed	pdam_00016793	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	PARP-type domain-containing protein (Fragment)	241	DNA binding [GO:0003677]; zinc ion binding [GO:0008270]	GO:0003677; GO:0008270	RMX38460.1
A0A3M6V5U1	A0A3M6V5U1_POCDA	unreviewed	pdam_00024282	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	436			RMX61343.1
A0A2B4SE06	A0A2B4SE06_STYPI	unreviewed	AWC38_SpisGene6345	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	534	extracellular matrix structural constituent [GO:0005201]	GO:0005201	PFX28904.1
A0A3M6TKL3	A0A3M6TKL3_POCDA	unreviewed	pdam_00023771	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	235			RMX41841.1
A0A3M6UZI4	A0A3M6UZI4_POCDA	unreviewed	pdam_00009985	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	726			RMX59062.1
A0A3M6UVY4	A0A3M6UVY4_POCDA	unreviewed	pdam_00023630	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	216			RMX57759.1
A0A3M6UVN0	A0A3M6UVN0_POCDA	unreviewed	pdam_00023626	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Dimer_Tnp_hAT domain-containing protein	552	protein dimerization activity [GO:0046983]	GO:0046983	RMX57763.1
A0A3M6TKE9	A0A3M6TKE9_POCDA	unreviewed	pdam_00022138	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	528			RMX41714.1
A0A2B4RBP5	A0A2B4RBP5_STYPI	unreviewed	AWC38_SpisGene22099	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	415			PFX13787.1
A0A3M6V5P6	A0A3M6V5P6_POCDA	unreviewed	pdam_00020936	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	406			RMX61303.1
A0A3M6T8P6	A0A3M6T8P6_POCDA	unreviewed	pdam_00023014	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	TPR_REGION domain-containing protein (Fragment)	157			RMX37713.1
A0A3M6UA78	A0A3M6UA78_POCDA	unreviewed	pdam_00009253	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	TLDc domain-containing protein	623			RMX50501.1
A0A2B4R5S5	A0A2B4R5S5_STYPI	unreviewed	FBN1 AWC38_SpisGene23922	Stylophora pistillata (Smooth cauliflower coral)	Fibrillin-1	877	calcium ion binding [GO:0005509]	GO:0005509	PFX12163.1
A0A3M6TGS8	A0A3M6TGS8_POCDA	unreviewed	pdam_00016571	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	HEPN_DZIP3 domain-containing protein (Fragment)	1509	RNA binding [GO:0003723]; ubiquitin protein ligase activity [GO:0061630]; protein polyubiquitination [GO:0000209]	GO:0000209; GO:0003723; GO:0061630	RMX40580.1
A0A3M6UK43	A0A3M6UK43_POCDA	unreviewed	pdam_00014883	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	482	calcium ion binding [GO:0005509]	GO:0005509	RMX53995.1
A0A2B4RH39	A0A2B4RH39_STYPI	unreviewed	sepw1 AWC38_SpisGene17968	Stylophora pistillata (Smooth cauliflower coral)	Selenoprotein W	80			PFX17694.1
A0A2B4R4K0	A0A2B4R4K0_STYPI	unreviewed	AWC38_SpisGene24434	Stylophora pistillata (Smooth cauliflower coral)	BEN domain-containing protein (Fragment)	463			PFX11733.1
A0A3M6U0M6	A0A3M6U0M6_POCDA	unreviewed	pdam_00022278	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	614			RMX47176.1
A0A3M6TPW9	A0A3M6TPW9_POCDA	unreviewed	pdam_00001887	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	DED domain-containing protein (Fragment)	570	cysteine-type endopeptidase activity [GO:0004197]; regulation of apoptotic process [GO:0042981]	GO:0004197; GO:0042981	RMX43465.1
A0A3M6UAG8	A0A3M6UAG8_POCDA	unreviewed	pdam_00025834	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	TPR_REGION domain-containing protein (Fragment)	580			RMX50647.1
A0A3M6UIU5	A0A3M6UIU5_POCDA	unreviewed	pdam_00004364	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	TPR_REGION domain-containing protein	1778			RMX53590.1
A0A432I5M7	A0A432I5M7_9GAMM	unreviewed	DSY43_04430	Gammaproteobacteria bacterium	Uncharacterized protein	831			RUA05530.1
A0A2B4S6V8	A0A2B4S6V8_STYPI	unreviewed	AWC38_SpisGene8916	Stylophora pistillata (Smooth cauliflower coral)	GIY-YIG domain-containing protein	719			PFX26394.1
A0A3M6UV30	A0A3M6UV30_POCDA	unreviewed	pdam_00020972	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1045	integral component of membrane [GO:0016021]	GO:0016021	RMX57485.1
A0A3M6UUW7	A0A3M6UUW7_POCDA	unreviewed	pdam_00020974	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	351	heme binding [GO:0020037]; metal ion binding [GO:0046872]; tryptophan catabolic process to kynurenine [GO:0019441]	GO:0019441; GO:0020037; GO:0046872	RMX57483.1
A0A2B4RAU9	A0A2B4RAU9_STYPI	unreviewed	RTase AWC38_SpisGene22269	Stylophora pistillata (Smooth cauliflower coral)	Putative RNA-directed DNA polymerase from transposon BS	1231	protein dimerization activity [GO:0046983]; RNA-directed DNA polymerase activity [GO:0003964]	GO:0003964; GO:0046983	PFX13630.1
A0A2B4SKN6	A0A2B4SKN6_STYPI	unreviewed	Kctd21 AWC38_SpisGene5842	Stylophora pistillata (Smooth cauliflower coral)	BTB/POZ domain-containing protein KCTD21	620	protein homooligomerization [GO:0051260]	GO:0051260	PFX29430.1
A0A2B4SC04	A0A2B4SC04_STYPI	unreviewed	pol AWC38_SpisGene9357	Stylophora pistillata (Smooth cauliflower coral)	RNA-directed DNA polymerase from mobile element jockey	953	RNA-directed DNA polymerase activity [GO:0003964]	GO:0003964	PFX25975.1
A0A3M6UC50	A0A3M6UC50_POCDA	unreviewed	pdam_00022281	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	F5/8 type C domain-containing protein	1342			RMX51253.1
A0A2B4RFW8	A0A2B4RFW8_STYPI	unreviewed	AWC38_SpisGene19219	Stylophora pistillata (Smooth cauliflower coral)	Transposon TX1 uncharacterized 149 kDa protein	4817	nucleic acid binding [GO:0003676]; zinc ion binding [GO:0008270]	GO:0003676; GO:0008270	PFX16501.1
A0A3M6TDM6	A0A3M6TDM6_POCDA	unreviewed	pdam_00006093	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	203			RMX39537.1
A0A3M6UEW6	A0A3M6UEW6_POCDA	unreviewed	pdam_00004731	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	512	cytoplasm [GO:0005737]; signal transduction [GO:0007165]	GO:0005737; GO:0007165	RMX51968.1
A0A3M6T804	A0A3M6T804_POCDA	unreviewed	pdam_00011723	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	151			RMX37463.1
A0A3M6TUP4	A0A3M6TUP4_POCDA	unreviewed	pdam_00023966	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	WD_REPEATS_REGION domain-containing protein	695			RMX45061.1
A0A3M6TWS6	A0A3M6TWS6_POCDA	unreviewed	pdam_00023172	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	APOBEC_N domain-containing protein (Fragment)	974	hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in cyclic amidines [GO:0016814]; zinc ion binding [GO:0008270]	GO:0008270; GO:0016814	RMX45811.1
A0A3M6UU49	A0A3M6UU49_POCDA	unreviewed	pdam_00025499	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	509			RMX57223.1
A0A3M6ULJ0	A0A3M6ULJ0_POCDA	unreviewed	pdam_00023245	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	178	integral component of membrane [GO:0016021]	GO:0016021	RMX54492.1
A0A3M6UTR4	A0A3M6UTR4_POCDA	unreviewed	pdam_00016953	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	526	integral component of membrane [GO:0016021]	GO:0016021	RMX56967.1
A0A2B4RG37	A0A2B4RG37_STYPI	unreviewed	HMCN1 AWC38_SpisGene20008	Stylophora pistillata (Smooth cauliflower coral)	Hemicentin-1	894	integral component of membrane [GO:0016021]	GO:0016021	PFX15769.1
A0A3M6UYV5	A0A3M6UYV5_POCDA	unreviewed	pdam_00021877	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	929			RMX58800.1
A0A2B4R565	A0A2B4R565_STYPI	unreviewed	Acin1 AWC38_SpisGene24153	Stylophora pistillata (Smooth cauliflower coral)	Apoptotic chromatin condensation inducer in the nucleus	176			PFX11963.1
A0A2B4S2R2	A0A2B4S2R2_STYPI	unreviewed	pol AWC38_SpisGene12406	Stylophora pistillata (Smooth cauliflower coral)	RNA-directed DNA polymerase from mobile element jockey	523	RNA-directed DNA polymerase activity [GO:0003964]	GO:0003964	PFX23070.1
A0A3M6TYM9	A0A3M6TYM9_POCDA	unreviewed	pdam_00020511	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Fibrinogen C-terminal domain-containing protein	253			RMX46500.1
A0A3M6V4D2	A0A3M6V4D2_POCDA	unreviewed	pdam_00007783	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	NACHT domain-containing protein	1009	integral component of membrane [GO:0016021]	GO:0016021	RMX60806.1
A0A2B4SK03	A0A2B4SK03_STYPI	unreviewed	XDH AWC38_SpisGene5843	Stylophora pistillata (Smooth cauliflower coral)	Xanthine dehydrogenase/oxidase	1028	FAD binding [GO:0071949]; metal ion binding [GO:0046872]; oxidoreductase activity [GO:0016491]; protein homooligomerization [GO:0051260]	GO:0016491; GO:0046872; GO:0051260; GO:0071949	PFX29429.1
A0A3M6T6N3	A0A3M6T6N3_POCDA	unreviewed	pdam_00025941	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	TPR_REGION domain-containing protein (Fragment)	462			RMX37076.1
A0A3M6TID2	A0A3M6TID2_POCDA	unreviewed	pdam_00023139	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Adenosylhomocysteinase (EC 3.3.1.1)	524	adenosylhomocysteinase activity [GO:0004013]; one-carbon metabolic process [GO:0006730]	GO:0004013; GO:0006730	RMX41140.1
A0A2B4RKY2	A0A2B4RKY2_STYPI	unreviewed	TTC28 AWC38_SpisGene18694	Stylophora pistillata (Smooth cauliflower coral)	Tetratricopeptide repeat protein 28	1382			PFX17018.1
A0A3M6UEC0	A0A3M6UEC0_POCDA	unreviewed	pdam_00012174	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Myb-like domain-containing protein	231			RMX51926.1
A0A3M6UK89	A0A3M6UK89_POCDA	unreviewed	pdam_00010710	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	BTB domain-containing protein	912			RMX53944.1
A0A2B4RX96	A0A2B4RX96_STYPI	unreviewed	AWC38_SpisGene14572	Stylophora pistillata (Smooth cauliflower coral)	DUF5641 domain-containing protein	1478			PFX20948.1
A0A3M6ULS4	A0A3M6ULS4_POCDA	unreviewed	pdam_00023671	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1155	integral component of membrane [GO:0016021]	GO:0016021	RMX54592.1
A0A2B4RED0	A0A2B4RED0_STYPI	unreviewed	Moxd1 AWC38_SpisGene20271	Stylophora pistillata (Smooth cauliflower coral)	DBH-like monooxygenase protein 1	604	copper ion binding [GO:0005507]; dopamine beta-monooxygenase activity [GO:0004500]	GO:0004500; GO:0005507	PFX15506.1
A0A3M6UV74	A0A3M6UV74_POCDA	unreviewed	pdam_00005800	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	NACHT domain-containing protein	1503			RMX57561.1
A0A3M6UL45	A0A3M6UL45_POCDA	unreviewed	pdam_00018405	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	684	ATP binding [GO:0005524]; ATPase activity [GO:0016887]	GO:0005524; GO:0016887	RMX54355.1
A0A3M6TZ78	A0A3M6TZ78_POCDA	unreviewed	pdam_00023914	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1542			RMX46687.1
A0A3M6TRN3	A0A3M6TRN3_POCDA	unreviewed	pdam_00023377	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Kinesin light chain	541	cytoplasm [GO:0005737]; kinesin complex [GO:0005871]; microtubule [GO:0005874]	GO:0005737; GO:0005871; GO:0005874	RMX44001.1
A0A3M6UKD1	A0A3M6UKD1_POCDA	unreviewed	pdam_00024807	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	189			RMX54117.1
A0A2B4SCW4	A0A2B4SCW4_STYPI	unreviewed	NLRC3 AWC38_SpisGene8079	Stylophora pistillata (Smooth cauliflower coral)	Protein NLRC3	1071	extracellular matrix structural constituent [GO:0005201]	GO:0005201	PFX27216.1
A0A3M6T6N6	A0A3M6T6N6_POCDA	unreviewed	pdam_00005079	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	163	ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	GO:0003735; GO:0005840; GO:0006412	RMX36978.1
A0A3M6U5J8	A0A3M6U5J8_POCDA	unreviewed	pdam_00001495	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Integrin beta	857	integral component of membrane [GO:0016021]; cell adhesion [GO:0007155]; integrin-mediated signaling pathway [GO:0007229]	GO:0007155; GO:0007229; GO:0016021	RMX48839.1
A0A3M6UUJ3	A0A3M6UUJ3_POCDA	unreviewed	pdam_00024257	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	304			RMX57342.1
A0A2B4S716	A0A2B4S716_STYPI	unreviewed	AWC38_SpisGene10210	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	1128			PFX25176.1
A0A3M6UGN0	A0A3M6UGN0_POCDA	unreviewed	pdam_00020802	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	ThiF domain-containing protein (Fragment)	1437	ubiquitin-like modifier activating enzyme activity [GO:0008641]	GO:0008641	RMX52538.1
A0A2B4RPH5	A0A2B4RPH5_STYPI	unreviewed	AWC38_SpisGene17419	Stylophora pistillata (Smooth cauliflower coral)	Putative serine/threonine-protein kinase/receptor	937	ATP binding [GO:0005524]; protein kinase activity [GO:0004672]	GO:0004672; GO:0005524	PFX18228.1
A0A2B4R8W9	A0A2B4R8W9_STYPI	unreviewed	Nrx-IV AWC38_SpisGene22307	Stylophora pistillata (Smooth cauliflower coral)	Neurexin-4	943	protein dimerization activity [GO:0046983]	GO:0046983	PFX13596.1
A0A3M6UFD3	A0A3M6UFD3_POCDA	unreviewed	pdam_00021103	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	UBX domain-containing protein	890			RMX52390.1
A0A2B4RRA5	A0A2B4RRA5_STYPI	unreviewed	AWC38_SpisGene16843	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	255			PFX18772.1
A0A2B4SL27	A0A2B4SL27_STYPI	unreviewed	AWC38_SpisGene5161	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	456			PFX30076.1
A0A2B4SCY2	A0A2B4SCY2_STYPI	unreviewed	AWC38_SpisGene8879	Stylophora pistillata (Smooth cauliflower coral)	GIY-YIG domain-containing protein	569			PFX26438.1
A7SXQ0	A7SXQ0_NEMVE	unreviewed	v1g247995	Nematostella vectensis (Starlet sea anemone)	Predicted protein	559	cytoplasmic vesicle [GO:0031410]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]	GO:0005886; GO:0016021; GO:0031410	EDO31513.1
A0A2B4RV21	A0A2B4RV21_STYPI	unreviewed	pol AWC38_SpisGene15390	Stylophora pistillata (Smooth cauliflower coral)	RNA-directed DNA polymerase from mobile element jockey	416	RNA-directed DNA polymerase activity [GO:0003964]	GO:0003964	PFX20168.1
A0A2B4RUZ1	A0A2B4RUZ1_STYPI	unreviewed	pol AWC38_SpisGene15432	Stylophora pistillata (Smooth cauliflower coral)	Pro-Pol polyprotein	703	nucleic acid binding [GO:0003676]; DNA integration [GO:0015074]	GO:0003676; GO:0015074	PFX20138.1
A0A2B4SN41	A0A2B4SN41_STYPI	unreviewed	K02A2.6 AWC38_SpisGene3848	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein K02A2.6	773	nucleic acid binding [GO:0003676]; DNA integration [GO:0015074]	GO:0003676; GO:0015074	PFX31311.1
A0A3M6UFB4	A0A3M6UFB4_POCDA	unreviewed	pdam_00024113	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	DUF3504 domain-containing protein	394	DNA binding [GO:0003677]; DNA integration [GO:0015074]; DNA recombination [GO:0006310]	GO:0003677; GO:0006310; GO:0015074	RMX52108.1
A0A3M6UW96	A0A3M6UW96_POCDA	unreviewed	pdam_00025437	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	COR domain-containing protein	937	nucleotide binding [GO:0000166]	GO:0000166	RMX57869.1
A0A3M6TCQ6	A0A3M6TCQ6_POCDA	unreviewed	pdam_00013526	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	2206	signal transduction [GO:0007165]	GO:0007165	RMX39186.1
A0A3M6UH70	A0A3M6UH70_POCDA	unreviewed	pdam_00025376	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	377	integral component of membrane [GO:0016021]	GO:0016021	RMX53005.1
A0A2B4RG13	A0A2B4RG13_STYPI	unreviewed	Heg1 AWC38_SpisGene20573	Stylophora pistillata (Smooth cauliflower coral)	Protein HEG-like 1	1096	calcium ion binding [GO:0005509]; ubiquitin-protein transferase activity [GO:0004842]	GO:0004842; GO:0005509	PFX15215.1
A0A3M6UKL0	A0A3M6UKL0_POCDA	unreviewed	pdam_00012120	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	NB-ARC domain-containing protein (Fragment)	1181	ADP binding [GO:0043531]	GO:0043531	RMX54152.1
A0A2B4RG77	A0A2B4RG77_STYPI	unreviewed	KIF13B AWC38_SpisGene20407	Stylophora pistillata (Smooth cauliflower coral)	Kinesin-like protein KIF13B	2064	integral component of membrane [GO:0016021]; ATP binding [GO:0005524]; ATP-dependent microtubule motor activity [GO:1990939]; microtubule binding [GO:0008017]; cell communication [GO:0007154]; microtubule-based movement [GO:0007018]	GO:0005524; GO:0007018; GO:0007154; GO:0008017; GO:0016021; GO:1990939	PFX15378.1
A0A4Y2A1L0	A0A4Y2A1L0_ARAVE	unreviewed	TY3B-I_776 AVEN_107803_1	Araneus ventricosus (Orbweaver spider) (Epeira ventricosa)	Transposon Ty3-I Gag-Pol polyprotein	987	nucleic acid binding [GO:0003676]; DNA integration [GO:0015074]	GO:0003676; GO:0015074	GBL73560.1
A0A3M6TBM9	A0A3M6TBM9_POCDA	unreviewed	pdam_00024230	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	ULP_PROTEASE domain-containing protein	521	cysteine-type peptidase activity [GO:0008234]	GO:0008234	RMX38773.1
A0A2B4R2W4	A0A2B4R2W4_STYPI	unreviewed	AWC38_SpisGene23314	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	668			PFX12684.1
A0A3M6UWG0	A0A3M6UWG0_POCDA	unreviewed	pdam_00015932	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	772			RMX57975.1
A0A3M6TZZ3	A0A3M6TZZ3_POCDA	unreviewed	pdam_00025835	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	TPR_REGION domain-containing protein (Fragment)	640			RMX46808.1
A0A2B4SW09	A0A2B4SW09_STYPI	unreviewed	GART AWC38_SpisGene1005	Stylophora pistillata (Smooth cauliflower coral)	Trifunctional purine biosynthetic protein adenosine-3	474	ATP binding [GO:0005524]; metal ion binding [GO:0046872]; nucleic acid binding [GO:0003676]; phosphoribosylamine-glycine ligase activity [GO:0004637]; phosphoribosylformylglycinamidine cyclo-ligase activity [GO:0004641]; 'de novo' IMP biosynthetic process [GO:0006189]; DNA integration [GO:0015074]; purine nucleobase biosynthetic process [GO:0009113]	GO:0003676; GO:0004637; GO:0004641; GO:0005524; GO:0006189; GO:0009113; GO:0015074; GO:0046872	PFX34061.1
A0A3M6TAQ9	A0A3M6TAQ9_POCDA	unreviewed	pdam_00016786	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	294			RMX38477.1
A0A3M6TFP2	A0A3M6TFP2_POCDA	unreviewed	pdam_00023636	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	235	nucleus [GO:0005634]; metal ion binding [GO:0046872]	GO:0005634; GO:0046872	RMX40161.1
A0A2B4RA66	A0A2B4RA66_STYPI	unreviewed	TY3B-I AWC38_SpisGene22186	Stylophora pistillata (Smooth cauliflower coral)	Transposon Ty3-I Gag-Pol polyprotein	1072	nucleic acid binding [GO:0003676]; zinc ion binding [GO:0008270]; DNA integration [GO:0015074]	GO:0003676; GO:0008270; GO:0015074	PFX13703.1
A0A2B4R736	A0A2B4R736_STYPI	unreviewed	F54H12.3 AWC38_SpisGene23901	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized transposon-derived protein F54H12.3	522	nucleic acid binding [GO:0003676]; DNA integration [GO:0015074]	GO:0003676; GO:0015074	PFX12177.1
A0A2B4STW2	A0A2B4STW2_STYPI	unreviewed	TTC28 AWC38_SpisGene899	Stylophora pistillata (Smooth cauliflower coral)	Tetratricopeptide repeat protein 28	1174			PFX34114.1
A0A2B4RJH3	A0A2B4RJH3_STYPI	unreviewed	AWC38_SpisGene19211	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	1249			PFX16507.1
A0A2B4RC25	A0A2B4RC25_STYPI	unreviewed	Tf2-6 AWC38_SpisGene21510	Stylophora pistillata (Smooth cauliflower coral)	Transposon Tf2-6 polyprotein	1402	nucleic acid binding [GO:0003676]; zinc ion binding [GO:0008270]; DNA integration [GO:0015074]	GO:0003676; GO:0008270; GO:0015074	PFX14343.1
A0A2B4R4B3	A0A2B4R4B3_STYPI	unreviewed	LRP5 AWC38_SpisGene22769	Stylophora pistillata (Smooth cauliflower coral)	Low-density lipoprotein receptor-related protein 5	160			PFX13174.1
A0A3M6TGS2	A0A3M6TGS2_POCDA	unreviewed	pdam_00022723	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	2203	catalytic activity [GO:0003824]; signal transduction [GO:0007165]	GO:0003824; GO:0007165	RMX40602.1
A0A3M6V3J4	A0A3M6V3J4_POCDA	unreviewed	pdam_00001442	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Tyrosinase_Cu-bd domain-containing protein	259	oxidoreductase activity [GO:0016491]	GO:0016491	RMX60523.1
A0A2B4R8T7	A0A2B4R8T7_STYPI	unreviewed	ZMYM1 AWC38_SpisGene23182	Stylophora pistillata (Smooth cauliflower coral)	Zinc finger MYM-type protein 1	477			PFX12798.1
A0A2B4SX31	A0A2B4SX31_STYPI	unreviewed	AWC38_SpisGene2029	Stylophora pistillata (Smooth cauliflower coral)	DED domain-containing protein	750	regulation of apoptotic process [GO:0042981]	GO:0042981	PFX33152.1
A0A3M6TDY8	A0A3M6TDY8_POCDA	unreviewed	pdam_00006097	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1419	integral component of membrane [GO:0016021]	GO:0016021	RMX39541.1
A0A3M6URL4	A0A3M6URL4_POCDA	unreviewed	pdam_00021639	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1042	integral component of membrane [GO:0016021]	GO:0016021	RMX56302.1
A0A2B4RBI1	A0A2B4RBI1_STYPI	unreviewed	AWC38_SpisGene21703	Stylophora pistillata (Smooth cauliflower coral)	Apple domain-containing protein	456			PFX14163.1
A0A3M6UN05	A0A3M6UN05_POCDA	unreviewed	pdam_00020786	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Receptor protein-tyrosine kinase (EC 2.7.10.1) (Fragment)	643	integral component of membrane [GO:0016021]; ATP binding [GO:0005524]; transmembrane receptor protein tyrosine kinase activity [GO:0004714]	GO:0004714; GO:0005524; GO:0016021	RMX55012.1
A0A3M6TN65	A0A3M6TN65_POCDA	unreviewed	pdam_00025677	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	TPR_REGION domain-containing protein (Fragment)	156	integral component of membrane [GO:0016021]	GO:0016021	RMX42820.1
A0A3M6UPY9	A0A3M6UPY9_POCDA	unreviewed	pdam_00022194	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	133			RMX55418.1
A0A3M6T8R7	A0A3M6T8R7_POCDA	unreviewed	pdam_00025445	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	255	calcium ion binding [GO:0005509]	GO:0005509	RMX37800.1
A0A2B4RR31	A0A2B4RR31_STYPI	unreviewed	ABCC4 AWC38_SpisGene16791	Stylophora pistillata (Smooth cauliflower coral)	Multidrug resistance-associated protein 4	1333	integral component of membrane [GO:0016021]; ABC-type xenobiotic transporter activity [GO:0008559]; ATP binding [GO:0005524]	GO:0005524; GO:0008559; GO:0016021	PFX18807.1
A0A3M6U2G5	A0A3M6U2G5_POCDA	unreviewed	pdam_00012330	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	482	calcium ion binding [GO:0005509]	GO:0005509	RMX47724.1
A0A3M6U2J6	A0A3M6U2J6_POCDA	unreviewed	pdam_00012328	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	EGF-like domain-containing protein	336			RMX47708.1
A0A3M6UNP3	A0A3M6UNP3_POCDA	unreviewed	pdam_00025080	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	445			RMX55317.1
A0A2B4SKX6	A0A2B4SKX6_STYPI	unreviewed	RTase AWC38_SpisGene6221	Stylophora pistillata (Smooth cauliflower coral)	Putative RNA-directed DNA polymerase from transposon BS	457	RNA-directed DNA polymerase activity [GO:0003964]	GO:0003964	PFX29075.1
