Entry	Entry name	Status	Gene names	Organism	Protein names	Length	Gene ontology (GO)	Gene ontology IDs	yourlist:M202110206320BA52A5CE8FCD097CB85A53697A352441782
A0A3M6TI03	A0A3M6TI03_POCDA	unreviewed	pdam_00003257	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	BHLH domain-containing protein (Fragment)	561	DNA binding [GO:0003677]; protein dimerization activity [GO:0046983]; regulation of transcription, DNA-templated [GO:0006355]	GO:0003677; GO:0006355; GO:0046983	RMX41052.1
A0A3M6TI66	A0A3M6TI66_POCDA	unreviewed	pdam_00003264	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	301			RMX41123.1
A0A3M6UHR2	A0A3M6UHR2_POCDA	unreviewed	pdam_00010963	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	241			RMX52908.1
A0A3M6UR48	A0A3M6UR48_POCDA	unreviewed	pdam_00017467	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	494			RMX56037.1
A0A2B4RKG0	A0A2B4RKG0_STYPI	unreviewed	AWC38_SpisGene18972	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	370			PFX16732.1
A0A3M6U006	A0A3M6U006_POCDA	unreviewed	pdam_00022112	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	565			RMX46921.1
A0A3M6TZX4	A0A3M6TZX4_POCDA	unreviewed	pdam_00022108	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	2001			RMX46926.1
A0A2B4SB46	A0A2B4SB46_STYPI	unreviewed	MOV10 AWC38_SpisGene9698	Stylophora pistillata (Smooth cauliflower coral)	RNA helicase (EC 3.6.4.13)	1221	cytoplasm [GO:0005737]; 5'-3' RNA helicase activity [GO:0032574]; RNA binding [GO:0003723]; post-transcriptional gene silencing by RNA [GO:0035194]	GO:0003723; GO:0005737; GO:0032574; GO:0035194	PFX25675.1
A0A2B4RHD3	A0A2B4RHD3_STYPI	unreviewed	HARBI1 AWC38_SpisGene19145	Stylophora pistillata (Smooth cauliflower coral)	Putative nuclease HARBI1	428	metal ion binding [GO:0046872]	GO:0046872	PFX16576.1
A0A3M6TAD7	A0A3M6TAD7_POCDA	unreviewed	pdam_00003390	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	1025			RMX38234.1
A0A2B4REX6	A0A2B4REX6_STYPI	unreviewed	Pkd1l2 AWC38_SpisGene20992	Stylophora pistillata (Smooth cauliflower coral)	Polycystic kidney disease protein 1-like 2	1909	integral component of membrane [GO:0016021]; calcium ion binding [GO:0005509]	GO:0005509; GO:0016021	PFX14822.1
A0A2B4T061	A0A2B4T061_STYPI	unreviewed	Pkd1l2 AWC38_SpisGene248	Stylophora pistillata (Smooth cauliflower coral)	Polycystic kidney disease protein 1-like 2	3202	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]	GO:0005886; GO:0016021	PFX34733.1
A0A3M6U278	A0A3M6U278_POCDA	unreviewed	pdam_00008577	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	204			RMX47795.1
A0A3M6UDB6	A0A3M6UDB6_POCDA	unreviewed	pdam_00020299	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	766	integral component of membrane [GO:0016021]	GO:0016021	RMX51652.1
A0A2B4RY05	A0A2B4RY05_STYPI	unreviewed	AWC38_SpisGene14301	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	756			PFX21218.1
A0A3M6UHV1	A0A3M6UHV1_POCDA	unreviewed	pdam_00016528	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	1665	integral component of membrane [GO:0016021]; calcium ion binding [GO:0005509]	GO:0005509; GO:0016021	RMX53215.1
A0A2B4SNI0	A0A2B4SNI0_STYPI	unreviewed	AWC38_SpisGene5284	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	387	integral component of membrane [GO:0016021]	GO:0016021	PFX29965.1
A0A3M6TX33	A0A3M6TX33_POCDA	unreviewed	pdam_00011030	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Apple domain-containing protein	105			RMX45936.1
A0A2B4RYW1	A0A2B4RYW1_STYPI	unreviewed	TRIM3 AWC38_SpisGene12654	Stylophora pistillata (Smooth cauliflower coral)	Tripartite motif-containing protein 3	569			PFX22821.1
A0A2B4SVL4	A0A2B4SVL4_STYPI	unreviewed	AWC38_SpisGene2591	Stylophora pistillata (Smooth cauliflower coral)	Reverse transcriptase	2721	nucleic acid binding [GO:0003676]; DNA integration [GO:0015074]	GO:0003676; GO:0015074	PFX32582.1
A0A3M6U1A3	A0A3M6U1A3_POCDA	unreviewed	pdam_00018745	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	158			RMX47396.1
A0A3M6U431	A0A3M6U431_POCDA	unreviewed	pdam_00016302	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	4078	integral component of membrane [GO:0016021]	GO:0016021	RMX48367.1
A0A2B4RNS0	A0A2B4RNS0_STYPI	unreviewed	Pkd1l2 AWC38_SpisGene17202	Stylophora pistillata (Smooth cauliflower coral)	Polycystic kidney disease protein 1-like 2	4185	integral component of membrane [GO:0016021]; calcium ion binding [GO:0005509]	GO:0005509; GO:0016021	PFX18429.1
A0A3M6UBG6	A0A3M6UBG6_POCDA	unreviewed	pdam_00016112	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	217			RMX50906.1
A0A2B4R8M6	A0A2B4R8M6_STYPI	unreviewed	TTC28 AWC38_SpisGene23382	Stylophora pistillata (Smooth cauliflower coral)	Tetratricopeptide repeat protein 28	1474			PFX12625.1
A0A3M6UBE3	A0A3M6UBE3_POCDA	unreviewed	pdam_00024495	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1143	integral component of membrane [GO:0016021]	GO:0016021	RMX50975.1
A0A3M6T9Y1	A0A3M6T9Y1_POCDA	unreviewed	pdam_00003108	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1187	integral component of membrane [GO:0016021]	GO:0016021	RMX38118.1
A0A3M6TCB0	A0A3M6TCB0_POCDA	unreviewed	pdam_00021865	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	MFS domain-containing protein (Fragment)	428	integral component of membrane [GO:0016021]; transmembrane transporter activity [GO:0022857]	GO:0016021; GO:0022857	RMX39032.1
A0A3M6TVB8	A0A3M6TVB8_POCDA	unreviewed	pdam_00021085	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	487			RMX45204.1
A0A2B4RIN2	A0A2B4RIN2_STYPI	unreviewed	FGL2 AWC38_SpisGene19390	Stylophora pistillata (Smooth cauliflower coral)	Fibroleukin	248			PFX16340.1
A0A3M6UI55	A0A3M6UI55_POCDA	unreviewed	pdam_00018684	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	385			RMX53347.1
A0A3M6UIG1	A0A3M6UIG1_POCDA	unreviewed	pdam_00018686	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	265			RMX53349.1
A0A2B4RNH2	A0A2B4RNH2_STYPI	unreviewed	UNC5C AWC38_SpisGene15565	Stylophora pistillata (Smooth cauliflower coral)	Netrin receptor UNC5C (Fragment)	800			PFX19984.1
A0A3M6UI77	A0A3M6UI77_POCDA	unreviewed	pdam_00018688	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	327			RMX53346.1
A0A3M6UIA3	A0A3M6UIA3_POCDA	unreviewed	pdam_00018699	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	611			RMX53365.1
A0A3M6TPM7	A0A3M6TPM7_POCDA	unreviewed	pdam_00016102	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Eph LBD domain-containing protein (Fragment)	354	ATP binding [GO:0005524]	GO:0005524	RMX43375.1
A0A3M6TUQ6	A0A3M6TUQ6_POCDA	unreviewed	pdam_00016501	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	1124	ATP binding [GO:0005524]; protein kinase activity [GO:0004672]	GO:0004672; GO:0005524	RMX45133.1
A0A2B4SIY0	A0A2B4SIY0_STYPI	unreviewed	AWC38_SpisGene6130	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	781	ADP binding [GO:0043531]; regulation of apoptotic process [GO:0042981]	GO:0042981; GO:0043531	PFX29079.1
A0A3M6UIQ9	A0A3M6UIQ9_POCDA	unreviewed	pdam_00004403	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	923			RMX53532.1
A0A3M6ULW1	A0A3M6ULW1_POCDA	unreviewed	pdam_00009301	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	1449			RMX54646.1
A0A2B4RB33	A0A2B4RB33_STYPI	unreviewed	RTase AWC38_SpisGene22331	Stylophora pistillata (Smooth cauliflower coral)	Putative RNA-directed DNA polymerase from transposon BS	992	RNA-directed DNA polymerase activity [GO:0003964]	GO:0003964	PFX13577.1
A0A3M6UUR5	A0A3M6UUR5_POCDA	unreviewed	pdam_00020588	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1733	zinc ion binding [GO:0008270]	GO:0008270	RMX57304.1
A0A3M6URX7	A0A3M6URX7_POCDA	unreviewed	pdam_00008843	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	238			RMX56426.1
A0A3M6U6L7	A0A3M6U6L7_POCDA	unreviewed	pdam_00014452	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Fibrinogen C-terminal domain-containing protein	541	extracellular matrix structural constituent [GO:0005201]	GO:0005201	RMX49310.1
A0A2B4RFZ3	A0A2B4RFZ3_STYPI	unreviewed	Arsj AWC38_SpisGene20477	Stylophora pistillata (Smooth cauliflower coral)	Protein-tyrosine-phosphatase (EC 3.1.3.48)	1185	protein tyrosine phosphatase activity [GO:0004725]; sulfuric ester hydrolase activity [GO:0008484]; cell cycle [GO:0007049]; cell division [GO:0051301]; positive regulation of cell cycle G2/M phase transition [GO:1902751]	GO:0004725; GO:0007049; GO:0008484; GO:0051301; GO:1902751	PFX15298.1
A0A3M6TYL4	A0A3M6TYL4_POCDA	unreviewed	pdam_00017824	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	SWIM-type domain-containing protein	535	zinc ion binding [GO:0008270]	GO:0008270	RMX46477.1
A0A2B4RFH5	A0A2B4RFH5_STYPI	unreviewed	THAP3 AWC38_SpisGene20697	Stylophora pistillata (Smooth cauliflower coral)	THAP domain-containing protein 3	703	DNA binding [GO:0003677]; metal ion binding [GO:0046872]	GO:0003677; GO:0046872	PFX15097.1
A0A2B4S352	A0A2B4S352_STYPI	unreviewed	N AWC38_SpisGene12224	Stylophora pistillata (Smooth cauliflower coral)	Neurogenic locus Notch protein	763	calcium ion binding [GO:0005509]	GO:0005509	PFX23210.1
A0A3M6V0S4	A0A3M6V0S4_POCDA	unreviewed	pdam_00022952	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	790	integral component of membrane [GO:0016021]	GO:0016021	RMX59158.1
A0A3M6UFC5	A0A3M6UFC5_POCDA	unreviewed	pdam_00010337	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	512			RMX52306.1
A0A2B4RIS8	A0A2B4RIS8_STYPI	unreviewed	AWC38_SpisGene18985	Stylophora pistillata (Smooth cauliflower coral)	33 kDa inner dynein arm light chain, axonemal	461			PFX16719.1
A0A2B4R629	A0A2B4R629_STYPI	unreviewed	AWC38_SpisGene23391	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	181			PFX12616.1
A0A2B4SE18	A0A2B4SE18_STYPI	unreviewed	tie2 AWC38_SpisGene8010	Stylophora pistillata (Smooth cauliflower coral)	Receptor protein-tyrosine kinase (EC 2.7.10.1)	1556	integral component of membrane [GO:0016021]; ATP binding [GO:0005524]; transmembrane receptor protein tyrosine kinase activity [GO:0004714]	GO:0004714; GO:0005524; GO:0016021	PFX27293.1
A0A2B4SFT5	A0A2B4SFT5_STYPI	unreviewed	EGF3 AWC38_SpisGene7882	Stylophora pistillata (Smooth cauliflower coral)	Fibropellin-3	778	calcium ion binding [GO:0005509]	GO:0005509	PFX27382.1
A0A3M6TK89	A0A3M6TK89_POCDA	unreviewed	pdam_00012491	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	147			RMX41812.1
A0A3M6TKC1	A0A3M6TKC1_POCDA	unreviewed	pdam_00012490	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	U4/U6.U5 small nuclear ribonucleoprotein 27 kDa protein (U4/U6.U5 tri-snRNP-associated protein 3)	139	nucleus [GO:0005634]; mRNA processing [GO:0006397]; RNA splicing [GO:0008380]	GO:0005634; GO:0006397; GO:0008380	RMX41835.1
A0A2B4S6Z7	A0A2B4S6Z7_STYPI	unreviewed	BTRC AWC38_SpisGene11071	Stylophora pistillata (Smooth cauliflower coral)	F-box/WD repeat-containing protein 1A	850	protein dimerization activity [GO:0046983]	GO:0046983	PFX24357.1
A0A2B4S5P2	A0A2B4S5P2_STYPI	unreviewed	Lrrc27 AWC38_SpisGene11073	Stylophora pistillata (Smooth cauliflower coral)	Leucine-rich repeat-containing protein 27	770			PFX24359.1
A0A3M6TKB2	A0A3M6TKB2_POCDA	unreviewed	pdam_00012473	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	155			RMX41825.1
A0A3M6TMU8	A0A3M6TMU8_POCDA	unreviewed	pdam_00010280	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	207	integral component of membrane [GO:0016021]	GO:0016021	RMX42641.1
A0A3M6UVS6	A0A3M6UVS6_POCDA	unreviewed	pdam_00006958	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	DEP domain-containing protein	1597	GTPase activator activity [GO:0005096]; intracellular signal transduction [GO:0035556]; positive regulation of GTPase activity [GO:0043547]	GO:0005096; GO:0035556; GO:0043547	RMX57438.1
A0A3M6UUT3	A0A3M6UUT3_POCDA	unreviewed	pdam_00006965	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Deacetylase sirtuin-type domain-containing protein	352	NAD+ binding [GO:0070403]; transferase activity [GO:0016740]	GO:0016740; GO:0070403	RMX57446.1
A0A2B4SW33	A0A2B4SW33_STYPI	unreviewed	F5 AWC38_SpisGene2019	Stylophora pistillata (Smooth cauliflower coral)	Coagulation factor V	387			PFX33090.1
A0A3M6UM64	A0A3M6UM64_POCDA	unreviewed	pdam_00024337	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1156	protein homooligomerization [GO:0051260]	GO:0051260	RMX54746.1
A0A3M6TEM7	A0A3M6TEM7_POCDA	unreviewed	pdam_00013476	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	660	protein homooligomerization [GO:0051260]	GO:0051260	RMX39840.1
A0A3M6TEN4	A0A3M6TEN4_POCDA	unreviewed	pdam_00013470	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Glutaredoxin domain-containing protein	155	iron-sulfur cluster binding [GO:0051536]; metal ion binding [GO:0046872]; protein disulfide oxidoreductase activity [GO:0015035]	GO:0015035; GO:0046872; GO:0051536	RMX39842.1
A0A3M6TEQ1	A0A3M6TEQ1_POCDA	unreviewed	pdam_00013462	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1566	protein homooligomerization [GO:0051260]	GO:0051260	RMX39860.1
A0A3M6TEQ2	A0A3M6TEQ2_POCDA	unreviewed	pdam_00013460	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1024	protein homooligomerization [GO:0051260]	GO:0051260	RMX39862.1
A0A3M6TEK9	A0A3M6TEK9_POCDA	unreviewed	pdam_00013446	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	167			RMX39867.1
A0A3M6TEP1	A0A3M6TEP1_POCDA	unreviewed	pdam_00013445	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	N-acetyltransferase domain-containing protein	254	N-acetyltransferase activity [GO:0008080]	GO:0008080	RMX39866.1
A0A3M6TER4	A0A3M6TER4_POCDA	unreviewed	pdam_00013441	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	145			RMX39870.1
A0A3M6TEQ9	A0A3M6TEQ9_POCDA	unreviewed	pdam_00013439	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	446	cytoplasm [GO:0005737]; zinc ion binding [GO:0008270]; regulation of apoptotic process [GO:0042981]; signal transduction [GO:0007165]	GO:0005737; GO:0007165; GO:0008270; GO:0042981	RMX39853.1
A0A2B4SB64	A0A2B4SB64_STYPI	unreviewed	Pkd1l2 AWC38_SpisGene9521	Stylophora pistillata (Smooth cauliflower coral)	Polycystic kidney disease protein 1-like 2	3349	integral component of membrane [GO:0016021]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; calcium ion binding [GO:0005509]	GO:0005509; GO:0005634; GO:0005886; GO:0016021	PFX25817.1
A0A3M6V0H2	A0A3M6V0H2_POCDA	unreviewed	pdam_00014010	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Protein MON2 homolog	1720	protein transport [GO:0015031]	GO:0015031	RMX59339.1
A0A2B4SJ88	A0A2B4SJ88_STYPI	unreviewed	AWC38_SpisGene6069	Stylophora pistillata (Smooth cauliflower coral)	MULE domain-containing protein	795			PFX29163.1
A0A3M6THH6	A0A3M6THH6_POCDA	unreviewed	pdam_00006512	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	ZP domain-containing protein	881	integral component of membrane [GO:0016021]	GO:0016021	RMX40826.1
A0A3M6UU13	A0A3M6UU13_POCDA	unreviewed	pdam_00008256	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	919	calcium ion binding [GO:0005509]; extracellular matrix structural constituent [GO:0005201]	GO:0005201; GO:0005509	RMX57130.1
A0A3M6UU59	A0A3M6UU59_POCDA	unreviewed	pdam_00008252	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1263	integral component of membrane [GO:0016021]	GO:0016021	RMX57127.1
A0A3M6UU39	A0A3M6UU39_POCDA	unreviewed	pdam_00008249	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	LEM domain-containing protein (Fragment)	466	integral component of membrane [GO:0016021]	GO:0016021	RMX57097.1
A0A2B4SCX7	A0A2B4SCX7_STYPI	unreviewed	ptk2 AWC38_SpisGene8089	Stylophora pistillata (Smooth cauliflower coral)	Focal adhesion kinase 1	1263	ATP binding [GO:0005524]; protein kinase activity [GO:0004672]; signal transduction [GO:0007165]	GO:0004672; GO:0005524; GO:0007165	PFX27226.1
A0A2B4S9A8	A0A2B4S9A8_STYPI	unreviewed	CPD AWC38_SpisGene8097	Stylophora pistillata (Smooth cauliflower coral)	Carboxypeptidase D	1796	integral component of membrane [GO:0016021]; metallocarboxypeptidase activity [GO:0004181]; zinc ion binding [GO:0008270]; peptide metabolic process [GO:0006518]	GO:0004181; GO:0006518; GO:0008270; GO:0016021	PFX27244.1
A0A2B4RD49	A0A2B4RD49_STYPI	unreviewed	AWC38_SpisGene20201	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	177	integral component of membrane [GO:0016021]	GO:0016021	PFX15571.1
A0A498M6J4	A0A498M6J4_LABRO	unreviewed	ROHU_008452	Labeo rohita (Indian major carp) (Cyprinus rohita)	Craniofacial development 2	317			RXN16241.1
A0A2B4S7K6	A0A2B4S7K6_STYPI	unreviewed	TY3B-I AWC38_SpisGene10901	Stylophora pistillata (Smooth cauliflower coral)	Transposon Ty3-I Gag-Pol polyprotein	734	nucleic acid binding [GO:0003676]; zinc ion binding [GO:0008270]	GO:0003676; GO:0008270	PFX24502.1
A0A2B4RX75	A0A2B4RX75_STYPI	unreviewed	AWC38_SpisGene14575	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	94			PFX20947.1
A0A3M6UQW4	A0A3M6UQW4_POCDA	unreviewed	pdam_00019941	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	207			RMX56113.1
A0A3M6TR66	A0A3M6TR66_POCDA	unreviewed	pdam_00011301	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	528			RMX43892.1
A0A3M6TRK2	A0A3M6TRK2_POCDA	unreviewed	pdam_00011303	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	DAC domain-containing protein	611			RMX43894.1
A0A3M6TR90	A0A3M6TR90_POCDA	unreviewed	pdam_00011307	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	4F5 domain-containing protein	116			RMX43890.1
A0A3M6UKP0	A0A3M6UKP0_POCDA	unreviewed	pdam_00010714	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	509			RMX53948.1
A0A2B4S6Y9	A0A2B4S6Y9_STYPI	unreviewed	AWC38_SpisGene9665	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	82			PFX25681.1
A0A3M6UJU2	A0A3M6UJU2_POCDA	unreviewed	pdam_00010725	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	G_PROTEIN_RECEP_F1_2 domain-containing protein	433	integral component of membrane [GO:0016021]; G protein-coupled receptor activity [GO:0004930]	GO:0004930; GO:0016021	RMX53940.1
A0A3M6UBJ7	A0A3M6UBJ7_POCDA	unreviewed	pdam_00024708	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	MICOS complex subunit MIC10	131	MICOS complex [GO:0061617]	GO:0061617	RMX51067.1
A0A3M6UTY2	A0A3M6UTY2_POCDA	unreviewed	pdam_00006176	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	VWFA domain-containing protein	2265	integral component of membrane [GO:0016021]	GO:0016021	RMX57037.1
A0A3M6UTP1	A0A3M6UTP1_POCDA	unreviewed	pdam_00006171	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	314			RMX57036.1
A0A3M6UTN6	A0A3M6UTN6_POCDA	unreviewed	pdam_00006155	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1050	integral component of membrane [GO:0016021]; metal ion binding [GO:0046872]; ubiquitin-protein transferase activity [GO:0004842]	GO:0004842; GO:0016021; GO:0046872	RMX57063.1
A0A3M6TJU3	A0A3M6TJU3_POCDA	unreviewed	pdam_00013091	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	608			RMX41538.1
A0A3M6U333	A0A3M6U333_POCDA	unreviewed	pdam_00002647	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Poly [ADP-ribose] polymerase (PARP) (EC 2.4.2.-)	1666	NAD+ ADP-ribosyltransferase activity [GO:0003950]; RNA binding [GO:0003723]	GO:0003723; GO:0003950	RMX48050.1
A0A3M6U391	A0A3M6U391_POCDA	unreviewed	pdam_00002649	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	1894	integral component of membrane [GO:0016021]	GO:0016021	RMX48046.1
A0A3M6TD79	A0A3M6TD79_POCDA	unreviewed	pdam_00018978	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Ig-like domain-containing protein	507	integral component of membrane [GO:0016021]	GO:0016021	RMX39249.1
A0A3M6THF4	A0A3M6THF4_POCDA	unreviewed	pdam_00006526	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	600	SAGA complex [GO:0000124]; SLIK (SAGA-like) complex [GO:0046695]; transcription factor TFIID complex [GO:0005669]; protein heterodimerization activity [GO:0046982]; RNA polymerase II general transcription initiation factor activity [GO:0016251]; transcription initiation from RNA polymerase II promoter [GO:0006367]	GO:0000124; GO:0005669; GO:0006367; GO:0016251; GO:0046695; GO:0046982	RMX40842.1
A0A3M6THE3	A0A3M6THE3_POCDA	unreviewed	pdam_00006530	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	MYND-type domain-containing protein	362	cytoplasm [GO:0005737]	GO:0005737	RMX40800.1
A0A2B4R635	A0A2B4R635_STYPI	unreviewed	ROBO3 AWC38_SpisGene24485	Stylophora pistillata (Smooth cauliflower coral)	Roundabout-like 3 (Fragment)	923	extracellular matrix structural constituent [GO:0005201]	GO:0005201	PFX11692.1
A0A3M6THC4	A0A3M6THC4_POCDA	unreviewed	pdam_00006539	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Chitin-binding type-2 domain-containing protein	390	extracellular region [GO:0005576]; chitin binding [GO:0008061]	GO:0005576; GO:0008061	RMX40797.1
A0A3M6THM6	A0A3M6THM6_POCDA	unreviewed	pdam_00006540	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	APH domain-containing protein	369			RMX40809.1
A0A3M6U4P9	A0A3M6U4P9_POCDA	unreviewed	pdam_00017134	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	ZU5 domain-containing protein (Fragment)	523	integral component of membrane [GO:0016021]; netrin receptor activity [GO:0005042]	GO:0005042; GO:0016021	RMX48591.1
A0A3M6V248	A0A3M6V248_POCDA	unreviewed	pdam_00025580	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	CHAT domain-containing protein (Fragment)	547			RMX60005.1
A0A3M6UQG9	A0A3M6UQG9_POCDA	unreviewed	pdam_00006237	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	464			RMX55892.1
A0A2B4RA17	A0A2B4RA17_STYPI	unreviewed	F54H12.2 AWC38_SpisGene21887	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein F54H12.2	533	deoxyribonucleotide biosynthetic process [GO:0009263]	GO:0009263	PFX13996.1
A0A3M6U9P8	A0A3M6U9P8_POCDA	unreviewed	pdam_00022730	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Glycos_transf_1 domain-containing protein	1006	integral component of membrane [GO:0016021]; transferase activity, transferring glycosyl groups [GO:0016757]	GO:0016021; GO:0016757	RMX50377.1
A0A2B4RT19	A0A2B4RT19_STYPI	unreviewed	NPHP3 AWC38_SpisGene15896	Stylophora pistillata (Smooth cauliflower coral)	Nephrocystin-3	1785	ATP binding [GO:0005524]; ATPase activity [GO:0016887]; signal transduction [GO:0007165]	GO:0005524; GO:0007165; GO:0016887	PFX19700.1
A0A3M6T9S3	A0A3M6T9S3_POCDA	unreviewed	pdam_00003333	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	784			RMX38186.1
A0A2B4SJX2	A0A2B4SJX2_STYPI	unreviewed	CNTNAP2 AWC38_SpisGene4990	Stylophora pistillata (Smooth cauliflower coral)	Contactin-associated protein-like 2 (Fragment)	529	protein localization to juxtaparanode region of axon [GO:0071205]	GO:0071205	PFX30191.1
A0A3M6TA55	A0A3M6TA55_POCDA	unreviewed	pdam_00003356	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1401			RMX38267.1
