Entry	Entry name	Status	Gene names	Organism	Protein names	Length	Gene ontology (GO)	Gene ontology IDs	yourlist:M2021102092C7BAECDB1C5C413EE0E0348724B6822441ACZ
A0A3M6UPQ0	A0A3M6UPQ0_POCDA	unreviewed	pdam_00001674	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	CBAH domain-containing protein	421	integral component of membrane [GO:0016021]; hydrolase activity [GO:0016787]	GO:0016021; GO:0016787	RMX55612.1
A0A3M6UPJ0	A0A3M6UPJ0_POCDA	unreviewed	pdam_00001675	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	748	integral component of membrane [GO:0016021]; G protein-coupled receptor activity [GO:0004930]	GO:0004930; GO:0016021	RMX55613.1
A0A3M6UQE8	A0A3M6UQE8_POCDA	unreviewed	pdam_00001686	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	ANK_REP_REGION domain-containing protein	1549	integral component of membrane [GO:0016021]; palmitoyltransferase activity [GO:0016409]	GO:0016021; GO:0016409	RMX55588.1
A0A2B4RZ55	A0A2B4RZ55_STYPI	unreviewed	Ppp1r27 AWC38_SpisGene14005	Stylophora pistillata (Smooth cauliflower coral)	Protein phosphatase 1 regulatory subunit 27	478			PFX21525.1
A0A3M6UPX0	A0A3M6UPX0_POCDA	unreviewed	pdam_00001697	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Homeobox domain-containing protein	203	nucleus [GO:0005634]; DNA binding [GO:0003677]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]	GO:0000981; GO:0003677; GO:0005634	RMX55651.1
A0A2B4SQM3	A0A2B4SQM3_STYPI	unreviewed	As3mt AWC38_SpisGene4512	Stylophora pistillata (Smooth cauliflower coral)	Arsenite methyltransferase	821	methyltransferase activity [GO:0008168]; methylation [GO:0032259]	GO:0008168; GO:0032259	PFX30695.1
A0A3M6UHP1	A0A3M6UHP1_POCDA	unreviewed	pdam_00016237	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	402			RMX52888.1
A0A2B4SMV3	A0A2B4SMV3_STYPI	unreviewed	XDH AWC38_SpisGene4513	Stylophora pistillata (Smooth cauliflower coral)	Xanthine dehydrogenase (EC 1.17.1.4)	2241	peroxisome [GO:0005777]; 2 iron, 2 sulfur cluster binding [GO:0051537]; electron transfer activity [GO:0009055]; FAD binding [GO:0071949]; metal ion binding [GO:0046872]; molybdopterin cofactor binding [GO:0043546]; xanthine dehydrogenase activity [GO:0004854]; xanthine oxidase activity [GO:0004855]	GO:0004854; GO:0004855; GO:0005777; GO:0009055; GO:0043546; GO:0046872; GO:0051537; GO:0071949	PFX30696.1
A0A3M6UGR4	A0A3M6UGR4_POCDA	unreviewed	pdam_00016246	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Peptidylprolyl isomerase (EC 5.2.1.8) (Fragment)	744	peptidyl-prolyl cis-trans isomerase activity [GO:0003755]; ubiquitin protein ligase activity [GO:0061630]; protein polyubiquitination [GO:0000209]; regulation of Toll signaling pathway [GO:0008592]	GO:0000209; GO:0003755; GO:0008592; GO:0061630	RMX52870.1
A0A2B4RTU4	A0A2B4RTU4_STYPI	unreviewed	AWC38_SpisGene15838	Stylophora pistillata (Smooth cauliflower coral)	GTP cyclohydrolase 1 feedback regulatory protein (GTP cyclohydrolase I feedback regulatory protein)	368	cytosol [GO:0005829]; nuclear membrane [GO:0031965]; negative regulation of biosynthetic process [GO:0009890]	GO:0005829; GO:0009890; GO:0031965	PFX19738.1
A0A2B4RMS5	A0A2B4RMS5_STYPI	unreviewed	TTC28 AWC38_SpisGene15834	Stylophora pistillata (Smooth cauliflower coral)	Tetratricopeptide repeat protein 28	566			PFX19734.1
A0A2B4RK71	A0A2B4RK71_STYPI	unreviewed	Tdp1 AWC38_SpisGene16824	Stylophora pistillata (Smooth cauliflower coral)	Tyrosyl-DNA phosphodiesterase 1	403	nucleus [GO:0005634]; exonuclease activity [GO:0004527]; phosphoric diester hydrolase activity [GO:0008081]; DNA repair [GO:0006281]	GO:0004527; GO:0005634; GO:0006281; GO:0008081	PFX18794.1
A0A3M6TPK8	A0A3M6TPK8_POCDA	unreviewed	pdam_00014943	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	936			RMX43310.1
A0A2B4RVW1	A0A2B4RVW1_STYPI	unreviewed	GPR133 AWC38_SpisGene13758	Stylophora pistillata (Smooth cauliflower coral)	Putative G-protein coupled receptor 133	512	integral component of membrane [GO:0016021]; G protein-coupled receptor activity [GO:0004930]; cell surface receptor signaling pathway [GO:0007166]	GO:0004930; GO:0007166; GO:0016021	PFX21751.1
A0A3M6TGR0	A0A3M6TGR0_POCDA	unreviewed	pdam_00007475	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	SGNH_hydro domain-containing protein	542			RMX40521.1
A0A3M6UZY6	A0A3M6UZY6_POCDA	unreviewed	pdam_00007745	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1494	calcium ion binding [GO:0005509]	GO:0005509	RMX59200.1
A0A3M6UZT7	A0A3M6UZT7_POCDA	unreviewed	pdam_00007742	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	793	calcium ion binding [GO:0005509]	GO:0005509	RMX59193.1
A0A3M6UZT6	A0A3M6UZT6_POCDA	unreviewed	pdam_00007741	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	920	integral component of membrane [GO:0016021]; calcium ion binding [GO:0005509]	GO:0005509; GO:0016021	RMX59196.1
A0A3M6U2Z0	A0A3M6U2Z0_POCDA	unreviewed	pdam_00005344	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	540			RMX47987.1
A0A3M6U365	A0A3M6U365_POCDA	unreviewed	pdam_00005341	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Ig-like domain-containing protein (Fragment)	1131	integral component of membrane [GO:0016021]	GO:0016021	RMX47984.1
A0A3M6U2U8	A0A3M6U2U8_POCDA	unreviewed	pdam_00005338	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	815	integral component of membrane [GO:0016021]; ATP binding [GO:0005524]; protein kinase activity [GO:0004672]	GO:0004672; GO:0005524; GO:0016021	RMX47947.1
A0A3M6U3A2	A0A3M6U3A2_POCDA	unreviewed	pdam_00005335	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	576	lyase activity [GO:0016829]	GO:0016829	RMX47948.1
A0A3M6U2N9	A0A3M6U2N9_POCDA	unreviewed	pdam_00005330	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	212	integral component of membrane [GO:0016021]	GO:0016021	RMX47953.1
A0A3M6U2X7	A0A3M6U2X7_POCDA	unreviewed	pdam_00005317	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	C-type lectin domain-containing protein	331			RMX47971.1
A0A3M6UL16	A0A3M6UL16_POCDA	unreviewed	pdam_00013167	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	446			RMX54068.1
A0A2B4SXP9	A0A2B4SXP9_STYPI	unreviewed	pol AWC38_SpisGene1764	Stylophora pistillata (Smooth cauliflower coral)	RNA-directed DNA polymerase from mobile element jockey	793	RNA-directed DNA polymerase activity [GO:0003964]	GO:0003964	PFX33338.1
A0A2B4RF99	A0A2B4RF99_STYPI	unreviewed	AWC38_SpisGene18661	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	673			PFX17044.1
A0A3M6UTW4	A0A3M6UTW4_POCDA	unreviewed	pdam_00006204	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	WD_REPEATS_REGION domain-containing protein (Fragment)	1555			RMX57029.1
A0A2B4SQD9	A0A2B4SQD9_STYPI	unreviewed	AWC38_SpisGene3607	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	2930			PFX31586.1
A0A2B4SR33	A0A2B4SR33_STYPI	unreviewed	AWC38_SpisGene3608	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	96			PFX31579.1
A0A2B4SSL4	A0A2B4SSL4_STYPI	unreviewed	TkR86C AWC38_SpisGene3610	Stylophora pistillata (Smooth cauliflower coral)	Tachykinin-like peptides receptor 86C	510	integral component of membrane [GO:0016021]; G protein-coupled receptor activity [GO:0004930]	GO:0004930; GO:0016021	PFX31532.1
A0A3M6UY26	A0A3M6UY26_POCDA	unreviewed	pdam_00006424	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	C2H2-type domain-containing protein (Fragment)	363			RMX58572.1
A0A3M6UYB3	A0A3M6UYB3_POCDA	unreviewed	pdam_00006430	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1027	synaptonemal complex [GO:0000795]; synaptonemal complex assembly [GO:0007130]	GO:0000795; GO:0007130	RMX58607.1
A0A3M6UZ60	A0A3M6UZ60_POCDA	unreviewed	pdam_00006444	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	464			RMX58598.1
A0A3M6UYC8	A0A3M6UYC8_POCDA	unreviewed	pdam_00006445	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	144			RMX58599.1
A0A2B4ST72	A0A2B4ST72_STYPI	unreviewed	AWC38_SpisGene3637	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	724			PFX31595.1
A0A3M6UY55	A0A3M6UY55_POCDA	unreviewed	pdam_00006454	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	155			RMX58626.1
A0A3M6UY66	A0A3M6UY66_POCDA	unreviewed	pdam_00006468	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	BTB domain-containing protein	128			RMX58612.1
A0A2B4RT91	A0A2B4RT91_STYPI	unreviewed	AWC38_SpisGene15190	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	100	mitochondrial respiratory chain complex I [GO:0005747]	GO:0005747	PFX20366.1
A0A3M6UYM6	A0A3M6UYM6_POCDA	unreviewed	pdam_00006473	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Photolyase/cryptochrome alpha/beta domain-containing protein	581	protein-chromophore linkage [GO:0018298]	GO:0018298	RMX58634.1
A0A3M6ULH3	A0A3M6ULH3_POCDA	unreviewed	pdam_00024776	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	111			RMX54384.1
A0A3M6UL30	A0A3M6UL30_POCDA	unreviewed	pdam_00024780	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	AIG1-type G domain-containing protein (Fragment)	348	GTP binding [GO:0005525]	GO:0005525	RMX54380.1
A0A3M6TEG7	A0A3M6TEG7_POCDA	unreviewed	pdam_00008084	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	107	membrane [GO:0016020]; GTP binding [GO:0005525]	GO:0005525; GO:0016020	RMX39699.1
A0A3M6UZ57	A0A3M6UZ57_POCDA	unreviewed	pdam_00014634	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	748	aryl hydrocarbon receptor complex [GO:0034751]; cytoplasm [GO:0005737]; nucleus [GO:0005634]; transcription regulator complex [GO:0005667]; DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]; protein dimerization activity [GO:0046983]; xenobiotic metabolic process [GO:0006805]	GO:0003677; GO:0003700; GO:0005634; GO:0005667; GO:0005737; GO:0006805; GO:0034751; GO:0046983	RMX58971.1
A0A3M6TDH0	A0A3M6TDH0_POCDA	unreviewed	pdam_00016743	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1030			RMX39284.1
A0A3M6TDG2	A0A3M6TDG2_POCDA	unreviewed	pdam_00016737	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	CP-type G domain-containing protein	583	GTP binding [GO:0005525]; GTPase activity [GO:0003924]	GO:0003924; GO:0005525	RMX39274.1
A0A2B4SWV7	A0A2B4SWV7_STYPI	unreviewed	NLRP12 AWC38_SpisGene2077	Stylophora pistillata (Smooth cauliflower coral)	NACHT, LRR and PYD domains-containing protein 12	1763			PFX33072.1
A0A2B4S9V1	A0A2B4S9V1_STYPI	unreviewed	AWC38_SpisGene10036	Stylophora pistillata (Smooth cauliflower coral)	CBM2 domain-containing protein	294	hydrolase activity, hydrolyzing O-glycosyl compounds [GO:0004553]; polysaccharide binding [GO:0030247]; carbohydrate metabolic process [GO:0005975]	GO:0004553; GO:0005975; GO:0030247	PFX25348.1
A0A3M6UCH8	A0A3M6UCH8_POCDA	unreviewed	pdam_00011347	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Endoglucanase (EC 3.2.1.4) (Fragment)	1198	cellulase activity [GO:0008810]; polysaccharide binding [GO:0030247]; cellulose catabolic process [GO:0030245]	GO:0008810; GO:0030245; GO:0030247	RMX51380.1
A0A3M6TRA8	A0A3M6TRA8_POCDA	unreviewed	pdam_00021072	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	154			RMX43876.1
A0A2B4S9S2	A0A2B4S9S2_STYPI	unreviewed	HMCN1 AWC38_SpisGene10028	Stylophora pistillata (Smooth cauliflower coral)	Hemicentin-1	6491	extracellular region [GO:0005576]; nematocyst [GO:0042151]; chitin binding [GO:0008061]; serine-type endopeptidase inhibitor activity [GO:0004867]	GO:0004867; GO:0005576; GO:0008061; GO:0042151	PFX25328.1
A0A3M6U3Z1	A0A3M6U3Z1_POCDA	unreviewed	pdam_00011117	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	525	DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]	GO:0003677; GO:0003700	RMX48316.1
A0A2B4S600	A0A2B4S600_STYPI	unreviewed	maf AWC38_SpisGene10025	Stylophora pistillata (Smooth cauliflower coral)	Transcription factor Maf	414	nucleus [GO:0005634]; DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]	GO:0003677; GO:0003700; GO:0005634	PFX25331.1
A0A3M6U3T4	A0A3M6U3T4_POCDA	unreviewed	pdam_00011113	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Fibronectin type-III domain-containing protein	1339			RMX48312.1
A0A3M6UG06	A0A3M6UG06_POCDA	unreviewed	pdam_00021331	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	1523	integral component of membrane [GO:0016021]	GO:0016021	RMX52593.1
A0A3M6TU73	A0A3M6TU73_POCDA	unreviewed	pdam_00017358	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	407			RMX44977.1
A0A3M6TDL3	A0A3M6TDL3_POCDA	unreviewed	pdam_00007606	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	4589			RMX39463.1
A0A2B4S2S1	A0A2B4S2S1_STYPI	unreviewed	AWC38_SpisGene12106	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	602			PFX23343.1
A0A3M6TDI7	A0A3M6TDI7_POCDA	unreviewed	pdam_00007599	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	350			RMX39452.1
A0A3M6TDK1	A0A3M6TDK1_POCDA	unreviewed	pdam_00007598	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1628			RMX39453.1
A0A2B4S4H0	A0A2B4S4H0_STYPI	unreviewed	AWC38_SpisGene12111	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	149			PFX23355.1
A0A2B4RAG9	A0A2B4RAG9_STYPI	unreviewed	nphp3 AWC38_SpisGene22550	Stylophora pistillata (Smooth cauliflower coral)	Nephrocystin-3	1223	kinesin complex [GO:0005871]; microtubule [GO:0005874]	GO:0005871; GO:0005874	PFX13368.1
A0A3M6TV83	A0A3M6TV83_POCDA	unreviewed	pdam_00000837	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	827	ATP binding [GO:0005524]; ATPase activity [GO:0016887]	GO:0005524; GO:0016887	RMX45317.1
A0A3M6TVC1	A0A3M6TVC1_POCDA	unreviewed	pdam_00000843	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	272	damaged DNA binding [GO:0003684]; nucleotide-excision repair [GO:0006289]	GO:0003684; GO:0006289	RMX45385.1
A0A3M6TV21	A0A3M6TV21_POCDA	unreviewed	pdam_00000845	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	580	GTP binding [GO:0005525]; GTPase activity [GO:0003924]	GO:0003924; GO:0005525	RMX45253.1
A0A3M6TVK2	A0A3M6TVK2_POCDA	unreviewed	pdam_00000846	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	516			RMX45386.1
A0A3M6TVL3	A0A3M6TVL3_POCDA	unreviewed	pdam_00000848	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Ski_Sno domain-containing protein	976			RMX45381.1
A0A3M6TVG6	A0A3M6TVG6_POCDA	unreviewed	pdam_00000874	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Fanconi-associated nuclease (EC 3.1.4.1)	956	nucleus [GO:0005634]; metal ion binding [GO:0046872]; nucleic acid binding [GO:0003676]; phosphodiesterase I activity [GO:0004528]; interstrand cross-link repair [GO:0036297]	GO:0003676; GO:0004528; GO:0005634; GO:0036297; GO:0046872	RMX45403.1
A0A3M6TVE5	A0A3M6TVE5_POCDA	unreviewed	pdam_00000879	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	530	integral component of membrane [GO:0016021]; sodium channel activity [GO:0005272]	GO:0005272; GO:0016021	RMX45405.1
A0A2G2BKP2	A0A2G2BKP2_HALSX	unreviewed	COB32_11720	Halomonas sp.	Reverse transcriptase domain-containing protein	735			PHR00840.1
A0A3M6TNE6	A0A3M6TNE6_POCDA	unreviewed	pdam_00005132	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	691	integral component of membrane [GO:0016021]; protein tyrosine phosphatase activity [GO:0004725]	GO:0004725; GO:0016021	RMX42896.1
A0A3M6TNA1	A0A3M6TNA1_POCDA	unreviewed	pdam_00005133	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	TAFII28 domain-containing protein (Fragment)	220	nucleus [GO:0005634]; protein heterodimerization activity [GO:0046982]; transcription initiation from RNA polymerase II promoter [GO:0006367]	GO:0005634; GO:0006367; GO:0046982	RMX42895.1
A0A2B4SRG6	A0A2B4SRG6_STYPI	unreviewed	AWC38_SpisGene4231	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	100			PFX30995.1
A0A3M6TNF9	A0A3M6TNF9_POCDA	unreviewed	pdam_00005161	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	136	integral component of membrane [GO:0016021]	GO:0016021	RMX42879.1
A0A3M6TN82	A0A3M6TN82_POCDA	unreviewed	pdam_00005167	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	261	integral component of membrane [GO:0016021]	GO:0016021	RMX42883.1
A0A3M6TNS3	A0A3M6TNS3_POCDA	unreviewed	pdam_00005169	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	305	integral component of membrane [GO:0016021]	GO:0016021	RMX42884.1
A0A2B4RS94	A0A2B4RS94_STYPI	unreviewed	AWC38_SpisGene16475	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	690	integral component of membrane [GO:0016021]	GO:0016021	PFX19125.1
A0A3M6TNT1	A0A3M6TNT1_POCDA	unreviewed	pdam_00005180	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	305			RMX42894.1
A0A2B4RL33	A0A2B4RL33_STYPI	unreviewed	AWC38_SpisGene16472	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	982	integral component of membrane [GO:0016021]	GO:0016021	PFX19124.1
A0A3M6TYB2	A0A3M6TYB2_POCDA	unreviewed	pdam_00000505	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	344	nucleus [GO:0005634]; RNA binding [GO:0003723]	GO:0003723; GO:0005634	RMX46356.1
A0A3M6TYH7	A0A3M6TYH7_POCDA	unreviewed	pdam_00000503	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	307			RMX46354.1
A0A2B4S421	A0A2B4S421_STYPI	unreviewed	N AWC38_SpisGene12221	Stylophora pistillata (Smooth cauliflower coral)	Neurogenic locus Notch protein	968	calcium ion binding [GO:0005509]	GO:0005509	PFX23215.1
A0A3M6T7S7	A0A3M6T7S7_POCDA	unreviewed	pdam_00013827	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1296	integral component of membrane [GO:0016021]; calcium ion binding [GO:0005509]; transferase activity, transferring phosphorus-containing groups [GO:0016772]	GO:0005509; GO:0016021; GO:0016772	RMX37401.1
A0A2B4SWF7	A0A2B4SWF7_STYPI	unreviewed	Kcna1 AWC38_SpisGene2385	Stylophora pistillata (Smooth cauliflower coral)	Potassium voltage-gated channel subfamily A member 1	641	voltage-gated potassium channel complex [GO:0008076]; voltage-gated potassium channel activity [GO:0005249]; protein homooligomerization [GO:0051260]; regulation of ion transmembrane transport [GO:0034765]	GO:0005249; GO:0008076; GO:0034765; GO:0051260	PFX32745.1
A0A3M6T7U4	A0A3M6T7U4_POCDA	unreviewed	pdam_00013825	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	398	integral component of membrane [GO:0016021]	GO:0016021	RMX37403.1
A0A3M6T7W2	A0A3M6T7W2_POCDA	unreviewed	pdam_00013819	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1459	ATP binding [GO:0005524]; ATP-dependent microtubule motor activity [GO:1990939]; lipid binding [GO:0008289]; microtubule binding [GO:0008017]; microtubule-based movement [GO:0007018]	GO:0005524; GO:0007018; GO:0008017; GO:0008289; GO:1990939	RMX37389.1
A0A3M6T7N1	A0A3M6T7N1_POCDA	unreviewed	pdam_00013818	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	2510	3'-5' DNA helicase activity [GO:0043138]; ATP binding [GO:0005524]; DNA binding [GO:0003677]; nuclease activity [GO:0004518]; DNA repair [GO:0006281]	GO:0003677; GO:0004518; GO:0005524; GO:0006281; GO:0043138	RMX37390.1
A0A2B4SWD9	A0A2B4SWD9_STYPI	unreviewed	Rdh12 AWC38_SpisGene2375	Stylophora pistillata (Smooth cauliflower coral)	Retinol dehydrogenase 12	846	oxidoreductase activity [GO:0016491]	GO:0016491	PFX32757.1
A0A3M6UY14	A0A3M6UY14_POCDA	unreviewed	pdam_00006407	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	562			RMX58571.1
A0A3M6UXT7	A0A3M6UXT7_POCDA	unreviewed	pdam_00024875	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	SSD domain-containing protein (Fragment)	1272	integral component of membrane [GO:0016021]; lipid transporter activity [GO:0005319]	GO:0005319; GO:0016021	RMX58417.1
A0A2B4ST51	A0A2B4ST51_STYPI	unreviewed	AWC38_SpisGene3592	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	535	extracellular matrix structural constituent [GO:0005201]	GO:0005201	PFX31575.1
A0A2B4SQ69	A0A2B4SQ69_STYPI	unreviewed	TSTA3 AWC38_SpisGene3582	Stylophora pistillata (Smooth cauliflower coral)	GDP-4-keto-6-deoxy-D-mannose-3,5-epimerase-4-reductase (EC 1.1.1.271)	1153	GDP-L-fucose synthase activity [GO:0050577]; 'de novo' GDP-L-fucose biosynthetic process [GO:0042351]	GO:0042351; GO:0050577	PFX31516.1
A0A3M6TIG5	A0A3M6TIG5_POCDA	unreviewed	pdam_00003307	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	735	ATP binding [GO:0005524]; creatine kinase activity [GO:0004111]; phosphocreatine biosynthetic process [GO:0046314]	GO:0004111; GO:0005524; GO:0046314	RMX41068.1
A0A3M6TIC8	A0A3M6TIC8_POCDA	unreviewed	pdam_00003304	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	RING-type E3 ubiquitin transferase RAD18 (EC 2.3.2.27)	626	nucleus [GO:0005634]; metal ion binding [GO:0046872]; single-stranded DNA binding [GO:0003697]; ubiquitin protein ligase activity [GO:0061630]; postreplication repair [GO:0006301]; protein monoubiquitination [GO:0006513]	GO:0003697; GO:0005634; GO:0006301; GO:0006513; GO:0046872; GO:0061630	RMX41069.1
A0A3M6TI34	A0A3M6TI34_POCDA	unreviewed	pdam_00003303	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	RanBP2-type domain-containing protein (Fragment)	200	nucleus [GO:0005634]; metal ion binding [GO:0046872]; positive regulation of transcription, DNA-templated [GO:0045893]	GO:0005634; GO:0045893; GO:0046872	RMX41072.1
A0A3M6TIB3	A0A3M6TIB3_POCDA	unreviewed	pdam_00003302	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	2365	integral component of membrane [GO:0016021]; calcium ion binding [GO:0005509]	GO:0005509; GO:0016021	RMX41071.1
A0A3M6TIK3	A0A3M6TIK3_POCDA	unreviewed	pdam_00003301	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	69	cytoskeleton [GO:0005856]; SCAR complex [GO:0031209]; protein-containing complex binding [GO:0044877]; actin filament organization [GO:0007015]	GO:0005856; GO:0007015; GO:0031209; GO:0044877	RMX41074.1
A0A3M6TI46	A0A3M6TI46_POCDA	unreviewed	pdam_00003296	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	ETS domain-containing protein	293	nucleus [GO:0005634]; DNA-binding transcription factor activity [GO:0003700]; sequence-specific DNA binding [GO:0043565]	GO:0003700; GO:0005634; GO:0043565	RMX41103.1
A0A3M6TIF6	A0A3M6TIF6_POCDA	unreviewed	pdam_00003292	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	518	integral component of membrane [GO:0016021]; heme binding [GO:0020037]; iron ion binding [GO:0005506]; monooxygenase activity [GO:0004497]; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen [GO:0016705]	GO:0004497; GO:0005506; GO:0016021; GO:0016705; GO:0020037	RMX41099.1
A0A3M6THZ8	A0A3M6THZ8_POCDA	unreviewed	pdam_00003289	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	183			RMX41047.1
A0A2B4S511	A0A2B4S511_STYPI	unreviewed	AWC38_SpisGene10898	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	85			PFX24476.1
A0A3M6UMN0	A0A3M6UMN0_POCDA	unreviewed	pdam_00014095	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	445			RMX54618.1
A0A3M6ULT6	A0A3M6ULT6_POCDA	unreviewed	pdam_00014096	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	G_PROTEIN_RECEP_F1_2 domain-containing protein	477	integral component of membrane [GO:0016021]; G protein-coupled receptor activity [GO:0004930]	GO:0004930; GO:0016021	RMX54615.1
