Entry	Entry name	Status	Gene names	Organism	Protein names	Length	Gene ontology (GO)	Gene ontology IDs	yourlist:M202110206320BA52A5CE8FCD097CB85A53697A35244169G
A0A3M6V994	A0A3M6V994_POCDA	unreviewed	pdam_00013717	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Brix domain-containing protein	288	rRNA primary transcript binding [GO:0042134]; rRNA processing [GO:0006364]	GO:0006364; GO:0042134	RMX61544.1
A0A3M6TNL4	A0A3M6TNL4_POCDA	unreviewed	pdam_00001765	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1545	integral component of membrane [GO:0016021]	GO:0016021	RMX43013.1
A0A3M6TNP2	A0A3M6TNP2_POCDA	unreviewed	pdam_00001764	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	GpcrRhopsn4 domain-containing protein	439	integral component of membrane [GO:0016021]; G protein-coupled receptor signaling pathway [GO:0007186]; response to pheromone [GO:0019236]	GO:0007186; GO:0016021; GO:0019236	RMX43012.1
A0A3M6TNJ5	A0A3M6TNJ5_POCDA	unreviewed	pdam_00001759	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Tripeptidyl-peptidase 2 (EC 3.4.14.10)	1199	aminopeptidase activity [GO:0004177]; serine-type endopeptidase activity [GO:0004252]; tripeptidyl-peptidase activity [GO:0008240]	GO:0004177; GO:0004252; GO:0008240	RMX42967.1
A0A2B4RVU9	A0A2B4RVU9_STYPI	unreviewed	AWC38_SpisGene15091	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	591			PFX20457.1
A0A2B4RAG9	A0A2B4RAG9_STYPI	unreviewed	nphp3 AWC38_SpisGene22550	Stylophora pistillata (Smooth cauliflower coral)	Nephrocystin-3	1223	kinesin complex [GO:0005871]; microtubule [GO:0005874]	GO:0005871; GO:0005874	PFX13368.1
A0A3M6TYY5	A0A3M6TYY5_POCDA	unreviewed	pdam_00012399	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Purple acid phosphatase (EC 3.1.3.2)	1148	acid phosphatase activity [GO:0003993]; metal ion binding [GO:0046872]	GO:0003993; GO:0046872	RMX46655.1
A0A3M6UGH8	A0A3M6UGH8_POCDA	unreviewed	pdam_00013789	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	528	integral component of membrane [GO:0016021]; transmembrane transporter activity [GO:0022857]	GO:0016021; GO:0022857	RMX52488.1
A0A3M6UFS0	A0A3M6UFS0_POCDA	unreviewed	pdam_00013784	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	zf-CCCH_3 domain-containing protein (Fragment)	1003			RMX52492.1
A0A3M6UGG1	A0A3M6UGG1_POCDA	unreviewed	pdam_00013783	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	M20_dimer domain-containing protein	497	metal ion binding [GO:0046872]; metallodipeptidase activity [GO:0070573]	GO:0046872; GO:0070573	RMX52468.1
A0A2B4RC28	A0A2B4RC28_STYPI	unreviewed	AWC38_SpisGene20592	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	570			PFX15201.1
A0A2B4R9N4	A0A2B4R9N4_STYPI	unreviewed	ft AWC38_SpisGene22730	Stylophora pistillata (Smooth cauliflower coral)	Cadherin-related tumor suppressor	346			PFX13210.1
A0A3M6UYG1	A0A3M6UYG1_POCDA	unreviewed	pdam_00020113	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	871	calcium ion binding [GO:0005509]	GO:0005509	RMX58564.1
A0A3M6USW1	A0A3M6USW1_POCDA	unreviewed	pdam_00018053	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	G_PROTEIN_RECEP_F3_4 domain-containing protein	1591	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; G protein-coupled receptor activity [GO:0004930]	GO:0004930; GO:0005886; GO:0016021	RMX56783.1
A0A3M6UC50	A0A3M6UC50_POCDA	unreviewed	pdam_00022281	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	F5/8 type C domain-containing protein	1342			RMX51253.1
A0A2B4RF47	A0A2B4RF47_STYPI	unreviewed	AWC38_SpisGene20919	Stylophora pistillata (Smooth cauliflower coral)	G-protein coupled receptor GRL101	581	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; G protein-coupled receptor activity [GO:0004930]	GO:0004930; GO:0005886; GO:0016021	PFX14892.1
A0A3M6UQP5	A0A3M6UQP5_POCDA	unreviewed	pdam_00021722	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Protein kinase domain-containing protein	1385	ATP binding [GO:0005524]; protein kinase activity [GO:0004672]	GO:0004672; GO:0005524	RMX55972.1
A0A3M6UQY7	A0A3M6UQY7_POCDA	unreviewed	pdam_00021724	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	569	ATP binding [GO:0005524]	GO:0005524	RMX55977.1
A0A3M6UTZ1	A0A3M6UTZ1_POCDA	unreviewed	pdam_00022591	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Protein kinase domain-containing protein	1119	ATP binding [GO:0005524]; protein kinase activity [GO:0004672]	GO:0004672; GO:0005524	RMX57163.1
A0A2B4S985	A0A2B4S985_STYPI	unreviewed	RCHY1 AWC38_SpisGene10223	Stylophora pistillata (Smooth cauliflower coral)	RING finger and CHY zinc finger domain-containing protein 1	1812	zinc ion binding [GO:0008270]; regulation of apoptotic process [GO:0042981]	GO:0008270; GO:0042981	PFX25157.1
A0A3M6UCA8	A0A3M6UCA8_POCDA	unreviewed	pdam_00004663	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	RanBP-type and C3HC4-type zinc finger-containing protein 1 (EC 2.3.2.31)	1629	LUBAC complex [GO:0071797]; ubiquitin-protein transferase activity [GO:0004842]; zinc ion binding [GO:0008270]	GO:0004842; GO:0008270; GO:0071797	RMX51292.1
A0A3M6UC84	A0A3M6UC84_POCDA	unreviewed	pdam_00004664	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1667			RMX51293.1
A0A2B4RFJ9	A0A2B4RFJ9_STYPI	unreviewed	F52C9.6 AWC38_SpisGene20759	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized transposon-derived protein F52C9.6	544			PFX15042.1
A0A3M6UW52	A0A3M6UW52_POCDA	unreviewed	pdam_00018566	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Tr-type G domain-containing protein (Fragment)	568	GTP binding [GO:0005525]; GTPase activity [GO:0003924]	GO:0003924; GO:0005525	RMX57837.1
A0A3M6UVX4	A0A3M6UVX4_POCDA	unreviewed	pdam_00018570	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	DAO domain-containing protein	394	oxidoreductase activity [GO:0016491]	GO:0016491	RMX57846.1
A0A3M6T6U1	A0A3M6T6U1_POCDA	unreviewed	pdam_00005067	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	ELMO domain-containing protein	373	GTPase activator activity [GO:0005096]; positive regulation of GTPase activity [GO:0043547]	GO:0005096; GO:0043547	RMX37028.1
A0A2B4S3A5	A0A2B4S3A5_STYPI	unreviewed	FCN1 AWC38_SpisGene12489	Stylophora pistillata (Smooth cauliflower coral)	Ficolin-1	1513			PFX22965.1
A0A3M6UH24	A0A3M6UH24_POCDA	unreviewed	pdam_00020212	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	641			RMX52951.1
A0A2B4R6G7	A0A2B4R6G7_STYPI	unreviewed	ERN1 AWC38_SpisGene23235	Stylophora pistillata (Smooth cauliflower coral)	Serine/threonine-protein kinase/endoribonuclease IRE1	2637	integral component of membrane [GO:0016021]; ATP binding [GO:0005524]; protein kinase activity [GO:0004672]; ribonuclease activity [GO:0004540]; mRNA processing [GO:0006397]	GO:0004540; GO:0004672; GO:0005524; GO:0006397; GO:0016021	PFX12756.1
A0A3M6TVR8	A0A3M6TVR8_POCDA	unreviewed	pdam_00008426	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Kazal-like domain-containing protein	700	extracellular region [GO:0005576]; integral component of membrane [GO:0016021]; calcium ion binding [GO:0005509]; heme binding [GO:0020037]; iron ion binding [GO:0005506]; monooxygenase activity [GO:0004497]; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen [GO:0016705]	GO:0004497; GO:0005506; GO:0005509; GO:0005576; GO:0016021; GO:0016705; GO:0020037	RMX45515.1
A0A3M6U5N6	A0A3M6U5N6_POCDA	unreviewed	pdam_00008348	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	686	nucleus [GO:0005634]; DNA binding [GO:0003677]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]	GO:0000981; GO:0003677; GO:0005634	RMX48906.1
A0A3M6ULN5	A0A3M6ULN5_POCDA	unreviewed	pdam_00004620	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	188			RMX54577.1
A0A3M6UMC6	A0A3M6UMC6_POCDA	unreviewed	pdam_00004615	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	711	integral component of membrane [GO:0016021]	GO:0016021	RMX54508.1
A0A3M6U1L1	A0A3M6U1L1_POCDA	unreviewed	pdam_00002178	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	582	integral component of membrane [GO:0016021]; sodium channel activity [GO:0005272]	GO:0005272; GO:0016021	RMX47511.1
A0A3M6U1G0	A0A3M6U1G0_POCDA	unreviewed	pdam_00002176	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	305			RMX47513.1
A0A3M6U9P8	A0A3M6U9P8_POCDA	unreviewed	pdam_00022730	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Glycos_transf_1 domain-containing protein	1006	integral component of membrane [GO:0016021]; transferase activity, transferring glycosyl groups [GO:0016757]	GO:0016021; GO:0016757	RMX50377.1
A0A3M6UVM5	A0A3M6UVM5_POCDA	unreviewed	pdam_00004946	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1747	helicase activity [GO:0004386]	GO:0004386	RMX57722.1
A0A3M6U958	A0A3M6U958_POCDA	unreviewed	pdam_00002872	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	268			RMX50079.1
A0A3M6UPA5	A0A3M6UPA5_POCDA	unreviewed	pdam_00019376	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	458			RMX55455.1
A0A2B4R3S4	A0A2B4R3S4_STYPI	unreviewed	AWC38_SpisGene25530	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein (Fragment)	242			PFX11047.1
A0A3M6T8G7	A0A3M6T8G7_POCDA	unreviewed	pdam_00004270	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	MFS domain-containing protein	433	integral component of membrane [GO:0016021]; transmembrane transporter activity [GO:0022857]	GO:0016021; GO:0022857	RMX37672.1
A0A3M6T8Q3	A0A3M6T8Q3_POCDA	unreviewed	pdam_00004271	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	971	integral component of membrane [GO:0016021]; transmembrane transporter activity [GO:0022857]	GO:0016021; GO:0022857	RMX37709.1
A0A3M6T8T4	A0A3M6T8T4_POCDA	unreviewed	pdam_00004272	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	MFS domain-containing protein (Fragment)	1281	integral component of membrane [GO:0016021]; transmembrane transporter activity [GO:0022857]	GO:0016021; GO:0022857	RMX37708.1
A0A3M6T8K0	A0A3M6T8K0_POCDA	unreviewed	pdam_00004274	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	138			RMX37712.1
A0A3M6T8K3	A0A3M6T8K3_POCDA	unreviewed	pdam_00004294	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	606	protein dimerization activity [GO:0046983]	GO:0046983	RMX37659.1
A0A2B4RXR3	A0A2B4RXR3_STYPI	unreviewed	POGK AWC38_SpisGene13079 AWC38_SpisGene15430 AWC38_SpisGene16979 AWC38_SpisGene18190 AWC38_SpisGene19288 AWC38_SpisGene22382 AWC38_SpisGene2255 AWC38_SpisGene2283 AWC38_SpisGene8669	Stylophora pistillata (Smooth cauliflower coral)	Pogo transposable element with KRAB domain	416	DNA binding [GO:0003677]; transposase activity [GO:0004803]; transposition, DNA-mediated [GO:0006313]	GO:0003677; GO:0004803; GO:0006313	PFX13527.1
A0A2B4SEU8	A0A2B4SEU8_STYPI	unreviewed	TY3B-G AWC38_SpisGene8243	Stylophora pistillata (Smooth cauliflower coral)	Transposon Ty3-G Gag-Pol polyprotein	2053	nucleic acid binding [GO:0003676]; DNA integration [GO:0015074]	GO:0003676; GO:0015074	PFX27087.1
A0A3M6TAZ7	A0A3M6TAZ7_POCDA	unreviewed	pdam_00010253	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	VWFA domain-containing protein	269			RMX38567.1
A0A3M6TB42	A0A3M6TB42_POCDA	unreviewed	pdam_00010255	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	G_PROTEIN_RECEP_F3_4 domain-containing protein	717	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; G protein-coupled GABA receptor activity [GO:0004965]	GO:0004965; GO:0005886; GO:0016021	RMX38561.1
A0A2B4T1A0	A0A2B4T1A0_STYPI	unreviewed	AWC38_SpisGene58	Stylophora pistillata (Smooth cauliflower coral)	C2H2-type domain-containing protein	771			PFX34920.1
A0A2B4S664	A0A2B4S664_STYPI	unreviewed	AWC38_SpisGene9968	Stylophora pistillata (Smooth cauliflower coral)	C2H2-type domain-containing protein	513			PFX25391.1
A0A2B4STA4	A0A2B4STA4_STYPI	unreviewed	POGK AWC38_SpisGene3406	Stylophora pistillata (Smooth cauliflower coral)	Pogo transposable element with KRAB domain	245	nucleic acid binding [GO:0003676]	GO:0003676	PFX31792.1
A0A3M6TZ78	A0A3M6TZ78_POCDA	unreviewed	pdam_00023914	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1542			RMX46687.1
A0A3M6U016	A0A3M6U016_POCDA	unreviewed	pdam_00009588	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	TPR_REGION domain-containing protein	600			RMX47013.1
A0A3M6URK6	A0A3M6URK6_POCDA	unreviewed	pdam_00021641	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	231	integral component of membrane [GO:0016021]	GO:0016021	RMX56306.1
A0A3M6TZR6	A0A3M6TZR6_POCDA	unreviewed	pdam_00020745	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Protein-tyrosine-phosphatase (EC 3.1.3.48)	2334	integral component of membrane [GO:0016021]; protein tyrosine phosphatase activity [GO:0004725]	GO:0004725; GO:0016021	RMX46882.1
A0A3M6TH55	A0A3M6TH55_POCDA	unreviewed	pdam_00015955	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	810			RMX40725.1
A0A3M6TH51	A0A3M6TH51_POCDA	unreviewed	pdam_00015957	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	2425	integral component of membrane [GO:0016021]; calcium ion binding [GO:0005509]	GO:0005509; GO:0016021	RMX40727.1
A0A3M6THA3	A0A3M6THA3_POCDA	unreviewed	pdam_00015958	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Anaphase-promoting complex subunit 1	1740	anaphase-promoting complex [GO:0005680]; cell cycle [GO:0007049]; cell division [GO:0051301]	GO:0005680; GO:0007049; GO:0051301	RMX40718.1
A0A3M6THF0	A0A3M6THF0_POCDA	unreviewed	pdam_00015959	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	DNA polymerase epsilon subunit (DNA polymerase II subunit 2)	560	epsilon DNA polymerase complex [GO:0008622]; DNA binding [GO:0003677]; DNA-dependent DNA replication [GO:0006261]	GO:0003677; GO:0006261; GO:0008622	RMX40719.1
A0A3M6TH67	A0A3M6TH67_POCDA	unreviewed	pdam_00015966	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	388	integral component of membrane [GO:0016021]	GO:0016021	RMX40735.1
A0A3M6TEN9	A0A3M6TEN9_POCDA	unreviewed	pdam_00008070	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	S4 RNA-binding domain-containing protein	178	RNA binding [GO:0003723]	GO:0003723	RMX39674.1
A0A2B4S0E1	A0A2B4S0E1_STYPI	unreviewed	Heg1 AWC38_SpisGene11260	Stylophora pistillata (Smooth cauliflower coral)	Protein HEG-like 1	400	calcium ion binding [GO:0005509]	GO:0005509	PFX24164.1
A0A3M6T9T7	A0A3M6T9T7_POCDA	unreviewed	pdam_00003113	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1163	calcium ion binding [GO:0005509]	GO:0005509	RMX38068.1
A0A2B4SWP4	A0A2B4SWP4_STYPI	unreviewed	AWC38_SpisGene2240	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	240			PFX32948.1
A0A3M6ULA7	A0A3M6ULA7_POCDA	unreviewed	pdam_00018410	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	265			RMX54359.1
A0A3M6UWQ6	A0A3M6UWQ6_POCDA	unreviewed	pdam_00000164	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Homeobox domain-containing protein	411	nucleus [GO:0005634]; DNA binding [GO:0003677]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]	GO:0000981; GO:0003677; GO:0005634	RMX58136.1
A0A3M6UX78	A0A3M6UX78_POCDA	unreviewed	pdam_00000153	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1371	integral component of membrane [GO:0016021]	GO:0016021	RMX58217.1
A0A3M6UXA0	A0A3M6UXA0_POCDA	unreviewed	pdam_00000151	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	583			RMX58219.1
A0A3M6UXD0	A0A3M6UXD0_POCDA	unreviewed	pdam_00000149	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Oxidored_q6 domain-containing protein	211	4 iron, 4 sulfur cluster binding [GO:0051539]; metal ion binding [GO:0046872]; NADH dehydrogenase (ubiquinone) activity [GO:0008137]; quinone binding [GO:0048038]	GO:0008137; GO:0046872; GO:0048038; GO:0051539	RMX58311.1
A0A2B4SDS8	A0A2B4SDS8_STYPI	unreviewed	AWC38_SpisGene8021	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	275			PFX27259.1
A0A3M6UXR4	A0A3M6UXR4_POCDA	unreviewed	pdam_00000140	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	ZP domain-containing protein	1236	integral component of membrane [GO:0016021]; calcium ion binding [GO:0005509]	GO:0005509; GO:0016021	RMX58314.1
A0A2B4RX90	A0A2B4RX90_STYPI	unreviewed	AWC38_SpisGene13730	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	642			PFX21776.1
A0A3M6UC22	A0A3M6UC22_POCDA	unreviewed	pdam_00024380	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	310	integral component of membrane [GO:0016021]	GO:0016021	RMX51074.1
A0A3M6T4U7	A0A3M6T4U7_POCDA	unreviewed	pdam_00005188	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1436	integral component of membrane [GO:0016021]; G protein-coupled receptor activity [GO:0004930]; cell surface receptor signaling pathway [GO:0007166]	GO:0004930; GO:0007166; GO:0016021	RMX35978.1
A0A3M6UZ62	A0A3M6UZ62_POCDA	unreviewed	pdam_00016335	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Receptor protein-tyrosine kinase (EC 2.7.10.1)	865	integral component of membrane [GO:0016021]; ATP binding [GO:0005524]; transmembrane receptor protein tyrosine kinase activity [GO:0004714]	GO:0004714; GO:0005524; GO:0016021	RMX58907.1
A0A3M6UCI5	A0A3M6UCI5_POCDA	unreviewed	pdam_00004040	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	G_PROTEIN_RECEP_F1_2 domain-containing protein	343	integral component of membrane [GO:0016021]; G protein-coupled receptor activity [GO:0004930]	GO:0004930; GO:0016021	RMX51234.1
A0A3M6V132	A0A3M6V132_POCDA	unreviewed	pdam_00010495	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Ion_trans_2 domain-containing protein	743	integral component of membrane [GO:0016021]	GO:0016021	RMX59666.1
A0A2B4RH41	A0A2B4RH41_STYPI	unreviewed	med1 AWC38_SpisGene20195	Stylophora pistillata (Smooth cauliflower coral)	Mediator of RNA polymerase II transcription subunit 1 (Mediator complex subunit 1)	1099	mediator complex [GO:0016592]; transcription coregulator activity [GO:0003712]; regulation of transcription by RNA polymerase II [GO:0006357]	GO:0003712; GO:0006357; GO:0016592	PFX15585.1
A0A2B4RNL8	A0A2B4RNL8_STYPI	unreviewed	ADK1 AWC38_SpisGene17726	Stylophora pistillata (Smooth cauliflower coral)	Adenosine kinase (EC 2.7.1.20)	589	adenosine kinase activity [GO:0004001]; AMP salvage [GO:0044209]; purine ribonucleoside salvage [GO:0006166]	GO:0004001; GO:0006166; GO:0044209	PFX17928.1
A0A3M6TUF4	A0A3M6TUF4_POCDA	unreviewed	pdam_00011507	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	VWFA domain-containing protein	272			RMX45057.1
A0A3M6TUF6	A0A3M6TUF6_POCDA	unreviewed	pdam_00011498	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1130	integral component of membrane [GO:0016021]; calcium channel activity [GO:0005262]	GO:0005262; GO:0016021	RMX45042.1
A0A3M6TUH3	A0A3M6TUH3_POCDA	unreviewed	pdam_00011491	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	203			RMX45043.1
A0A3M6TUP9	A0A3M6TUP9_POCDA	unreviewed	pdam_00011488	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	370	integral component of membrane [GO:0016021]	GO:0016021	RMX45018.1
A0A3M6TUD6	A0A3M6TUD6_POCDA	unreviewed	pdam_00011480	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	627			RMX45022.1
A0A3M6TUS3	A0A3M6TUS3_POCDA	unreviewed	pdam_00011479	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1380			RMX45028.1
A0A3M6TUQ3	A0A3M6TUQ3_POCDA	unreviewed	pdam_00011478	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	6206			RMX45029.1
A0A3M6TUE2	A0A3M6TUE2_POCDA	unreviewed	pdam_00011471	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	318			RMX45032.1
A0A3M6V1I4	A0A3M6V1I4_POCDA	unreviewed	pdam_00007303	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Importin subunit alpha	579	cytoplasm [GO:0005737]; nuclear import signal receptor activity [GO:0061608]; protein import into nucleus [GO:0006606]	GO:0005737; GO:0006606; GO:0061608	RMX59785.1
A0A3M6V1N7	A0A3M6V1N7_POCDA	unreviewed	pdam_00007318	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	530			RMX59812.1
A0A2B4RYZ7	A0A2B4RYZ7_STYPI	unreviewed	AWC38_SpisGene13962	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	764			PFX21548.1
A0A3M6UT76	A0A3M6UT76_POCDA	unreviewed	pdam_00007234	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1264	integral component of membrane [GO:0016021]; G protein-coupled receptor activity [GO:0004930]	GO:0004930; GO:0016021	RMX56528.1
A0A3M6TKL9	A0A3M6TKL9_POCDA	unreviewed	pdam_00012500	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	479			RMX41838.1
A0A3M6T4B0	A0A3M6T4B0_POCDA	unreviewed	pdam_00003844	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	141			RMX35488.1
A0A2B4REG1	A0A2B4REG1_STYPI	unreviewed	AWC38_SpisGene21147	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	430	ubiquitin-protein transferase activity [GO:0004842]	GO:0004842	PFX14675.1
A0A3M6TCD8	A0A3M6TCD8_POCDA	unreviewed	pdam_00021489	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Bromo domain-containing protein	699			RMX39030.1
A0A3M6TC82	A0A3M6TC82_POCDA	unreviewed	pdam_00021491	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Fe2OG dioxygenase domain-containing protein	413	dioxygenase activity [GO:0051213]; iron ion binding [GO:0005506]; L-ascorbic acid binding [GO:0031418]; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen [GO:0016705]	GO:0005506; GO:0016705; GO:0031418; GO:0051213	RMX39027.1
A0A3M6T700	A0A3M6T700_POCDA	unreviewed	pdam_00020053	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	G_PROTEIN_RECEP_F1_2 domain-containing protein	346	integral component of membrane [GO:0016021]; G protein-coupled receptor activity [GO:0004930]	GO:0004930; GO:0016021	RMX37089.1
A0A2B4SVK1	A0A2B4SVK1_STYPI	unreviewed	CNOT10 AWC38_SpisGene1973	Stylophora pistillata (Smooth cauliflower coral)	CCR4-NOT transcription complex subunit 10	871	CCR4-NOT complex [GO:0030014]; cytoplasm [GO:0005737]; nucleus [GO:0005634]; gene silencing by RNA [GO:0031047]; regulation of translation [GO:0006417]	GO:0005634; GO:0005737; GO:0006417; GO:0030014; GO:0031047	PFX33113.1
A0A3M6U6U0	A0A3M6U6U0_POCDA	unreviewed	pdam_00022306	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	1074	catalytic activity [GO:0003824]; nucleoside metabolic process [GO:0009116]	GO:0003824; GO:0009116	RMX49403.1
A0A3M6U379	A0A3M6U379_POCDA	unreviewed	pdam_00002605	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	DUF4704 domain-containing protein	1542			RMX48112.1
A0A3M6U3J3	A0A3M6U3J3_POCDA	unreviewed	pdam_00002607	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	TPR_REGION domain-containing protein	707			RMX48114.1
A0A3M6U397	A0A3M6U397_POCDA	unreviewed	pdam_00002612	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Endo/exonuclease/phosphatase domain-containing protein	324			RMX48039.1
A0A2B4RAN1	A0A2B4RAN1_STYPI	unreviewed	LENG1 AWC38_SpisGene22485	Stylophora pistillata (Smooth cauliflower coral)	Leukocyte receptor cluster member 1	643			PFX13427.1
A0A2B4RZR8	A0A2B4RZR8_STYPI	unreviewed	SMIM13 AWC38_SpisGene13678	Stylophora pistillata (Smooth cauliflower coral)	Small integral membrane protein 13	80	integral component of membrane [GO:0016021]	GO:0016021	PFX21827.1
A0A3M6TMJ9	A0A3M6TMJ9_POCDA	unreviewed	pdam_00016723	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	zf-4CXXC_R1 domain-containing protein	724	integral component of membrane [GO:0016021]; nucleus [GO:0005634]	GO:0005634; GO:0016021	RMX42541.1
