Entry	Entry name	Status	Gene names	Organism	Protein names	Length	Gene ontology (GO)	Gene ontology IDs	yourlist:M2021102092C7BAECDB1C5C413EE0E0348724B6822441B97
A0A2B4S475	A0A2B4S475_STYPI	unreviewed	CYP17A1 AWC38_SpisGene12140	Stylophora pistillata (Smooth cauliflower coral)	Ubiquitin carboxyl-terminal hydrolase MINDY (EC 3.4.19.12)	1151	heme binding [GO:0020037]; iron ion binding [GO:0005506]; lyase activity [GO:0016829]; Lys48-specific deubiquitinase activity [GO:1990380]; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen [GO:0016705]; thiol-dependent deubiquitinase [GO:0004843]	GO:0004843; GO:0005506; GO:0016705; GO:0016829; GO:0020037; GO:1990380	PFX23322.1
A0A2B4S3V6	A0A2B4S3V6_STYPI	unreviewed	Trim3 AWC38_SpisGene10825	Stylophora pistillata (Smooth cauliflower coral)	Tripartite motif-containing protein 3	1071			PFX24581.1
A0A2B4RZK1	A0A2B4RZK1_STYPI	unreviewed	trim71 AWC38_SpisGene11532	Stylophora pistillata (Smooth cauliflower coral)	E3 ubiquitin-protein ligase TRIM71	901	cytoplasm [GO:0005737]; zinc ion binding [GO:0008270]	GO:0005737; GO:0008270	PFX23884.1
A0A2B4S5X5	A0A2B4S5X5_STYPI	unreviewed	AKAP1 AWC38_SpisGene11535	Stylophora pistillata (Smooth cauliflower coral)	A-kinase anchor protein 1, mitochondrial	1197	integral component of membrane [GO:0016021]; kinase activity [GO:0016301]; RNA binding [GO:0003723]	GO:0003723; GO:0016021; GO:0016301	PFX23885.1
A0A3M6TIC3	A0A3M6TIC3_POCDA	unreviewed	pdam_00013997	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	185			RMX41162.1
A0A3M6TIC7	A0A3M6TIC7_POCDA	unreviewed	pdam_00013981	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	381			RMX41155.1
A0A3M6U9R6	A0A3M6U9R6_POCDA	unreviewed	pdam_00010448	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	348			RMX50422.1
A0A3M6U1L5	A0A3M6U1L5_POCDA	unreviewed	pdam_00025753	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	THAP-type domain-containing protein (Fragment)	259	nucleoplasm [GO:0005654]; metal ion binding [GO:0046872]; sequence-specific DNA binding [GO:0043565]; cell cycle [GO:0007049]	GO:0005654; GO:0007049; GO:0043565; GO:0046872	RMX47573.1
A0A3M6UPA5	A0A3M6UPA5_POCDA	unreviewed	pdam_00019376	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	458			RMX55455.1
A0A3M6UY54	A0A3M6UY54_POCDA	unreviewed	pdam_00010768	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	6976	extracellular region [GO:0005576]; nematocyst [GO:0042151]; toxin activity [GO:0090729]	GO:0005576; GO:0042151; GO:0090729	RMX58519.1
A0A3M6UXV7	A0A3M6UXV7_POCDA	unreviewed	pdam_00010764	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	1945	extracellular region [GO:0005576]; nematocyst [GO:0042151]; toxin activity [GO:0090729]	GO:0005576; GO:0042151; GO:0090729	RMX58511.1
A0A3M6UR75	A0A3M6UR75_POCDA	unreviewed	pdam_00020401	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1925	nucleus [GO:0005634]; DNA binding [GO:0003677]; transferase activity [GO:0016740]; zinc ion binding [GO:0008270]	GO:0003677; GO:0005634; GO:0008270; GO:0016740	RMX56067.1
A0A3M6UQZ6	A0A3M6UQZ6_POCDA	unreviewed	pdam_00020394	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1382	heterochromatin [GO:0000792]; DNA binding [GO:0003677]; rDNA heterochromatin assembly [GO:0000183]	GO:0000183; GO:0000792; GO:0003677	RMX56061.1
A0A3M6UQR9	A0A3M6UQR9_POCDA	unreviewed	pdam_00020392	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Mab-21 domain-containing protein	1030	Set1C/COMPASS complex [GO:0048188]	GO:0048188	RMX56063.1
A0A2B4RPK4	A0A2B4RPK4_STYPI	unreviewed	AWC38_SpisGene16498	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	1061			PFX19116.1
A0A2B4SHW9	A0A2B4SHW9_STYPI	unreviewed	Selo AWC38_SpisGene6620	Stylophora pistillata (Smooth cauliflower coral)	Selenoprotein O	927	large ribosomal subunit [GO:0015934]; ATP binding [GO:0005524]; metal ion binding [GO:0046872]; nucleotidyltransferase activity [GO:0016779]; RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	GO:0003723; GO:0003735; GO:0005524; GO:0006412; GO:0015934; GO:0016779; GO:0046872	PFX28673.1
A0A2B4SK05	A0A2B4SK05_STYPI	unreviewed	TTC28 AWC38_SpisGene6513	Stylophora pistillata (Smooth cauliflower coral)	Tetratricopeptide repeat protein 28	1727			PFX28755.1
A0A2B4SDK2	A0A2B4SDK2_STYPI	unreviewed	cyb5r4 AWC38_SpisGene6512	Stylophora pistillata (Smooth cauliflower coral)	Cytochrome b5 reductase 4 (EC 1.6.2.2) (Flavohemoprotein b5/b5R) (cb5/cb5R)	1058	endoplasmic reticulum [GO:0005783]; integral component of membrane [GO:0016021]; cytochrome-b5 reductase activity, acting on NAD(P)H [GO:0004128]; heme binding [GO:0020037]; metal ion binding [GO:0046872]; transmembrane transporter activity [GO:0022857]	GO:0004128; GO:0005783; GO:0016021; GO:0020037; GO:0022857; GO:0046872	PFX28754.1
A0A2B4SH99	A0A2B4SH99_STYPI	unreviewed	UTRN AWC38_SpisGene6510	Stylophora pistillata (Smooth cauliflower coral)	Utrophin	4585			PFX28756.1
A0A3M6T5J2	A0A3M6T5J2_POCDA	unreviewed	pdam_00019225	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	894			RMX36553.1
A0A3M6T546	A0A3M6T546_POCDA	unreviewed	pdam_00019224	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	RBR-type E3 ubiquitin transferase (EC 2.3.2.31)	936	metal ion binding [GO:0046872]; ubiquitin-protein transferase activity [GO:0004842]	GO:0004842; GO:0046872	RMX36546.1
A0A3M6T583	A0A3M6T583_POCDA	unreviewed	pdam_00019222	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1260			RMX36547.1
A0A3M6TNI3	A0A3M6TNI3_POCDA	unreviewed	pdam_00001806	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1010	integral component of membrane [GO:0016021]; ligand-gated ion channel activity [GO:0015276]; potassium channel activity [GO:0005267]	GO:0005267; GO:0015276; GO:0016021	RMX42952.1
A0A3M6TNM3	A0A3M6TNM3_POCDA	unreviewed	pdam_00001810	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1672	integral component of membrane [GO:0016021]; symporter activity [GO:0015293]	GO:0015293; GO:0016021	RMX43023.1
A0A3M6TNU4	A0A3M6TNU4_POCDA	unreviewed	pdam_00001813	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	289	integral component of membrane [GO:0016021]; calcium channel activity [GO:0005262]; calcium ion import across plasma membrane [GO:0098703]	GO:0005262; GO:0016021; GO:0098703	RMX43026.1
A0A3M6TNT0	A0A3M6TNT0_POCDA	unreviewed	pdam_00001829	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	813	cytoplasm [GO:0005737]; integral component of membrane [GO:0016021]; nucleus [GO:0005634]; transferase activity, transferring hexosyl groups [GO:0016758]; gene silencing by RNA [GO:0031047]; meiotic cell cycle [GO:0051321]; multicellular organism development [GO:0007275]; protein glycosylation [GO:0006486]; regulation of gene silencing by miRNA [GO:0060964]	GO:0005634; GO:0005737; GO:0006486; GO:0007275; GO:0016021; GO:0016758; GO:0031047; GO:0051321; GO:0060964	RMX43042.1
A0A3M6U0N8	A0A3M6U0N8_POCDA	unreviewed	pdam_00025636	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	391			RMX47223.1
A0A3M6T9N1	A0A3M6T9N1_POCDA	unreviewed	pdam_00020147	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1172	cytoplasm [GO:0005737]; signal transduction [GO:0007165]	GO:0005737; GO:0007165	RMX38043.1
A0A3M6T9D9	A0A3M6T9D9_POCDA	unreviewed	pdam_00020151	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Major facilitator superfamily domain-containing protein 5 (Molybdate transporter 2 homolog) (Molybdate-anion transporter)	464	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; molybdate ion transmembrane transporter activity [GO:0015098]	GO:0005886; GO:0015098; GO:0016021	RMX38036.1
A0A3M6T9R0	A0A3M6T9R0_POCDA	unreviewed	pdam_00020153	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	F-box domain-containing protein (Fragment)	484			RMX38038.1
A0A3M6TVA8	A0A3M6TVA8_POCDA	unreviewed	pdam_00000830	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	SET domain-containing protein	337			RMX45320.1
A0A3M6TV72	A0A3M6TV72_POCDA	unreviewed	pdam_00000828	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	473			RMX45241.1
A0A3M6TV39	A0A3M6TV39_POCDA	unreviewed	pdam_00000821	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	371	kinetochore [GO:0000776]; calcium ion binding [GO:0005509]	GO:0000776; GO:0005509	RMX45250.1
A0A3M6TVE4	A0A3M6TVE4_POCDA	unreviewed	pdam_00000813	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	206			RMX45360.1
A0A3M6TVI7	A0A3M6TVI7_POCDA	unreviewed	pdam_00000812	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	313			RMX45361.1
A0A2B4SXI8	A0A2B4SXI8_STYPI	unreviewed	AWC38_SpisGene1309	Stylophora pistillata (Smooth cauliflower coral)	Putative transposase-like protein	398			PFX33813.1
A0A3M6UEH9	A0A3M6UEH9_POCDA	unreviewed	pdam_00003736	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	554			RMX51996.1
A0A2B4S707	A0A2B4S707_STYPI	unreviewed	AWC38_SpisGene11017	Stylophora pistillata (Smooth cauliflower coral)	DUF547 domain-containing protein	278			PFX24367.1
A0A3M6UAX4	A0A3M6UAX4_POCDA	unreviewed	pdam_00003178	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	560			RMX50810.1
A0A3M6UAY5	A0A3M6UAY5_POCDA	unreviewed	pdam_00003184	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1024	ATP binding [GO:0005524]; DNA binding [GO:0003677]; helicase activity [GO:0004386]; zinc ion binding [GO:0008270]	GO:0003677; GO:0004386; GO:0005524; GO:0008270	RMX50833.1
A0A3M6UB04	A0A3M6UB04_POCDA	unreviewed	pdam_00003186	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	U1 small nuclear ribonucleoprotein C (U1 snRNP C) (U1-C) (U1C)	146	commitment complex [GO:0000243]; U1 snRNP [GO:0005685]; U2-type prespliceosome [GO:0071004]; mRNA binding [GO:0003729]; U1 snRNA binding [GO:0030619]; zinc ion binding [GO:0008270]; mRNA 5'-splice site recognition [GO:0000395]; spliceosomal snRNP assembly [GO:0000387]	GO:0000243; GO:0000387; GO:0000395; GO:0003729; GO:0005685; GO:0008270; GO:0030619; GO:0071004	RMX50835.1
A0A3M6UAZ5	A0A3M6UAZ5_POCDA	unreviewed	pdam_00003212	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Phosphatidylinositol-3,4,5-trisphosphate 3-phosphatase (EC 3.1.3.67)	436	phosphatidylinositol-3,4,5-trisphosphate 3-phosphatase activity [GO:0016314]; protein tyrosine phosphatase activity [GO:0004725]	GO:0004725; GO:0016314	RMX50825.1
A0A3M6UAW6	A0A3M6UAW6_POCDA	unreviewed	pdam_00003219	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	WW domain-containing protein (Fragment)	373			RMX50822.1
A0A3M6UF12	A0A3M6UF12_POCDA	unreviewed	pdam_00007931	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Harbinger transposase-derived nuclease (Putative nuclease HARBI1)	320	cytoplasm [GO:0005737]; nucleus [GO:0005634]; hydrolase activity [GO:0016787]; metal ion binding [GO:0046872]	GO:0005634; GO:0005737; GO:0016787; GO:0046872	RMX52253.1
A0A3M6UUS2	A0A3M6UUS2_POCDA	unreviewed	pdam_00006988	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Myb_DNA-bind_5 domain-containing protein	182			RMX57436.1
A0A2B4RND3	A0A2B4RND3_STYPI	unreviewed	Rchy1 AWC38_SpisGene17625	Stylophora pistillata (Smooth cauliflower coral)	RING finger and CHY zinc finger domain-containing protein 1	2962	zinc ion binding [GO:0008270]; DNA integration [GO:0015074]	GO:0008270; GO:0015074	PFX18030.1
A0A3M6UH77	A0A3M6UH77_POCDA	unreviewed	pdam_00020365	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	508			RMX53030.1
A0A3M6UHI1	A0A3M6UHI1_POCDA	unreviewed	pdam_00020359	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	514			RMX53039.1
A0A3M6UA78	A0A3M6UA78_POCDA	unreviewed	pdam_00009253	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	TLDc domain-containing protein	623			RMX50501.1
A0A2B4R5S5	A0A2B4R5S5_STYPI	unreviewed	FBN1 AWC38_SpisGene23922	Stylophora pistillata (Smooth cauliflower coral)	Fibrillin-1	877	calcium ion binding [GO:0005509]	GO:0005509	PFX12163.1
A0A3M6TUI1	A0A3M6TUI1_POCDA	unreviewed	pdam_00017104	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	630	nucleus [GO:0005634]; ATP binding [GO:0005524]; DNA binding [GO:0003677]; DNA helicase activity [GO:0003678]; hydrolase activity [GO:0016787]; DNA recombination [GO:0006310]; double-strand break repair via nonhomologous end joining [GO:0006303]	GO:0003677; GO:0003678; GO:0005524; GO:0005634; GO:0006303; GO:0006310; GO:0016787	RMX44948.1
A0A2B4R4X8	A0A2B4R4X8_STYPI	unreviewed	AWC38_SpisGene23875	Stylophora pistillata (Smooth cauliflower coral)	C2H2-type domain-containing protein	749			PFX12206.1
A0A2B4RC92	A0A2B4RC92_STYPI	unreviewed	AWC38_SpisGene21430	Stylophora pistillata (Smooth cauliflower coral)	DEAD domain-containing protein	962	ATP binding [GO:0005524]; nucleic acid binding [GO:0003676]	GO:0003676; GO:0005524	PFX14413.1
A0A3M6TKB7	A0A3M6TKB7_POCDA	unreviewed	pdam_00019636	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Myb-like domain-containing protein (Fragment)	395			RMX41883.1
A0A2G8KZ83	A0A2G8KZ83_STIJA	unreviewed	BSL78_09780	Stichopus japonicus (Sea cucumber)	Reverse transcriptase domain-containing protein	209			PIK53301.1
A0A2B4R6J0	A0A2B4R6J0_STYPI	unreviewed	K02A2.6 AWC38_SpisGene24100	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein K02A2.6	1199	nucleic acid binding [GO:0003676]; DNA integration [GO:0015074]	GO:0003676; GO:0015074	PFX12008.1
A0A3M6TSU5	A0A3M6TSU5_POCDA	unreviewed	pdam_00006038	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	CCDC66 domain-containing protein	852	centrosome [GO:0005813]; microtubule binding [GO:0008017]	GO:0005813; GO:0008017	RMX44527.1
A0A3M6TVZ1	A0A3M6TVZ1_POCDA	unreviewed	pdam_00012937	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Motile sperm domain-containing protein 1	264	endoplasmic reticulum membrane [GO:0005789]; Golgi membrane [GO:0000139]; integral component of membrane [GO:0016021]	GO:0000139; GO:0005789; GO:0016021	RMX45560.1
A0A3M6UGU3	A0A3M6UGU3_POCDA	unreviewed	pdam_00011339	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	707	cytoplasm [GO:0005737]; zinc ion binding [GO:0008270]	GO:0005737; GO:0008270	RMX52862.1
A0A3M6UGN6	A0A3M6UGN6_POCDA	unreviewed	pdam_00011341	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1879	cytoplasm [GO:0005737]; zinc ion binding [GO:0008270]	GO:0005737; GO:0008270	RMX52840.1
A0A3M6U5M8	A0A3M6U5M8_POCDA	unreviewed	pdam_00012987	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	G_PROTEIN_RECEP_F3_4 domain-containing protein	891	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; G protein-coupled receptor activity [GO:0004930]	GO:0004930; GO:0005886; GO:0016021	RMX48859.1
A0A3M6UNC4	A0A3M6UNC4_POCDA	unreviewed	pdam_00018934	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	188			RMX55166.1
A0A2B4SE52	A0A2B4SE52_STYPI	unreviewed	AWC38_SpisGene8432	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	650			PFX26888.1
A0A3M6UAL5	A0A3M6UAL5_POCDA	unreviewed	pdam_00013197	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1626	integral component of membrane [GO:0016021]	GO:0016021	RMX50713.1
A0A3M6UAS1	A0A3M6UAS1_POCDA	unreviewed	pdam_00013199	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1824	integral component of membrane [GO:0016021]	GO:0016021	RMX50711.1
A0A3M6UAP0	A0A3M6UAP0_POCDA	unreviewed	pdam_00013206	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Sulfotransfer_1 domain-containing protein (Fragment)	402	integral component of membrane [GO:0016021]; sulfotransferase activity [GO:0008146]	GO:0008146; GO:0016021	RMX50720.1
A0A3M6UB21	A0A3M6UB21_POCDA	unreviewed	pdam_00013210	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase (EC 2.1.2.3) (EC 3.5.4.10) (AICAR transformylase) (AICAR transformylase/inosine monophosphate cyclohydrolase) (Bifunctional purine biosynthesis protein ATIC) (IMP synthase) (Inosinicase) (Phosphoribosylaminoimidazolecarboxamide formyltransferase)	618	IMP cyclohydrolase activity [GO:0003937]; phosphoribosylaminoimidazolecarboxamide formyltransferase activity [GO:0004643]; 'de novo' IMP biosynthetic process [GO:0006189]	GO:0003937; GO:0004643; GO:0006189	RMX50704.1
A0A2B4SRM1	A0A2B4SRM1_STYPI	unreviewed	Ipo9 AWC38_SpisGene3937	Stylophora pistillata (Smooth cauliflower coral)	Importin-9	1106	integral component of membrane [GO:0016021]; RNA binding [GO:0003723]	GO:0003723; GO:0016021	PFX31238.1
A0A3M6U3K4	A0A3M6U3K4_POCDA	unreviewed	pdam_00014714	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	162			RMX48273.1
A0A2B4S0G0	A0A2B4S0G0_STYPI	unreviewed	AWC38_SpisGene11249	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	87			PFX24184.1
A0A3M6TA48	A0A3M6TA48_POCDA	unreviewed	pdam_00003131	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	89			RMX38134.1
A0A2B4SFX6	A0A2B4SFX6_STYPI	unreviewed	AWC38_SpisGene7937	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	796			PFX27355.1
A0A3M6U185	A0A3M6U185_POCDA	unreviewed	pdam_00012918	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	91			RMX47248.1
A0A2B4SW13	A0A2B4SW13_STYPI	unreviewed	pol AWC38_SpisGene1587	Stylophora pistillata (Smooth cauliflower coral)	RNA-directed DNA polymerase from mobile element jockey	636	RNA-directed DNA polymerase activity [GO:0003964]	GO:0003964	PFX33526.1
A0A3M6U147	A0A3M6U147_POCDA	unreviewed	pdam_00012905	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Aldo_ket_red domain-containing protein	326	D-threo-aldose 1-dehydrogenase activity [GO:0047834]	GO:0047834	RMX47234.1
A0A2B4RH61	A0A2B4RH61_STYPI	unreviewed	RDH13 AWC38_SpisGene19575	Stylophora pistillata (Smooth cauliflower coral)	Retinol dehydrogenase 13	455	integral component of membrane [GO:0016021]; oxidoreductase activity [GO:0016491]	GO:0016021; GO:0016491	PFX16163.1
A0A3M6UAA2	A0A3M6UAA2_POCDA	unreviewed	pdam_00024408	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	RING-type domain-containing protein	794	metal ion binding [GO:0046872]	GO:0046872	RMX50516.1
A0A3M6UA09	A0A3M6UA09_POCDA	unreviewed	pdam_00024407	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	254			RMX50515.1
A0A2B4RVP7	A0A2B4RVP7_STYPI	unreviewed	Klhl2 AWC38_SpisGene13813	Stylophora pistillata (Smooth cauliflower coral)	Kelch-like protein 2	1235			PFX21681.1
A0A2B4RIM1	A0A2B4RIM1_STYPI	unreviewed	AWC38_SpisGene19053	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	425			PFX16659.1
A0A2B4SIX9	A0A2B4SIX9_STYPI	unreviewed	AWC38_SpisGene5339	Stylophora pistillata (Smooth cauliflower coral)	BHLH domain-containing protein	1044	protein dimerization activity [GO:0046983]	GO:0046983	PFX29841.1
A0A3M6V2C2	A0A3M6V2C2_POCDA	unreviewed	pdam_00001114	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	558			RMX59949.1
A0A3M6V244	A0A3M6V244_POCDA	unreviewed	pdam_00001117	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1128	integral component of membrane [GO:0016021]; phosphatidylserine metabolic process [GO:0006658]; sphingolipid metabolic process [GO:0006665]	GO:0006658; GO:0006665; GO:0016021	RMX59950.1
A0A2B4SJI6	A0A2B4SJI6_STYPI	unreviewed	PIF1 AWC38_SpisGene5982	Stylophora pistillata (Smooth cauliflower coral)	ATP-dependent DNA helicase (EC 3.6.4.12)	2702	ATP binding [GO:0005524]; DNA helicase activity [GO:0003678]; hydrolase activity [GO:0016787]; DNA recombination [GO:0006310]; DNA repair [GO:0006281]; telomere maintenance [GO:0000723]	GO:0000723; GO:0003678; GO:0005524; GO:0006281; GO:0006310; GO:0016787	PFX29269.1
A0A2B4S4T8	A0A2B4S4T8_STYPI	unreviewed	AWC38_SpisGene11333	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	763	calcium ion binding [GO:0005509]	GO:0005509	PFX24063.1
A0A3M6TEJ0	A0A3M6TEJ0_POCDA	unreviewed	pdam_00007142	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	CN hydrolase domain-containing protein	278	nitrogen compound metabolic process [GO:0006807]	GO:0006807	RMX39751.1
A0A3M6TYB1	A0A3M6TYB1_POCDA	unreviewed	pdam_00000712	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Homeobox domain-containing protein	216	nucleus [GO:0005634]; DNA binding [GO:0003677]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]	GO:0000981; GO:0003677; GO:0005634	RMX46403.1
A0A3M6V2J1	A0A3M6V2J1_POCDA	unreviewed	pdam_00010094	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	428	nucleus [GO:0005634]; DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]	GO:0003677; GO:0003700; GO:0005634	RMX60163.1
A0A2B4RZV6	A0A2B4RZV6_STYPI	unreviewed	SURF1 AWC38_SpisGene12778	Stylophora pistillata (Smooth cauliflower coral)	SURF1-like protein	271	integral component of membrane [GO:0016021]; mitochondrial inner membrane [GO:0005743]	GO:0005743; GO:0016021	PFX22686.1
A0A498LVL7	A0A498LVL7_LABRO	unreviewed	ROHU_010226	Labeo rohita (Indian major carp) (Cyprinus rohita)	Endonuclease-reverse transcriptase	897	endonuclease activity [GO:0004519]; RNA-directed DNA polymerase activity [GO:0003964]	GO:0003964; GO:0004519	RXN12200.1
A0A3M6U489	A0A3M6U489_POCDA	unreviewed	pdam_00010983	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	685	integral component of membrane [GO:0016021]; G protein-coupled receptor activity [GO:0004930]; cell surface receptor signaling pathway [GO:0007166]	GO:0004930; GO:0007166; GO:0016021	RMX48417.1
A0A3M6U432	A0A3M6U432_POCDA	unreviewed	pdam_00010986	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	505			RMX48412.1
A0A3M6U469	A0A3M6U469_POCDA	unreviewed	pdam_00010991	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	JmjC domain-containing protein	507			RMX48396.1
A0A3M6U412	A0A3M6U412_POCDA	unreviewed	pdam_00010999	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	975			RMX48392.1
A0A2B4SX43	A0A2B4SX43_STYPI	unreviewed	Nrp2 AWC38_SpisGene2013	Stylophora pistillata (Smooth cauliflower coral)	Neuropilin-2	2327	integral component of membrane [GO:0016021]	GO:0016021	PFX33162.1
A0A3M6UCW6	A0A3M6UCW6_POCDA	unreviewed	pdam_00010327	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	2965	integral component of membrane [GO:0016021]	GO:0016021	RMX51533.1
A0A3M6UD15	A0A3M6UD15_POCDA	unreviewed	pdam_00010332	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	297	DNA binding [GO:0003677]; DNA integration [GO:0015074]; DNA recombination [GO:0006310]	GO:0003677; GO:0006310; GO:0015074	RMX51552.1
A0A3M6T7H5	A0A3M6T7H5_POCDA	unreviewed	pdam_00020319	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1996			RMX37365.1
A0A2B4SEX9	A0A2B4SEX9_STYPI	unreviewed	Pim2 AWC38_SpisGene8190	Stylophora pistillata (Smooth cauliflower coral)	Serine/threonine-protein kinase pim-2	504	ATP binding [GO:0005524]; protein kinase activity [GO:0004672]	GO:0004672; GO:0005524	PFX27117.1
A0A498M9N7	A0A498M9N7_LABRO	unreviewed	ROHU_037203	Labeo rohita (Indian major carp) (Cyprinus rohita)	Retrovirus-related Pol poly from transposon	1415	nucleic acid binding [GO:0003676]; DNA integration [GO:0015074]	GO:0003676; GO:0015074	RXN13837.1
A0A2B4T1L3	A0A2B4T1L3_STYPI	unreviewed	Edil3 AWC38_SpisGene721	Stylophora pistillata (Smooth cauliflower coral)	EGF-like repeat and discoidin I-like domain-containing protein 3	548	calcium ion binding [GO:0005509]	GO:0005509	PFX34515.1
A0A3M6V948	A0A3M6V948_POCDA	unreviewed	pdam_00018290	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	369	calcium ion binding [GO:0005509]	GO:0005509	RMX61398.1
