Entry	Entry name	Status	Gene names	Organism	Protein names	Length	Gene ontology (GO)	Gene ontology IDs	yourlist:M202110205BF3C56A578D7D6DFD1FC81EE5DA77302441883
A0A3M6TTJ4	A0A3M6TTJ4_POCDA	unreviewed	pdam_00002795	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	826	calcium ion binding [GO:0005509]	GO:0005509	RMX44676.1
A0A7R9BFT1	A0A7R9BFT1_9CRUS	unreviewed	NMOB1V02_LOCUS1112	Notodromas monacha	Hypothetical protein	541			CAD7273213.1
A0A3M6U830	A0A3M6U830_POCDA	unreviewed	pdam_00009106	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	DNA replication complex GINS protein PSF3	209	GINS complex [GO:0000811]; DNA replication [GO:0006260]	GO:0000811; GO:0006260	RMX49823.1
A0A3M6U8I0	A0A3M6U8I0_POCDA	unreviewed	pdam_00009107	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	965	integral component of membrane [GO:0016021]	GO:0016021	RMX49824.1
A0A3M6U7Y9	A0A3M6U7Y9_POCDA	unreviewed	pdam_00009111	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	128			RMX49780.1
A0A2B4S7Z6	A0A2B4S7Z6_STYPI	unreviewed	P4htm AWC38_SpisGene10412	Stylophora pistillata (Smooth cauliflower coral)	Transmembrane prolyl 4-hydroxylase	423	integral component of membrane [GO:0016021]; dioxygenase activity [GO:0051213]; iron ion binding [GO:0005506]; L-ascorbic acid binding [GO:0031418]; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen [GO:0016705]	GO:0005506; GO:0016021; GO:0016705; GO:0031418; GO:0051213	PFX24930.1
A0A3M6U8Z4	A0A3M6U8Z4_POCDA	unreviewed	pdam_00025141	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	TPR_REGION domain-containing protein (Fragment)	873			RMX50150.1
A7RQ69	A7RQ69_NEMVE	unreviewed	v1g200466	Nematostella vectensis (Starlet sea anemone)	Predicted protein	1122			EDO46508.1
A0A3M6UV86	A0A3M6UV86_POCDA	unreviewed	pdam_00015734	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	182	extracellular region [GO:0005576]; biotin binding [GO:0009374]	GO:0005576; GO:0009374	RMX57613.1
A0A1V0CMH4	A0A1V0CMH4_ACRDI	unreviewed		Acropora digitifera (Staghorn coral)	Skeletal matrix protein 11	109			ARA71562.1
A0A3M6V248	A0A3M6V248_POCDA	unreviewed	pdam_00025580	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	CHAT domain-containing protein (Fragment)	547			RMX60005.1
A0A3M6UYX4	A0A3M6UYX4_POCDA	unreviewed	pdam_00022186	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	361			RMX58865.1
A0A3M6TST2	A0A3M6TST2_POCDA	unreviewed	pdam_00010090	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	332			RMX44452.1
A0A3M6TFT5	A0A3M6TFT5_POCDA	unreviewed	pdam_00016550	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	424			RMX40208.1
A0A3M6U1H6	A0A3M6U1H6_POCDA	unreviewed	pdam_00002128	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	675	integral component of membrane [GO:0016021]; G protein-coupled receptor activity [GO:0004930]	GO:0004930; GO:0016021	RMX47510.1
A0A3M6U1G1	A0A3M6U1G1_POCDA	unreviewed	pdam_00002134	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	84	mitochondrial proton-transporting ATP synthase complex [GO:0005753]	GO:0005753	RMX47447.1
A0A3M6T5F3	A0A3M6T5F3_POCDA	unreviewed	pdam_00015005	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Hcy-binding domain-containing protein	255	betaine-homocysteine S-methyltransferase activity [GO:0047150]; zinc ion binding [GO:0008270]; methionine biosynthetic process [GO:0009086]; methylation [GO:0032259]	GO:0008270; GO:0009086; GO:0032259; GO:0047150	RMX36655.1
A0A3M6T5P0	A0A3M6T5P0_POCDA	unreviewed	pdam_00015011	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Mitochondrial import inner membrane translocase subunit TIM44	464	mitochondrial inner membrane [GO:0005743]; chaperone binding [GO:0051087]; protein import into mitochondrial matrix [GO:0030150]	GO:0005743; GO:0030150; GO:0051087	RMX36628.1
A0A3M6T5T5	A0A3M6T5T5_POCDA	unreviewed	pdam_00015018	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	PC4 domain-containing protein	135	nucleus [GO:0005634]; DNA binding [GO:0003677]; regulation of transcription, DNA-templated [GO:0006355]	GO:0003677; GO:0005634; GO:0006355	RMX36644.1
A0A3M6TVD6	A0A3M6TVD6_POCDA	unreviewed	pdam_00000892	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Glucose-6-phosphate 1-epimerase (EC 5.1.3.15)	621	aldose 1-epimerase activity [GO:0004034]; carbohydrate binding [GO:0030246]; glucose-6-phosphate 1-epimerase activity [GO:0047938]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; galactose metabolic process [GO:0006012]	GO:0003924; GO:0004034; GO:0005525; GO:0006012; GO:0030246; GO:0047938	RMX45367.1
A0A3M6UHU6	A0A3M6UHU6_POCDA	unreviewed	pdam_00015554	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Delta-like protein	396	integral component of membrane [GO:0016021]; multicellular organism development [GO:0007275]; Notch signaling pathway [GO:0007219]	GO:0007219; GO:0007275; GO:0016021	RMX53104.1
A0A3M6UHI5	A0A3M6UHI5_POCDA	unreviewed	pdam_00015555	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	M20_dimer domain-containing protein (Fragment)	633	hydrolase activity [GO:0016787]	GO:0016787	RMX53105.1
A0A3M6UHS5	A0A3M6UHS5_POCDA	unreviewed	pdam_00015562	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	M20_dimer domain-containing protein	341	hydrolase activity [GO:0016787]	GO:0016787	RMX53119.1
A0A2B4RKH3	A0A2B4RKH3_STYPI	unreviewed	Bco2 AWC38_SpisGene17537	Stylophora pistillata (Smooth cauliflower coral)	Beta,beta-carotene 9',10'-oxygenase	828	integral component of membrane [GO:0016021]; G protein-coupled receptor activity [GO:0004930]; metal ion binding [GO:0046872]; oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen [GO:0016702]	GO:0004930; GO:0016021; GO:0016702; GO:0046872	PFX18111.1
A0A2B4SIL9	A0A2B4SIL9_STYPI	unreviewed	Acad8 AWC38_SpisGene6978	Stylophora pistillata (Smooth cauliflower coral)	Isobutyryl-CoA dehydrogenase, mitochondrial	833	acyl-CoA dehydrogenase activity [GO:0003995]; flavin adenine dinucleotide binding [GO:0050660]; protein serine phosphatase activity [GO:0106306]; protein threonine phosphatase activity [GO:0106307]; protein tyrosine phosphatase activity [GO:0004725]; protein tyrosine/serine/threonine phosphatase activity [GO:0008138]	GO:0003995; GO:0004725; GO:0008138; GO:0050660; GO:0106306; GO:0106307	PFX28295.1
A0A3M6TKV9	A0A3M6TKV9_POCDA	unreviewed	pdam_00006641	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	327	ribonucleoprotein complex [GO:1990904]; RNA binding [GO:0003723]	GO:0003723; GO:1990904	RMX41938.1
A0A2B4RYP5	A0A2B4RYP5_STYPI	unreviewed	AWC38_SpisGene14149	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	216	integral component of membrane [GO:0016021]	GO:0016021	PFX21362.1
A0A2B4RR31	A0A2B4RR31_STYPI	unreviewed	ABCC4 AWC38_SpisGene16791	Stylophora pistillata (Smooth cauliflower coral)	Multidrug resistance-associated protein 4	1333	integral component of membrane [GO:0016021]; ABC-type xenobiotic transporter activity [GO:0008559]; ATP binding [GO:0005524]	GO:0005524; GO:0008559; GO:0016021	PFX18807.1
A0A3M6UB97	A0A3M6UB97_POCDA	unreviewed	pdam_00016117	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Beta-galactosidase (EC 3.2.1.23)	650	beta-galactosidase activity [GO:0004565]; carbohydrate metabolic process [GO:0005975]	GO:0004565; GO:0005975	RMX50901.1
A0A2B4RIG7	A0A2B4RIG7_STYPI	unreviewed	AWC38_SpisGene19585	Stylophora pistillata (Smooth cauliflower coral)	Transposon TX1 uncharacterized 149 kDa protein	1185	nucleic acid binding [GO:0003676]; zinc ion binding [GO:0008270]	GO:0003676; GO:0008270	PFX16157.1
A0A3M6UP06	A0A3M6UP06_POCDA	unreviewed	pdam_00018424	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	TNFR-Cys domain-containing protein	408	integral component of membrane [GO:0016021]	GO:0016021	RMX55088.1
A0A3M6UNB9	A0A3M6UNB9_POCDA	unreviewed	pdam_00018423	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Apple domain-containing protein (Fragment)	557			RMX55089.1
A0A3M6UNH9	A0A3M6UNH9_POCDA	unreviewed	pdam_00018414	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1353	metal ion binding [GO:0046872]	GO:0046872	RMX55084.1
A0A498LP56	A0A498LP56_LABRO	unreviewed	ROHU_031816	Labeo rohita (Indian major carp) (Cyprinus rohita)	RNA-directed DNA polymerase from mobile element jockey-like protein	1112	RNA-directed DNA polymerase activity [GO:0003964]	GO:0003964	RXN08554.1
A0A2B4S675	A0A2B4S675_STYPI	unreviewed	Notum AWC38_SpisGene10857	Stylophora pistillata (Smooth cauliflower coral)	Protein notum-like	2414	hydrolase activity [GO:0016787]; metal ion binding [GO:0046872]	GO:0016787; GO:0046872	PFX24549.1
A0A2B4R985	A0A2B4R985_STYPI	unreviewed	RDR1 AWC38_SpisGene23188	Stylophora pistillata (Smooth cauliflower coral)	RNA-directed RNA polymerase (EC 2.7.7.48)	2648	ATP binding [GO:0005524]; DNA binding [GO:0003677]; hydrolase activity [GO:0016787]; RNA binding [GO:0003723]; RNA-directed 5'-3' RNA polymerase activity [GO:0003968]; gene silencing by RNA [GO:0031047]	GO:0003677; GO:0003723; GO:0003968; GO:0005524; GO:0016787; GO:0031047	PFX12792.1
A0A2B4R7R5	A0A2B4R7R5_STYPI	unreviewed	AWC38_SpisGene22733	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	509	TIR domain binding [GO:0070976]; MyD88-dependent toll-like receptor signaling pathway [GO:0002755]; positive regulation of I-kappaB kinase/NF-kappaB signaling [GO:0043123]	GO:0002755; GO:0043123; GO:0070976	PFX13206.1
A0A2B4R8M6	A0A2B4R8M6_STYPI	unreviewed	TTC28 AWC38_SpisGene23382	Stylophora pistillata (Smooth cauliflower coral)	Tetratricopeptide repeat protein 28	1474			PFX12625.1
A7S8A7	A7S8A7_NEMVE	unreviewed	v1g232862	Nematostella vectensis (Starlet sea anemone)	Predicted protein	81	integral component of endoplasmic reticulum membrane [GO:0030176]; vacuolar proton-transporting V-type ATPase complex assembly [GO:0070072]	GO:0030176; GO:0070072	EDO40071.1
A0A3M6V5L7	A0A3M6V5L7_POCDA	unreviewed	pdam_00005666	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	PALB2_WD40 domain-containing protein	1097			RMX61177.1
A0A3M6V5Q9	A0A3M6V5Q9_POCDA	unreviewed	pdam_00005669	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	GST C-terminal domain-containing protein (Fragment)	351	glutathione transferase activity [GO:0004364]; glutathione metabolic process [GO:0006749]	GO:0004364; GO:0006749	RMX61217.1
A0A3M6V5E1	A0A3M6V5E1_POCDA	unreviewed	pdam_00005671	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	ATPase_AAA_core domain-containing protein	1943	ATP binding [GO:0005524]; ATPase activity [GO:0016887]	GO:0005524; GO:0016887	RMX61193.1
A0A3M6V5L8	A0A3M6V5L8_POCDA	unreviewed	pdam_00005675	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	389			RMX61191.1
A0A3M6U7H6	A0A3M6U7H6_POCDA	unreviewed	pdam_00002985	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	435	nucleus [GO:0005634]; DNA binding [GO:0003677]; metal ion binding [GO:0046872]	GO:0003677; GO:0005634; GO:0046872	RMX49620.1
A0A3M6U7T4	A0A3M6U7T4_POCDA	unreviewed	pdam_00002986	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	458			RMX49619.1
A0A3M6U7Z1	A0A3M6U7Z1_POCDA	unreviewed	pdam_00002994	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	135			RMX49679.1
A0A3M6U865	A0A3M6U865_POCDA	unreviewed	pdam_00003002	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Poly(U)-specific endoribonuclease (EC 3.1.-.-)	271	endoribonuclease activity [GO:0004521]; metal ion binding [GO:0046872]; RNA binding [GO:0003723]	GO:0003723; GO:0004521; GO:0046872	RMX49648.1
A0A2B4R7A9	A0A2B4R7A9_STYPI	unreviewed	AWC38_SpisGene21628	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	536			PFX14234.1
A0A3M6U7M2	A0A3M6U7M2_POCDA	unreviewed	pdam_00003041	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	547	integral component of membrane [GO:0016021]	GO:0016021	RMX49586.1
A0A3M6U7J9	A0A3M6U7J9_POCDA	unreviewed	pdam_00003044	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Anaphase-promoting complex subunit 10	243	anaphase-promoting complex [GO:0005680]; anaphase-promoting complex-dependent catabolic process [GO:0031145]; cell cycle [GO:0007049]; cell division [GO:0051301]	GO:0005680; GO:0007049; GO:0031145; GO:0051301	RMX49591.1
A0A3M6U7J0	A0A3M6U7J0_POCDA	unreviewed	pdam_00003051	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	142	integral component of membrane [GO:0016021]	GO:0016021	RMX49662.1
A0A3M6U7L6	A0A3M6U7L6_POCDA	unreviewed	pdam_00003053	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	844	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; extracellular ligand-gated ion channel activity [GO:0005230]; transmembrane signaling receptor activity [GO:0004888]	GO:0004888; GO:0005230; GO:0005886; GO:0016021	RMX49660.1
A0A3M6UV36	A0A3M6UV36_POCDA	unreviewed	pdam_00005814	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	161	cysteine-type endopeptidase inhibitor activity [GO:0004869]	GO:0004869	RMX57532.1
A0A3M6UV76	A0A3M6UV76_POCDA	unreviewed	pdam_00005812	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	ZP domain-containing protein	640	integral component of membrane [GO:0016021]	GO:0016021	RMX57530.1
A0A2B4SHW9	A0A2B4SHW9_STYPI	unreviewed	Selo AWC38_SpisGene6620	Stylophora pistillata (Smooth cauliflower coral)	Selenoprotein O	927	large ribosomal subunit [GO:0015934]; ATP binding [GO:0005524]; metal ion binding [GO:0046872]; nucleotidyltransferase activity [GO:0016779]; RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	GO:0003723; GO:0003735; GO:0005524; GO:0006412; GO:0015934; GO:0016779; GO:0046872	PFX28673.1
A0A2B4S395	A0A2B4S395_STYPI	unreviewed	ABCC4 AWC38_SpisGene12462	Stylophora pistillata (Smooth cauliflower coral)	Multidrug resistance-associated protein 4	1251	integral component of membrane [GO:0016021]; ABC-type xenobiotic transporter activity [GO:0008559]; ATP binding [GO:0005524]	GO:0005524; GO:0008559; GO:0016021	PFX22992.1
A0A3M6UF68	A0A3M6UF68_POCDA	unreviewed	pdam_00003711	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	323	cytoplasm [GO:0005737]; microtubule [GO:0005874]; microtubule binding [GO:0008017]; cell cycle [GO:0007049]; cell division [GO:0051301]	GO:0005737; GO:0005874; GO:0007049; GO:0008017; GO:0051301	RMX52068.1
A0A2B4SIX6	A0A2B4SIX6_STYPI	unreviewed	ELP3 AWC38_SpisGene6758	Stylophora pistillata (Smooth cauliflower coral)	Elongator complex protein 3	1203	4 iron, 4 sulfur cluster binding [GO:0051539]; hydrolase activity [GO:0016787]; metal ion binding [GO:0046872]; transferase activity, transferring acyl groups [GO:0016746]; tRNA binding [GO:0000049]; tRNA processing [GO:0008033]	GO:0000049; GO:0008033; GO:0016746; GO:0016787; GO:0046872; GO:0051539	PFX28477.1
A0A2B4SGK2	A0A2B4SGK2_STYPI	unreviewed	rps21 AWC38_SpisGene6757	Stylophora pistillata (Smooth cauliflower coral)	40S ribosomal protein S21	280	ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	GO:0003735; GO:0005840; GO:0006412	PFX28486.1
A0A3M6UEG1	A0A3M6UEG1_POCDA	unreviewed	pdam_00003726	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	H15 domain-containing protein	224	nucleosome [GO:0000786]; DNA binding [GO:0003677]; nucleosome assembly [GO:0006334]	GO:0000786; GO:0003677; GO:0006334	RMX52061.1
A0A2B4RAW8	A0A2B4RAW8_STYPI	unreviewed	AWC38_SpisGene22250	Stylophora pistillata (Smooth cauliflower coral)	ANK_REP_REGION domain-containing protein (Fragment)	1177			PFX13650.1
A0A3M6UIH7	A0A3M6UIH7_POCDA	unreviewed	pdam_00025832	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	650			RMX53490.1
A0A2B4SQM1	A0A2B4SQM1_STYPI	unreviewed	Fam26f AWC38_SpisGene4443	Stylophora pistillata (Smooth cauliflower coral)	Protein FAM26F	520	integral component of membrane [GO:0016021]	GO:0016021	PFX30787.1
A0A2B4SNT7	A0A2B4SNT7_STYPI	unreviewed	Col6a4 AWC38_SpisGene4441	Stylophora pistillata (Smooth cauliflower coral)	Collagen alpha-4(VI) chain	4844	collagen trimer [GO:0005581]	GO:0005581	PFX30789.1
A0A2B4SQK7	A0A2B4SQK7_STYPI	unreviewed	Dync1h1 AWC38_SpisGene4437	Stylophora pistillata (Smooth cauliflower coral)	Cytoplasmic dynein 1 heavy chain 1	5204	cytoplasm [GO:0005737]; dynein complex [GO:0030286]; microtubule [GO:0005874]; ATP binding [GO:0005524]; ATP-dependent microtubule motor activity, minus-end-directed [GO:0008569]; RNA binding [GO:0003723]; microtubule-based movement [GO:0007018]	GO:0003723; GO:0005524; GO:0005737; GO:0005874; GO:0007018; GO:0008569; GO:0030286	PFX30777.1
A0A2B4SJA6	A0A2B4SJA6_STYPI	unreviewed	MFGE8 AWC38_SpisGene4435	Stylophora pistillata (Smooth cauliflower coral)	Lactadherin	10854			PFX30764.1
A0A3M6UYV8	A0A3M6UYV8_POCDA	unreviewed	pdam_00010808	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1588			RMX58769.1
A0A3M6UZ15	A0A3M6UZ15_POCDA	unreviewed	pdam_00010793	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	F-box domain-containing protein	460			RMX58774.1
A0A3M6UYL4	A0A3M6UYL4_POCDA	unreviewed	pdam_00010790	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Cytochrome c-type heme lyase (EC 4.4.1.17)	2019	integral component of membrane [GO:0016021]; mitochondrial inner membrane [GO:0005743]; cation channel activity [GO:0005261]; holocytochrome-c synthase activity [GO:0004408]; metal ion binding [GO:0046872]	GO:0004408; GO:0005261; GO:0005743; GO:0016021; GO:0046872	RMX58773.1
A0A2B4SQZ4	A0A2B4SQZ4_STYPI	unreviewed	Mat2a AWC38_SpisGene4405	Stylophora pistillata (Smooth cauliflower coral)	S-adenosylmethionine synthase (EC 2.5.1.6)	1506	ATP binding [GO:0005524]; metal ion binding [GO:0046872]; methionine adenosyltransferase activity [GO:0004478]; one-carbon metabolic process [GO:0006730]; S-adenosylmethionine biosynthetic process [GO:0006556]	GO:0004478; GO:0005524; GO:0006556; GO:0006730; GO:0046872	PFX30815.1
A0A3M6UYJ4	A0A3M6UYJ4_POCDA	unreviewed	pdam_00010786	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	814	calcium ion binding [GO:0005509]	GO:0005509	RMX58751.1
A0A3M6UYP5	A0A3M6UYP5_POCDA	unreviewed	pdam_00010782	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	615	carbohydrate binding [GO:0030246]	GO:0030246	RMX58747.1
A0A3M6UZM2	A0A3M6UZM2_POCDA	unreviewed	pdam_00010776	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	926	integral component of membrane [GO:0016021]; sulfotransferase activity [GO:0008146]	GO:0008146; GO:0016021	RMX58758.1
A0A2B4SLJ6	A0A2B4SLJ6_STYPI	unreviewed	CML19 AWC38_SpisGene4393	Stylophora pistillata (Smooth cauliflower coral)	Calcium-binding protein CML19	304	calcium ion binding [GO:0005509]	GO:0005509	PFX30771.1
A0A2B4SNX9	A0A2B4SNX9_STYPI	unreviewed	Kri1 AWC38_SpisGene4391	Stylophora pistillata (Smooth cauliflower coral)	Protein KRI1 homolog	823			PFX30773.1
A0A3M6TJQ5	A0A3M6TJQ5_POCDA	unreviewed	pdam_00012252	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	CN hydrolase domain-containing protein	219	nitrogen compound metabolic process [GO:0006807]	GO:0006807	RMX41474.1
A0A2B4QZJ2	A0A2B4QZJ2_STYPI	unreviewed	AWC38_SpisGene24609	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	395			PFX11594.1
A0A2B4SR07	A0A2B4SR07_STYPI	unreviewed	AWC38_SpisGene2034	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	1858	regulation of apoptotic process [GO:0042981]	GO:0042981	PFX33104.1
A0A3M6TE26	A0A3M6TE26_POCDA	unreviewed	pdam_00020819	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Protein kinase domain-containing protein	446	ATP binding [GO:0005524]; protein kinase activity [GO:0004672]	GO:0004672; GO:0005524	RMX39581.1
A0A3M6T6C6	A0A3M6T6C6_POCDA	unreviewed	pdam_00000956	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	645	integral component of membrane [GO:0016021]; transferase activity, transferring acyl groups other than amino-acyl groups [GO:0016747]	GO:0016021; GO:0016747	RMX36834.1
A0A3M6T667	A0A3M6T667_POCDA	unreviewed	pdam_00000946	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	308	GTP binding [GO:0005525]	GO:0005525	RMX36906.1
A0A3M6T6B6	A0A3M6T6B6_POCDA	unreviewed	pdam_00000942	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	ANK_REP_REGION domain-containing protein	926	integral component of membrane [GO:0016021]	GO:0016021	RMX36902.1
A0A3M6T691	A0A3M6T691_POCDA	unreviewed	pdam_00000940	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Aspzincin_M35 domain-containing protein	405	metal ion binding [GO:0046872]; metalloendopeptidase activity [GO:0004222]	GO:0004222; GO:0046872	RMX36900.1
A0A2B4RSB3	A0A2B4RSB3_STYPI	unreviewed	AWC38_SpisGene16161	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	1286	signal transduction [GO:0007165]	GO:0007165	PFX19430.1
A0A2B4SIQ9	A0A2B4SIQ9_STYPI	unreviewed	asic4 AWC38_SpisGene6294	Stylophora pistillata (Smooth cauliflower coral)	Acid-sensing ion channel 4	969	integral component of membrane [GO:0016021]; sodium channel activity [GO:0005272]	GO:0005272; GO:0016021	PFX29009.1
A0A3M6T630	A0A3M6T630_POCDA	unreviewed	pdam_00000927	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	490	integral component of membrane [GO:0016021]; sodium channel activity [GO:0005272]	GO:0005272; GO:0016021	RMX36867.1
A0A3M6T6E7	A0A3M6T6E7_POCDA	unreviewed	pdam_00000922	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	492	integral component of membrane [GO:0016021]; protein glycosylation [GO:0006486]	GO:0006486; GO:0016021	RMX36864.1
A0A2B4RYW3	A0A2B4RYW3_STYPI	unreviewed	SCNN1A AWC38_SpisGene14084	Stylophora pistillata (Smooth cauliflower coral)	Amiloride-sensitive sodium channel subunit alpha	1580	integral component of membrane [GO:0016021]; G protein-coupled receptor activity [GO:0004930]; sodium channel activity [GO:0005272]	GO:0004930; GO:0005272; GO:0016021	PFX21432.1
A0A3M6T6F9	A0A3M6T6F9_POCDA	unreviewed	pdam_00000899	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	307			RMX36898.1
A0A3M6T655	A0A3M6T655_POCDA	unreviewed	pdam_00000896	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Roc domain-containing protein (Fragment)	959	nucleotide binding [GO:0000166]	GO:0000166	RMX36860.1
A0A3M6TL59	A0A3M6TL59_POCDA	unreviewed	pdam_00001181	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	DNA-directed RNA polymerase I subunit H	428	hydrolase activity [GO:0016787]; nucleic acid binding [GO:0003676]; zinc ion binding [GO:0008270]; lipid catabolic process [GO:0016042]; mRNA cleavage [GO:0006379]; transcription, DNA-templated [GO:0006351]	GO:0003676; GO:0006351; GO:0006379; GO:0008270; GO:0016042; GO:0016787	RMX42038.1
A0A3M6TBA0	A0A3M6TBA0_POCDA	unreviewed	pdam_00005877	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	941	guanyl-nucleotide exchange factor activity [GO:0005085]; small GTPase mediated signal transduction [GO:0007264]	GO:0005085; GO:0007264	RMX38662.1
A0A3M6TB91	A0A3M6TB91_POCDA	unreviewed	pdam_00005874	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	142	integral component of membrane [GO:0016021]	GO:0016021	RMX38667.1
A0A3M6TB75	A0A3M6TB75_POCDA	unreviewed	pdam_00005871	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	902			RMX38666.1
A0A2B4REX6	A0A2B4REX6_STYPI	unreviewed	Pkd1l2 AWC38_SpisGene20992	Stylophora pistillata (Smooth cauliflower coral)	Polycystic kidney disease protein 1-like 2	1909	integral component of membrane [GO:0016021]; calcium ion binding [GO:0005509]	GO:0005509; GO:0016021	PFX14822.1
A0A2B4RSD5	A0A2B4RSD5_STYPI	unreviewed	Pkd1l2 AWC38_SpisGene16337	Stylophora pistillata (Smooth cauliflower coral)	Polycystic kidney disease protein 1-like 2	2856	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; calcium ion binding [GO:0005509]	GO:0005509; GO:0005886; GO:0016021	PFX19267.1
A0A3M6TD05	A0A3M6TD05_POCDA	unreviewed	pdam_00016729	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1682	integral component of membrane [GO:0016021]; calcium ion binding [GO:0005509]	GO:0005509; GO:0016021	RMX39286.1
